ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
PLBH00000012,603512507,6HW,EUR,2022-12-16,15.32,15.32,15.32,15.32,0,0,15.32
PLBH00000012,603512507,6HW,EUR,2022-12-19,15.32,15.32,15.32,15.32,0,0,15.32
PLBH00000012,603512507,6HW,EUR,2022-12-20,15.32,15.32,15.32,15.32,0,0,15.32
PLBH00000012,603512507,6HW,EUR,2022-12-21,15.86,15.86,15.86,15.86,0,0,15.86
PLBH00000012,603512507,6HW,EUR,2022-12-22,15.86,15.86,15.86,15.86,0,0,15.86
PLBH00000012,603512507,6HW,EUR,2022-12-23,15.94,15.94,15.94,15.94,0,0,15.94
PLBH00000012,603512507,6HW,EUR,2022-12-27,15.94,15.94,15.94,15.94,0,0,15.94
PLBH00000012,603512507,6HW,EUR,2022-12-28,15.94,15.94,15.94,15.94,0,0,15.94
PLBH00000012,603512507,6HW,EUR,2022-12-29,15.94,15.94,15.94,15.94,0,0,15.94
PLBH00000012,603512507,6HW,EUR,2022-12-30,15.4,15.94,15.4,15.94,98,1,15.4
PLBH00000012,603512507,6HW,EUR,2023-01-02,15.94,15.94,15.94,15.94,0,0,15.94
PLBH00000012,603512507,6HW,EUR,2023-01-03,16.22,16.22,16.22,16.22,0,0,16.22
PLBH00000012,603512507,6HW,EUR,2023-01-04,16.52,16.52,16.52,16.52,0,0,16.52
PLBH00000012,603512507,6HW,EUR,2023-01-05,16.88,16.88,16.88,16.88,0,0,16.88
PLBH00000012,603512507,6HW,EUR,2023-01-06,17.5,17.5,16.88,16.88,50,1,17.5
PLBH00000012,603512507,6HW,EUR,2023-01-09,16.88,16.88,16.88,16.88,0,0,16.88
PLBH00000012,603512507,6HW,EUR,2023-01-10,16.88,16.88,16.88,16.88,0,0,16.88
PLBH00000012,603512507,6HW,EUR,2023-01-11,17.04,17.04,17.04,17.04,0,0,17.04
PLBH00000012,603512507,6HW,EUR,2023-01-12,17.04,17.04,17.04,17.04,0,0,17.04
PLBH00000012,603512507,6HW,EUR,2023-01-13,17.04,17.04,17.04,17.04,0,0,17.04
PLBH00000012,603512507,6HW,EUR,2023-01-16,17.04,17.04,17.04,17.04,0,0,17.04
PLBH00000012,603512507,6HW,EUR,2023-01-17,16.22,16.22,16.22,16.22,0,0,16.22
PLBH00000012,603512507,6HW,EUR,2023-01-18,16.72,16.72,16.72,16.72,0,0,16.72
PLBH00000012,603512507,6HW,EUR,2023-01-19,16.72,16.72,16.72,16.72,0,0,16.72
PLBH00000012,603512507,6HW,EUR,2023-01-20,16.72,16.72,16.72,16.72,0,0,16.72
PLBH00000012,603512507,6HW,EUR,2023-01-23,16.72,16.72,16.72,16.72,0,0,16.72
PLBH00000012,603512507,6HW,EUR,2023-01-24,16.96,16.96,16.72,16.72,35,1,16.96
PLBH00000012,603512507,6HW,EUR,2023-01-25,16.06,16.06,16.06,16.06,0,0,16.06
PLBH00000012,603512507,6HW,EUR,2023-01-26,16.06,16.06,16.06,16.06,0,0,16.06
PLBH00000012,603512507,6HW,EUR,2023-01-27,16.06,16.06,16.06,16.06,0,0,16.06
PLBH00000012,603512507,6HW,EUR,2023-01-30,16.06,16.06,16.06,16.06,0,0,16.06
PLBH00000012,603512507,6HW,EUR,2023-01-31,16.08,16.08,16.08,16.08,0,0,16.08
PLBH00000012,603512507,6HW,EUR,2023-02-01,16.88,16.88,16.88,16.88,0,0,16.88
PLBH00000012,603512507,6HW,EUR,2023-02-02,17.42,17.42,16.88,16.88,18,1,17.42
PLBH00000012,603512507,6HW,EUR,2023-02-03,17.4,17.4,16.88,16.88,3,1,17.4
PLBH00000012,603512507,6HW,EUR,2023-02-06,16.92,16.92,16.92,16.92,0,0,16.92
