ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
PLENERG00022,603522564,EN2,EUR,2022-12-16,1.41,1.41,1.41,1.41,0,0,1.41
PLENERG00022,603522564,EN2,EUR,2022-12-19,1.41,1.41,1.41,1.41,0,0,1.41
PLENERG00022,603522564,EN2,EUR,2022-12-20,1.41,1.41,1.41,1.41,0,0,1.41
PLENERG00022,603522564,EN2,EUR,2022-12-21,1.426,1.426,1.426,1.426,0,0,1.426
PLENERG00022,603522564,EN2,EUR,2022-12-22,1.436,1.436,1.436,1.436,0,0,1.436
PLENERG00022,603522564,EN2,EUR,2022-12-23,1.426,1.426,1.426,1.426,0,0,1.426
PLENERG00022,603522564,EN2,EUR,2022-12-27,1.39,1.39,1.39,1.39,0,0,1.39
PLENERG00022,603522564,EN2,EUR,2022-12-28,1.386,1.386,1.386,1.386,0,0,1.386
PLENERG00022,603522564,EN2,EUR,2022-12-29,1.376,1.376,1.376,1.376,0,0,1.376
PLENERG00022,603522564,EN2,EUR,2022-12-30,1.416,1.466,1.41,1.466,1033,1,1.415
PLENERG00022,603522564,EN2,EUR,2023-01-02,1.466,1.466,1.466,1.466,0,0,1.466
PLENERG00022,603522564,EN2,EUR,2023-01-03,1.466,1.466,1.466,1.466,0,0,1.466
PLENERG00022,603522564,EN2,EUR,2023-01-04,1.466,1.466,1.466,1.466,0,0,1.466
PLENERG00022,603522564,EN2,EUR,2023-01-05,1.48,1.48,1.48,1.48,0,0,1.48
PLENERG00022,603522564,EN2,EUR,2023-01-06,1.456,1.456,1.456,1.456,0,0,1.456
PLENERG00022,603522564,EN2,EUR,2023-01-09,1.48,1.48,1.48,1.48,0,0,1.48
PLENERG00022,603522564,EN2,EUR,2023-01-10,1.48,1.48,1.48,1.48,0,0,1.48
PLENERG00022,603522564,EN2,EUR,2023-01-11,1.476,1.476,1.476,1.476,0,0,1.476
PLENERG00022,603522564,EN2,EUR,2023-01-12,1.466,1.466,1.466,1.466,0,0,1.466
PLENERG00022,603522564,EN2,EUR,2023-01-13,1.46,1.46,1.46,1.46,0,0,1.46
PLENERG00022,603522564,EN2,EUR,2023-01-16,1.46,1.46,1.46,1.46,0,0,1.46
PLENERG00022,603522564,EN2,EUR,2023-01-17,1.48,1.48,1.48,1.48,0,0,1.48
PLENERG00022,603522564,EN2,EUR,2023-01-18,1.476,1.476,1.476,1.476,0,0,1.476
PLENERG00022,603522564,EN2,EUR,2023-01-19,1.46,1.46,1.46,1.46,0,0,1.46
PLENERG00022,603522564,EN2,EUR,2023-01-20,1.456,1.456,1.456,1.456,0,0,1.456
PLENERG00022,603522564,EN2,EUR,2023-01-23,1.46,1.46,1.46,1.46,0,0,1.46
PLENERG00022,603522564,EN2,EUR,2023-01-24,1.47,1.47,1.47,1.47,0,0,1.47
PLENERG00022,603522564,EN2,EUR,2023-01-25,1.48,1.48,1.48,1.48,0,0,1.48
PLENERG00022,603522564,EN2,EUR,2023-01-26,1.466,1.466,1.466,1.466,0,0,1.466
PLENERG00022,603522564,EN2,EUR,2023-01-27,1.46,1.46,1.46,1.46,0,0,1.46
PLENERG00022,603522564,EN2,EUR,2023-01-30,1.47,1.47,1.47,1.47,0,0,1.47
PLENERG00022,603522564,EN2,EUR,2023-01-31,1.47,1.47,1.47,1.47,0,0,1.47
PLENERG00022,603522564,EN2,EUR,2023-02-01,1.47,1.47,1.47,1.47,0,0,1.47
PLENERG00022,603522564,EN2,EUR,2023-02-02,1.47,1.47,1.47,1.47,0,0,1.47
PLENERG00022,603522564,EN2,EUR,2023-02-03,1.47,1.47,1.47,1.47,0,0,1.47
PLENERG00022,603522564,EN2,EUR,2023-02-06,1.43,1.43,1.43,1.43,0,0,1.43
PLENERG00022,603522564,EN2,EUR,2023-02-07,1.436,1.436,1.436,1.436,0,0,1.436
PLENERG00022,603522564,EN2,EUR,2023-02-08,1.446,1.446,1.446,1.446,0,0,1.446
PLENERG00022,603522564,EN2,EUR,2023-02-09,1.446,1.446,1.446,1.446,0,0,1.446
PLENERG00022,603522564,EN2,EUR,2023-02-10,1.41,1.41,1.41,1.41,0,0,1.41
PLENERG00022,603522564,EN2,EUR,2023-02-13,1.416,1.416,1.416,1.416,0,0,1.416
PLENERG00022,603522564,EN2,EUR,2023-02-14,1.406,1.406,1.406,1.406,0,0,1.406
PLENERG00022,603522564,EN2,EUR,2023-02-15,1.426,1.426,1.426,1.426,0,0,1.426
PLENERG00022,603522564,EN2,EUR,2023-02-16,1.41,1.41,1.41,1.41,0,0,1.41
PLENERG00022,603522564,EN2,EUR,2023-02-17,1.41,1.41,1.41,1.41,0,0,1.41
PLENERG00022,603522564,EN2,EUR,2023-02-20,1.426,1.426,1.426,1.426,0,0,1.426
PLENERG00022,603522564,EN2,EUR,2023-02-21,1.43,1.43,1.43,1.43,0,0,1.43
PLENERG00022,603522564,EN2,EUR,2023-02-22,1.43,1.43,1.43,1.43,0,0,1.43
PLENERG00022,603522564,EN2,EUR,2023-02-23,1.436,1.436,1.436,1.436,0,0,1.436
PLENERG00022,603522564,EN2,EUR,2023-02-24,1.42,1.42,1.42,1.42,0,0,1.42
PLENERG00022,603522564,EN2,EUR,2023-02-27,1.416,1.416,1.416,1.416,0,0,1.416
PLENERG00022,603522564,EN2,EUR,2023-02-28,1.436,1.436,1.436,1.436,0,0,1.436
PLENERG00022,603522564,EN2,EUR,2023-03-01,1.456,1.456,1.456,1.456,0,0,1.456
PLENERG00022,603522564,EN2,EUR,2023-03-02,1.466,1.466,1.466,1.466,0,0,1.466
PLENERG00022,603522564,EN2,EUR,2023-03-03,1.466,1.466,1.466,1.466,0,0,1.466
PLENERG00022,603522564,EN2,EUR,2023-03-06,1.496,1.496,1.496,1.496,0,0,1.496
PLENERG00022,603522564,EN2,EUR,2023-03-07,1.486,1.486,1.486,1.486,0,0,1.486
PLENERG00022,603522564,EN2,EUR,2023-03-08,1.49,1.49,1.49,1.49,0,0,1.49
PLENERG00022,603522564,EN2,EUR,2023-03-09,1.48,1.48,1.48,1.48,0,0,1.48
PLENERG00022,603522564,EN2,EUR,2023-03-10,1.466,1.466,1.466,1.466,0,0,1.466
PLENERG00022,603522564,EN2,EUR,2023-03-13,1.466,1.466,1.466,1.466,0,0,1.466
PLENERG00022,603522564,EN2,EUR,2023-03-14,1.446,1.446,1.446,1.446,0,0,1.446
PLENERG00022,603522564,EN2,EUR,2023-03-15,1.436,1.436,1.436,1.436,0,0,1.436
PLENERG00022,603522564,EN2,EUR,2023-03-16,1.426,1.426,1.426,1.426,0,0,1.426
PLENERG00022,603522564,EN2,EUR,2023-03-17,1.42,1.42,1.42,1.42,0,0,1.42
PLENERG00022,603522564,EN2,EUR,2023-03-20,1.416,1.416,1.416,1.416,0,0,1.416
PLENERG00022,603522564,EN2,EUR,2023-03-21,1.416,1.416,1.416,1.416,0,0,1.416
PLENERG00022,603522564,EN2,EUR,2023-03-22,1.426,1.426,1.426,1.426,0,0,1.426
PLENERG00022,603522564,EN2,EUR,2023-03-23,1.41,1.41,1.41,1.41,0,0,1.41
PLENERG00022,603522564,EN2,EUR,2023-03-24,1.406,1.406,1.406,1.406,0,0,1.406
PLENERG00022,603522564,EN2,EUR,2023-03-27,1.396,1.396,1.396,1.396,0,0,1.396
PLENERG00022,603522564,EN2,EUR,2023-03-28,1.4,1.4,1.4,1.4,0,0,1.4
PLENERG00022,603522564,EN2,EUR,2023-03-29,1.406,1.406,1.406,1.406,0,0,1.406
PLENERG00022,603522564,EN2,EUR,2023-03-30,1.41,1.41,1.41,1.41,0,0,1.41
PLENERG00022,603522564,EN2,EUR,2023-03-31,1.416,1.416,1.416,1.416,0,0,1.416
PLENERG00022,603522564,EN2,EUR,2023-04-03,1.43,1.43,1.43,1.43,0,0,1.43
PLENERG00022,603522564,EN2,EUR,2023-04-04,1.42,1.42,1.42,1.42,0,0,1.42
PLENERG00022,603522564,EN2,EUR,2023-04-05,1.426,1.426,1.426,1.426,0,0,1.426
PLENERG00022,603522564,EN2,EUR,2023-04-06,1.43,1.43,1.43,1.43,0,0,1.43
PLENERG00022,603522564,EN2,EUR,2023-04-11,1.426,1.426,1.426,1.426,0,0,1.426
PLENERG00022,603522564,EN2,EUR,2023-04-12,1.416,1.416,1.416,1.416,0,0,1.416
PLENERG00022,603522564,EN2,EUR,2023-04-13,1.43,1.43,1.43,1.43,0,0,1.43
PLENERG00022,603522564,EN2,EUR,2023-04-14,1.466,1.466,1.466,1.466,0,0,1.466
PLENERG00022,603522564,EN2,EUR,2023-04-17,1.44,1.44,1.44,1.44,0,0,1.44
PLENERG00022,603522564,EN2,EUR,2023-04-18,1.44,1.44,1.44,1.44,0,0,1.44
PLENERG00022,603522564,EN2,EUR,2023-04-19,1.44,1.44,1.44,1.44,0,0,1.44
PLENERG00022,603522564,EN2,EUR,2023-04-20,1.46,1.46,1.46,1.46,0,0,1.46
PLENERG00022,603522564,EN2,EUR,2023-04-21,1.456,1.456,1.456,1.456,0,0,1.456
PLENERG00022,603522564,EN2,EUR,2023-04-24,1.47,1.47,1.47,1.47,0,0,1.47
PLENERG00022,603522564,EN2,EUR,2023-04-25,1.496,1.496,1.496,1.496,0,0,1.496
PLENERG00022,603522564,EN2,EUR,2023-04-26,1.496,1.496,1.496,1.496,0,0,1.496
PLENERG00022,603522564,EN2,EUR,2023-04-27,1.496,1.496,1.496,1.496,0,0,1.496
PLENERG00022,603522564,EN2,EUR,2023-04-28,1.51,1.51,1.51,1.51,0,0,1.51
PLENERG00022,603522564,EN2,EUR,2023-05-02,1.51,1.51,1.51,1.51,0,0,1.51
PLENERG00022,603522564,EN2,EUR,2023-05-03,1.49,1.49,1.49,1.49,0,0,1.49
PLENERG00022,603522564,EN2,EUR,2023-05-04,1.506,1.506,1.506,1.506,0,0,1.506
PLENERG00022,603522564,EN2,EUR,2023-05-05,1.516,1.516,1.516,1.516,0,0,1.516
PLENERG00022,603522564,EN2,EUR,2023-05-08,1.53,1.53,1.53,1.53,0,0,1.53
PLENERG00022,603522564,EN2,EUR,2023-05-09,1.54,1.54,1.54,1.54,0,0,1.54
PLENERG00022,603522564,EN2,EUR,2023-05-10,1.58,1.58,1.58,1.58,0,0,1.58
PLENERG00022,603522564,EN2,EUR,2023-05-11,1.59,1.59,1.59,1.59,0,0,1.59
PLENERG00022,603522564,EN2,EUR,2023-05-12,1.7,1.7,1.7,1.7,0,0,1.7
PLENERG00022,603522564,EN2,EUR,2023-05-15,1.7,1.7,1.7,1.7,0,0,1.7
PLENERG00022,603522564,EN2,EUR,2023-05-16,1.75,1.75,1.75,1.75,0,0,1.75
PLENERG00022,603522564,EN2,EUR,2023-05-17,1.906,1.91,1.75,1.75,150,1,1.905
PLENERG00022,603522564,EN2,EUR,2023-05-18,1.71,1.71,1.71,1.71,0,0,1.71
PLENERG00022,603522564,EN2,EUR,2023-05-19,1.726,1.726,1.726,1.726,0,0,1.726
PLENERG00022,603522564,EN2,EUR,2023-05-22,1.716,1.716,1.716,1.716,0,0,1.716
PLENERG00022,603522564,EN2,EUR,2023-05-23,1.82,1.82,1.706,1.706,99,1,1.82
PLENERG00022,603522564,EN2,EUR,2023-05-24,1.71,1.71,1.71,1.71,0,0,1.71
PLENERG00022,603522564,EN2,EUR,2023-05-25,1.696,1.696,1.696,1.696,0,0,1.696
PLENERG00022,603522564,EN2,EUR,2023-05-26,1.69,1.69,1.69,1.69,0,0,1.69
PLENERG00022,603522564,EN2,EUR,2023-05-29,1.68,1.68,1.68,1.68,0,0,1.68
PLENERG00022,603522564,EN2,EUR,2023-05-30,1.676,1.676,1.676,1.676,0,0,1.676
PLENERG00022,603522564,EN2,EUR,2023-05-31,1.69,1.69,1.69,1.69,0,0,1.69
PLENERG00022,603522564,EN2,EUR,2023-06-01,1.7,1.7,1.7,1.7,0,0,1.7
PLENERG00022,603522564,EN2,EUR,2023-06-02,1.75,1.75,1.75,1.75,0,0,1.75
PLENERG00022,603522564,EN2,EUR,2023-06-05,1.74,1.74,1.74,1.74,0,0,1.74
PLENERG00022,603522564,EN2,EUR,2023-06-06,1.736,1.736,1.736,1.736,0,0,1.736
PLENERG00022,603522564,EN2,EUR,2023-06-07,1.75,1.75,1.75,1.75,0,0,1.75
PLENERG00022,603522564,EN2,EUR,2023-06-08,1.726,1.726,1.726,1.726,0,0,1.726
PLENERG00022,603522564,EN2,EUR,2023-06-09,1.756,1.756,1.756,1.756,0,0,1.756
PLENERG00022,603522564,EN2,EUR,2023-06-12,1.756,1.756,1.756,1.756,0,0,1.756
PLENERG00022,603522564,EN2,EUR,2023-06-13,1.74,1.74,1.74,1.74,0,0,1.74
PLENERG00022,603522564,EN2,EUR,2023-06-14,1.75,1.75,1.75,1.75,0,0,1.75
PLENERG00022,603522564,EN2,EUR,2023-06-15,1.75,1.75,1.75,1.75,0,0,1.75
PLENERG00022,603522564,EN2,EUR,2023-06-16,1.746,1.746,1.746,1.746,0,0,1.746
PLENERG00022,603522564,EN2,EUR,2023-06-19,1.756,1.756,1.756,1.756,0,0,1.756
PLENERG00022,603522564,EN2,EUR,2023-06-20,1.76,1.76,1.76,1.76,0,0,1.76
PLENERG00022,603522564,EN2,EUR,2023-06-21,1.766,1.766,1.766,1.766,0,0,1.766
PLENERG00022,603522564,EN2,EUR,2023-06-22,1.78,1.78,1.78,1.78,0,0,1.78
PLENERG00022,603522564,EN2,EUR,2023-06-23,1.786,1.786,1.786,1.786,0,0,1.786
PLENERG00022,603522564,EN2,EUR,2023-06-26,1.786,1.786,1.786,1.786,0,0,1.786
PLENERG00022,603522564,EN2,EUR,2023-06-27,1.78,1.78,1.78,1.78,0,0,1.78
PLENERG00022,603522564,EN2,EUR,2023-06-28,1.76,1.76,1.76,1.76,0,0,1.76
PLENERG00022,603522564,EN2,EUR,2023-06-29,1.824,1.83,1.82,1.824,50,1,1.825
PLENERG00022,603522564,EN2,EUR,2023-06-30,1.834,1.834,1.834,1.834,0,0,1.834
PLENERG00022,603522564,EN2,EUR,2023-07-03,1.91,1.91,1.91,1.91,0,0,1.91
PLENERG00022,603522564,EN2,EUR,2023-07-04,2.1,2.1,2.1,2.1,0,0,2.1
PLENERG00022,603522564,EN2,EUR,2023-07-05,2.0,2.0,2.0,2.0,0,0,2.0
PLENERG00022,603522564,EN2,EUR,2023-07-06,1.97,1.97,1.97,1.97,0,0,1.97
PLENERG00022,603522564,EN2,EUR,2023-07-07,1.92,1.92,1.92,1.92,0,0,1.92
