ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
PLKETY000011,603527412,GQ2,EUR,2022-12-16,114.8,114.8,114.8,114.8,0,0,114.8
PLKETY000011,603527412,GQ2,EUR,2022-12-19,112.6,112.6,112.6,112.6,0,0,112.6
PLKETY000011,603527412,GQ2,EUR,2022-12-20,111.0,111.0,110.8,110.8,50,2,110.88
PLKETY000011,603527412,GQ2,EUR,2022-12-21,100.0,100.0,97.7,97.7,12,2,99.615
PLKETY000011,603527412,GQ2,EUR,2022-12-22,97.2,97.2,97.2,97.2,0,0,97.2
PLKETY000011,603527412,GQ2,EUR,2022-12-23,98.7,100.8,98.7,100.8,24,2,99.925
PLKETY000011,603527412,GQ2,EUR,2022-12-27,101.4,101.4,101.4,101.4,24,1,101.4
PLKETY000011,603527412,GQ2,EUR,2022-12-28,95.4,95.4,95.4,95.4,0,0,95.4
PLKETY000011,603527412,GQ2,EUR,2022-12-29,94.7,94.7,94.7,94.7,0,0,94.7
PLKETY000011,603527412,GQ2,EUR,2022-12-30,98.4,98.4,98.4,98.4,0,0,98.4
PLKETY000011,603527412,GQ2,EUR,2023-01-02,96.9,96.9,96.9,96.9,0,0,96.9
PLKETY000011,603527412,GQ2,EUR,2023-01-03,100.6,100.6,100.6,100.6,0,0,100.6
PLKETY000011,603527412,GQ2,EUR,2023-01-04,103.2,103.2,103.2,103.2,7,1,103.2
PLKETY000011,603527412,GQ2,EUR,2023-01-05,101.8,101.8,101.8,101.8,0,0,101.8
PLKETY000011,603527412,GQ2,EUR,2023-01-06,103.8,103.8,101.6,101.6,6,1,103.8
PLKETY000011,603527412,GQ2,EUR,2023-01-09,102.4,102.4,102.4,102.4,13,2,102.4
PLKETY000011,603527412,GQ2,EUR,2023-01-10,100.8,100.8,100.8,100.8,0,0,100.8
PLKETY000011,603527412,GQ2,EUR,2023-01-11,104.6,104.6,104.6,104.6,0,0,104.6
PLKETY000011,603527412,GQ2,EUR,2023-01-12,101.6,101.6,100.6,100.6,25,2,101.28
PLKETY000011,603527412,GQ2,EUR,2023-01-13,100.0,100.0,100.0,100.0,0,0,100.0
PLKETY000011,603527412,GQ2,EUR,2023-01-16,100.6,100.6,100.6,100.6,0,0,100.6
PLKETY000011,603527412,GQ2,EUR,2023-01-17,103.4,103.4,100.6,100.6,5,1,103.4
PLKETY000011,603527412,GQ2,EUR,2023-01-18,104.4,104.4,102.6,102.6,53,2,103.645
PLKETY000011,603527412,GQ2,EUR,2023-01-19,103.4,103.4,101.2,101.2,1,1,103.4
PLKETY000011,603527412,GQ2,EUR,2023-01-20,102.6,102.8,102.6,102.6,59,4,102.635
PLKETY000011,603527412,GQ2,EUR,2023-01-23,102.2,102.2,102.2,102.2,0,0,102.2
PLKETY000011,603527412,GQ2,EUR,2023-01-24,103.6,103.6,103.6,103.6,0,0,103.6
PLKETY000011,603527412,GQ2,EUR,2023-01-25,102.0,102.8,102.0,102.8,10,1,102.0
PLKETY000011,603527412,GQ2,EUR,2023-01-26,101.4,101.4,101.4,101.4,0,0,101.4
PLKETY000011,603527412,GQ2,EUR,2023-01-27,103.0,103.0,103.0,103.0,0,0,103.0
PLKETY000011,603527412,GQ2,EUR,2023-01-30,104.6,104.6,103.6,103.6,1,1,104.6
PLKETY000011,603527412,GQ2,EUR,2023-01-31,104.4,104.4,103.2,103.2,4,2,103.9
PLKETY000011,603527412,GQ2,EUR,2023-02-01,107.4,107.4,105.4,105.4,3,1,107.4
PLKETY000011,603527412,GQ2,EUR,2023-02-02,105.0,105.0,105.0,105.0,0,0,105.0
PLKETY000011,603527412,GQ2,EUR,2023-02-03,108.4,108.4,108.0,108.0,15,2,108.265
PLKETY000011,603527412,GQ2,EUR,2023-02-06,107.2,107.2,107.2,107.2,0,0,107.2
PLKETY000011,603527412,GQ2,EUR,2023-02-07,109.2,109.2,109.0,109.0,100,1,109.2
PLKETY000011,603527412,GQ2,EUR,2023-02-08,106.4,106.4,106.4,106.4,0,0,106.4
PLKETY000011,603527412,GQ2,EUR,2023-02-09,109.4,109.4,109.4,109.4,0,0,109.4
