ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
PLKGNRC00015,603482845,2ZO,EUR,2023-04-19,5.72,5.72,5.72,5.72,0,0,5.72
PLKGNRC00015,603482845,2ZO,EUR,2023-04-20,5.76,5.76,5.76,5.76,0,0,5.76
PLKGNRC00015,603482845,2ZO,EUR,2023-04-21,5.76,5.76,5.76,5.76,0,0,5.76
PLKGNRC00015,603482845,2ZO,EUR,2023-04-24,5.78,5.78,5.78,5.78,0,0,5.78
PLKGNRC00015,603482845,2ZO,EUR,2023-04-25,5.76,5.76,5.76,5.76,0,0,5.76
PLKGNRC00015,603482845,2ZO,EUR,2023-04-26,5.7,5.7,5.7,5.7,0,0,5.7
PLKGNRC00015,603482845,2ZO,EUR,2023-04-27,5.68,5.68,5.68,5.68,0,0,5.68
PLKGNRC00015,603482845,2ZO,EUR,2023-04-28,5.62,5.62,5.62,5.62,0,0,5.62
PLKGNRC00015,603482845,2ZO,EUR,2023-05-02,5.64,5.64,5.64,5.64,0,0,5.64
PLKGNRC00015,603482845,2ZO,EUR,2023-05-03,5.6,5.6,5.6,5.6,0,0,5.6
PLKGNRC00015,603482845,2ZO,EUR,2023-05-04,5.58,5.58,5.58,5.58,0,0,5.58
PLKGNRC00015,603482845,2ZO,EUR,2023-05-05,5.54,5.54,5.54,5.54,0,0,5.54
PLKGNRC00015,603482845,2ZO,EUR,2023-05-08,6.24,6.24,6.24,6.24,0,0,6.24
PLKGNRC00015,603482845,2ZO,EUR,2023-05-09,7.16,7.16,7.16,7.16,0,0,7.16
PLKGNRC00015,603482845,2ZO,EUR,2023-05-10,6.96,6.96,6.96,6.96,0,0,6.96
PLKGNRC00015,603482845,2ZO,EUR,2023-05-11,7.06,7.06,7.06,7.06,0,0,7.06
PLKGNRC00015,603482845,2ZO,EUR,2023-05-12,7.08,7.08,7.08,7.08,0,0,7.08
PLKGNRC00015,603482845,2ZO,EUR,2023-05-15,7.06,7.06,7.06,7.06,0,0,7.06
PLKGNRC00015,603482845,2ZO,EUR,2023-05-16,7.3,7.3,7.3,7.3,0,0,7.3
