ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
PLLPP0000011,603531067,1RY,EUR,2022-12-16,2084.0,2084.0,2084.0,2084.0,0,0,2084.0
PLLPP0000011,603531067,1RY,EUR,2022-12-19,2062.0,2062.0,2062.0,2062.0,0,0,2062.0
PLLPP0000011,603531067,1RY,EUR,2022-12-20,2072.0,2072.0,2072.0,2072.0,0,0,2072.0
PLLPP0000011,603531067,1RY,EUR,2022-12-21,2100.0,2100.0,2100.0,2100.0,0,0,2100.0
PLLPP0000011,603531067,1RY,EUR,2022-12-22,2214.0,2214.0,2214.0,2214.0,5,1,2214.0
PLLPP0000011,603531067,1RY,EUR,2022-12-23,2360.0,2360.0,2360.0,2360.0,2,1,2360.0
PLLPP0000011,603531067,1RY,EUR,2022-12-27,2324.0,2324.0,2324.0,2324.0,0,0,2324.0
PLLPP0000011,603531067,1RY,EUR,2022-12-28,2252.0,2252.0,2252.0,2252.0,2,1,2252.0
PLLPP0000011,603531067,1RY,EUR,2022-12-29,2230.0,2230.0,2230.0,2230.0,0,0,2230.0
PLLPP0000011,603531067,1RY,EUR,2022-12-30,2268.0,2268.0,2268.0,2268.0,0,0,2268.0
PLLPP0000011,603531067,1RY,EUR,2023-01-02,2260.0,2260.0,2260.0,2260.0,0,0,2260.0
PLLPP0000011,603531067,1RY,EUR,2023-01-03,2248.0,2248.0,2248.0,2248.0,0,0,2248.0
PLLPP0000011,603531067,1RY,EUR,2023-01-04,2334.0,2334.0,2334.0,2334.0,0,0,2334.0
PLLPP0000011,603531067,1RY,EUR,2023-01-05,2326.0,2326.0,2326.0,2326.0,0,0,2326.0
PLLPP0000011,603531067,1RY,EUR,2023-01-06,2384.0,2384.0,2384.0,2384.0,0,0,2384.0
PLLPP0000011,603531067,1RY,EUR,2023-01-09,2418.0,2418.0,2418.0,2418.0,0,0,2418.0
PLLPP0000011,603531067,1RY,EUR,2023-01-10,2476.0,2476.0,2476.0,2476.0,0,0,2476.0
PLLPP0000011,603531067,1RY,EUR,2023-01-11,2670.0,2670.0,2670.0,2670.0,0,0,2670.0
PLLPP0000011,603531067,1RY,EUR,2023-01-12,2442.0,2442.0,2442.0,2442.0,0,0,2442.0
PLLPP0000011,603531067,1RY,EUR,2023-01-13,2280.0,2280.0,2280.0,2280.0,0,0,2280.0
PLLPP0000011,603531067,1RY,EUR,2023-01-16,2244.0,2244.0,2244.0,2244.0,0,0,2244.0
PLLPP0000011,603531067,1RY,EUR,2023-01-17,2274.0,2274.0,2274.0,2274.0,0,0,2274.0
PLLPP0000011,603531067,1RY,EUR,2023-01-18,2238.0,2238.0,2238.0,2238.0,0,0,2238.0
PLLPP0000011,603531067,1RY,EUR,2023-01-19,2222.0,2222.0,2222.0,2222.0,0,0,2222.0
PLLPP0000011,603531067,1RY,EUR,2023-01-20,2206.0,2206.0,2206.0,2206.0,0,0,2206.0
PLLPP0000011,603531067,1RY,EUR,2023-01-23,2248.0,2248.0,2248.0,2248.0,0,0,2248.0
PLLPP0000011,603531067,1RY,EUR,2023-01-24,2248.0,2248.0,2248.0,2248.0,0,0,2248.0
PLLPP0000011,603531067,1RY,EUR,2023-01-25,2220.0,2220.0,2220.0,2220.0,0,0,2220.0
PLLPP0000011,603531067,1RY,EUR,2023-01-26,2204.0,2204.0,2204.0,2204.0,0,0,2204.0
PLLPP0000011,603531067,1RY,EUR,2023-01-27,2200.0,2200.0,2200.0,2200.0,0,0,2200.0
PLLPP0000011,603531067,1RY,EUR,2023-01-30,2190.0,2190.0,2190.0,2190.0,0,0,2190.0
PLLPP0000011,603531067,1RY,EUR,2023-01-31,2158.0,2158.0,2158.0,2158.0,0,0,2158.0
PLLPP0000011,603531067,1RY,EUR,2023-02-01,2144.0,2144.0,2144.0,2144.0,0,0,2144.0
PLLPP0000011,603531067,1RY,EUR,2023-02-02,2146.0,2146.0,2146.0,2146.0,0,0,2146.0
PLLPP0000011,603531067,1RY,EUR,2023-02-03,2186.0,2186.0,2186.0,2186.0,0,0,2186.0
PLLPP0000011,603531067,1RY,EUR,2023-02-06,2182.0,2182.0,2182.0,2182.0,0,0,2182.0
PLLPP0000011,603531067,1RY,EUR,2023-02-07,2132.0,2132.0,2132.0,2132.0,0,0,2132.0
PLLPP0000011,603531067,1RY,EUR,2023-02-08,2128.0,2128.0,2128.0,2128.0,0,0,2128.0
PLLPP0000011,603531067,1RY,EUR,2023-02-09,2130.0,2130.0,2130.0,2130.0,0,0,2130.0
PLLPP0000011,603531067,1RY,EUR,2023-02-10,2112.0,2112.0,2112.0,2112.0,0,0,2112.0
PLLPP0000011,603531067,1RY,EUR,2023-02-13,2016.0,2016.0,2016.0,2016.0,0,0,2016.0
PLLPP0000011,603531067,1RY,EUR,2023-02-14,2054.0,2054.0,2054.0,2054.0,0,0,2054.0
PLLPP0000011,603531067,1RY,EUR,2023-02-15,2042.0,2042.0,2042.0,2042.0,0,0,2042.0
PLLPP0000011,603531067,1RY,EUR,2023-02-16,2090.0,2090.0,2090.0,2090.0,0,0,2090.0
PLLPP0000011,603531067,1RY,EUR,2023-02-17,2048.0,2048.0,2048.0,2048.0,0,0,2048.0
PLLPP0000011,603531067,1RY,EUR,2023-02-20,2090.0,2090.0,2090.0,2090.0,0,0,2090.0
PLLPP0000011,603531067,1RY,EUR,2023-02-21,2052.0,2052.0,2052.0,2052.0,0,0,2052.0
PLLPP0000011,603531067,1RY,EUR,2023-02-22,2066.0,2066.0,2066.0,2066.0,0,0,2066.0
PLLPP0000011,603531067,1RY,EUR,2023-02-23,2016.0,2016.0,2016.0,2016.0,0,0,2016.0
PLLPP0000011,603531067,1RY,EUR,2023-02-24,2008.0,2008.0,2008.0,2008.0,0,0,2008.0
PLLPP0000011,603531067,1RY,EUR,2023-02-27,1993.0,1993.0,1993.0,1993.0,0,0,1993.0
PLLPP0000011,603531067,1RY,EUR,2023-02-28,2028.0,2028.0,2028.0,2028.0,0,0,2028.0
PLLPP0000011,603531067,1RY,EUR,2023-03-01,1988.0,1988.0,1988.0,1988.0,0,0,1988.0
PLLPP0000011,603531067,1RY,EUR,2023-03-02,2040.0,2040.0,2040.0,2040.0,0,0,2040.0
PLLPP0000011,603531067,1RY,EUR,2023-03-03,2008.0,2008.0,2008.0,2008.0,0,0,2008.0
PLLPP0000011,603531067,1RY,EUR,2023-03-06,2042.0,2042.0,2042.0,2042.0,0,0,2042.0
PLLPP0000011,603531067,1RY,EUR,2023-03-07,2084.0,2084.0,2084.0,2084.0,0,0,2084.0
PLLPP0000011,603531067,1RY,EUR,2023-03-08,2080.0,2080.0,2080.0,2080.0,0,0,2080.0
PLLPP0000011,603531067,1RY,EUR,2023-03-09,2084.0,2084.0,2084.0,2084.0,0,0,2084.0
PLLPP0000011,603531067,1RY,EUR,2023-03-10,1999.0,1999.0,1999.0,1999.0,0,0,1999.0
PLLPP0000011,603531067,1RY,EUR,2023-03-13,2014.0,2014.0,2014.0,2014.0,0,0,2014.0
PLLPP0000011,603531067,1RY,EUR,2023-03-14,1925.0,1925.0,1925.0,1925.0,0,0,1925.0
PLLPP0000011,603531067,1RY,EUR,2023-03-15,1972.0,1972.0,1972.0,1972.0,0,0,1972.0
PLLPP0000011,603531067,1RY,EUR,2023-03-16,1945.0,1945.0,1945.0,1945.0,0,0,1945.0
PLLPP0000011,603531067,1RY,EUR,2023-03-17,1969.0,1969.0,1969.0,1969.0,0,0,1969.0
PLLPP0000011,603531067,1RY,EUR,2023-03-20,1932.0,1932.0,1932.0,1932.0,0,0,1932.0
PLLPP0000011,603531067,1RY,EUR,2023-03-21,1981.0,1981.0,1981.0,1981.0,0,0,1981.0
PLLPP0000011,603531067,1RY,EUR,2023-03-22,1982.0,1982.0,1982.0,1982.0,0,0,1982.0
PLLPP0000011,603531067,1RY,EUR,2023-03-23,1968.0,1968.0,1968.0,1968.0,0,0,1968.0
PLLPP0000011,603531067,1RY,EUR,2023-03-24,1984.0,1984.0,1984.0,1984.0,0,0,1984.0
PLLPP0000011,603531067,1RY,EUR,2023-03-27,1992.0,1992.0,1992.0,1992.0,0,0,1992.0
PLLPP0000011,603531067,1RY,EUR,2023-03-28,2044.0,2044.0,2044.0,2044.0,0,0,2044.0
PLLPP0000011,603531067,1RY,EUR,2023-03-29,1993.0,1993.0,1993.0,1993.0,0,0,1993.0
