ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
PLMRBUD00015,603483031,9SX,EUR,2022-12-16,0.922,0.922,0.922,0.922,0,0,0.922
PLMRBUD00015,603483031,9SX,EUR,2022-12-19,0.914,0.914,0.914,0.914,0,0,0.914
PLMRBUD00015,603483031,9SX,EUR,2022-12-20,0.918,0.918,0.918,0.918,0,0,0.918
PLMRBUD00015,603483031,9SX,EUR,2022-12-21,0.92,0.92,0.92,0.92,0,0,0.92
PLMRBUD00015,603483031,9SX,EUR,2022-12-22,0.92,0.92,0.92,0.92,0,0,0.92
PLMRBUD00015,603483031,9SX,EUR,2022-12-23,0.942,0.942,0.942,0.942,0,0,0.942
PLMRBUD00015,603483031,9SX,EUR,2022-12-27,0.914,0.914,0.914,0.914,0,0,0.914
PLMRBUD00015,603483031,9SX,EUR,2022-12-28,0.872,0.872,0.872,0.872,0,0,0.872
PLMRBUD00015,603483031,9SX,EUR,2022-12-29,0.92,0.92,0.92,0.92,0,0,0.92
PLMRBUD00015,603483031,9SX,EUR,2022-12-30,0.932,0.932,0.932,0.932,0,0,0.932
PLMRBUD00015,603483031,9SX,EUR,2023-01-02,0.914,0.914,0.914,0.914,0,0,0.914
PLMRBUD00015,603483031,9SX,EUR,2023-01-03,0.964,0.964,0.964,0.964,0,0,0.964
PLMRBUD00015,603483031,9SX,EUR,2023-01-04,1.002,1.002,1.002,1.002,0,0,1.002
PLMRBUD00015,603483031,9SX,EUR,2023-01-05,0.978,0.978,0.978,0.978,0,0,0.978
PLMRBUD00015,603483031,9SX,EUR,2023-01-06,0.978,0.978,0.978,0.978,0,0,0.978
PLMRBUD00015,603483031,9SX,EUR,2023-01-09,1.0,1.0,1.0,1.0,0,0,1.0
PLMRBUD00015,603483031,9SX,EUR,2023-01-10,1.012,1.012,1.012,1.012,0,0,1.012
PLMRBUD00015,603483031,9SX,EUR,2023-01-11,1.012,1.012,1.012,1.012,0,0,1.012
PLMRBUD00015,603483031,9SX,EUR,2023-01-12,0.984,0.984,0.984,0.984,0,0,0.984
PLMRBUD00015,603483031,9SX,EUR,2023-01-13,1.01,1.01,1.01,1.01,0,0,1.01
PLMRBUD00015,603483031,9SX,EUR,2023-01-16,1.014,1.014,1.014,1.014,0,0,1.014
PLMRBUD00015,603483031,9SX,EUR,2023-01-17,1.112,1.112,1.112,1.112,0,0,1.112
PLMRBUD00015,603483031,9SX,EUR,2023-01-18,1.102,1.102,1.102,1.102,0,0,1.102
PLMRBUD00015,603483031,9SX,EUR,2023-01-19,1.088,1.088,1.088,1.088,0,0,1.088
