ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
PLMVGMS00011,603515535,2LH,EUR,2022-12-16,4.09,4.09,4.09,4.09,0,0,4.09
PLMVGMS00011,603515535,2LH,EUR,2022-12-19,3.996,3.996,3.996,3.996,0,0,3.996
PLMVGMS00011,603515535,2LH,EUR,2022-12-20,4.37,4.37,4.37,4.37,0,0,4.37
PLMVGMS00011,603515535,2LH,EUR,2022-12-21,4.41,4.41,4.41,4.41,0,0,4.41
PLMVGMS00011,603515535,2LH,EUR,2022-12-22,4.396,4.396,4.396,4.396,0,0,4.396
PLMVGMS00011,603515535,2LH,EUR,2022-12-23,4.224,4.224,4.224,4.224,0,0,4.224
PLMVGMS00011,603515535,2LH,EUR,2022-12-27,4.156,4.156,4.156,4.156,0,0,4.156
PLMVGMS00011,603515535,2LH,EUR,2022-12-28,3.886,3.886,3.886,3.886,0,0,3.886
PLMVGMS00011,603515535,2LH,EUR,2022-12-29,3.95,3.95,3.95,3.95,0,0,3.95
PLMVGMS00011,603515535,2LH,EUR,2022-12-30,4.06,4.06,4.06,4.06,0,0,4.06
PLMVGMS00011,603515535,2LH,EUR,2023-01-02,4.74,4.74,3.956,3.956,4,1,4.74
PLMVGMS00011,603515535,2LH,EUR,2023-01-03,4.05,4.05,4.05,4.05,0,0,4.05
PLMVGMS00011,603515535,2LH,EUR,2023-01-04,4.15,4.15,4.15,4.15,0,0,4.15
PLMVGMS00011,603515535,2LH,EUR,2023-01-05,4.446,4.446,4.446,4.446,0,0,4.446
PLMVGMS00011,603515535,2LH,EUR,2023-01-06,5.1,5.1,5.1,5.1,0,0,5.1
PLMVGMS00011,603515535,2LH,EUR,2023-01-09,5.11,5.11,5.11,5.11,0,0,5.11
PLMVGMS00011,603515535,2LH,EUR,2023-01-10,5.42,5.42,5.42,5.42,0,0,5.42
PLMVGMS00011,603515535,2LH,EUR,2023-01-11,5.49,5.49,5.49,5.49,0,0,5.49
PLMVGMS00011,603515535,2LH,EUR,2023-01-12,5.69,5.69,5.69,5.69,0,0,5.69
PLMVGMS00011,603515535,2LH,EUR,2023-01-13,5.98,5.98,5.98,5.98,0,0,5.98
PLMVGMS00011,603515535,2LH,EUR,2023-01-16,6.0,6.0,5.95,5.95,42,1,6.0
PLMVGMS00011,603515535,2LH,EUR,2023-01-17,5.32,5.32,5.32,5.32,0,0,5.32
PLMVGMS00011,603515535,2LH,EUR,2023-01-18,5.42,5.42,5.42,5.42,0,0,5.42
PLMVGMS00011,603515535,2LH,EUR,2023-01-19,5.47,5.47,5.47,5.47,0,0,5.47
PLMVGMS00011,603515535,2LH,EUR,2023-01-20,5.62,5.62,5.62,5.62,0,0,5.62
PLMVGMS00011,603515535,2LH,EUR,2023-01-23,5.9,5.9,5.9,5.9,0,0,5.9
PLMVGMS00011,603515535,2LH,EUR,2023-01-24,6.82,6.82,6.82,6.82,0,0,6.82
PLMVGMS00011,603515535,2LH,EUR,2023-01-25,5.15,5.15,5.15,5.15,0,0,5.15
PLMVGMS00011,603515535,2LH,EUR,2023-01-26,5.19,5.19,5.19,5.19,0,0,5.19
PLMVGMS00011,603515535,2LH,EUR,2023-01-27,4.646,4.646,4.646,4.646,0,0,4.646
PLMVGMS00011,603515535,2LH,EUR,2023-01-30,4.804,4.806,4.804,4.804,0,0,4.804
PLMVGMS00011,603515535,2LH,EUR,2023-01-31,4.714,4.716,4.714,4.714,0,0,4.714
PLMVGMS00011,603515535,2LH,EUR,2023-02-01,5.05,5.05,4.656,4.656,200,1,5.05
PLMVGMS00011,603515535,2LH,EUR,2023-02-02,4.43,4.43,4.43,4.43,0,0,4.43
PLMVGMS00011,603515535,2LH,EUR,2023-02-03,4.326,4.326,4.324,4.326,0,0,4.326
PLMVGMS00011,603515535,2LH,EUR,2023-02-06,4.384,4.386,4.384,4.384,0,0,4.384
PLMVGMS00011,603515535,2LH,EUR,2023-02-07,4.56,4.56,4.56,4.56,0,0,4.56
PLMVGMS00011,603515535,2LH,EUR,2023-02-08,4.6,4.6,4.6,4.6,0,0,4.6
PLMVGMS00011,603515535,2LH,EUR,2023-02-09,4.576,4.576,4.574,4.576,0,0,4.576
PLMVGMS00011,603515535,2LH,EUR,2023-02-10,4.5,4.5,4.5,4.5,0,0,4.5
