ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
PLOPNPL00013,603524024,79I,EUR,2022-12-16,7.36,7.36,7.36,7.36,0,0,7.36
PLOPNPL00013,603524024,79I,EUR,2022-12-19,7.46,7.46,7.46,7.46,0,0,7.46
PLOPNPL00013,603524024,79I,EUR,2022-12-20,7.3,7.3,7.3,7.3,0,0,7.3
PLOPNPL00013,603524024,79I,EUR,2022-12-21,7.3,7.3,7.3,7.3,0,0,7.3
PLOPNPL00013,603524024,79I,EUR,2022-12-22,7.3,7.3,7.3,7.3,0,0,7.3
PLOPNPL00013,603524024,79I,EUR,2022-12-23,7.46,7.46,7.46,7.46,0,0,7.46
PLOPNPL00013,603524024,79I,EUR,2022-12-27,7.2,7.2,7.2,7.2,0,0,7.2
PLOPNPL00013,603524024,79I,EUR,2022-12-28,7.26,7.26,7.26,7.26,0,0,7.26
PLOPNPL00013,603524024,79I,EUR,2022-12-29,7.3,7.3,7.3,7.3,0,0,7.3
PLOPNPL00013,603524024,79I,EUR,2022-12-30,7.4,7.4,7.4,7.4,0,0,7.4
PLOPNPL00013,603524024,79I,EUR,2023-01-02,7.2,7.2,7.2,7.2,0,0,7.2
PLOPNPL00013,603524024,79I,EUR,2023-01-03,7.26,7.26,7.26,7.26,0,0,7.26
PLOPNPL00013,603524024,79I,EUR,2023-01-04,7.2,7.2,7.2,7.2,0,0,7.2
PLOPNPL00013,603524024,79I,EUR,2023-01-05,7.26,7.26,7.26,7.26,0,0,7.26
PLOPNPL00013,603524024,79I,EUR,2023-01-06,7.16,7.16,7.16,7.16,0,0,7.16
PLOPNPL00013,603524024,79I,EUR,2023-01-09,7.36,7.36,7.36,7.36,0,0,7.36
PLOPNPL00013,603524024,79I,EUR,2023-01-10,7.5,7.5,7.5,7.5,0,0,7.5
PLOPNPL00013,603524024,79I,EUR,2023-01-11,7.5,7.5,7.5,7.5,0,0,7.5
PLOPNPL00013,603524024,79I,EUR,2023-01-12,7.5,7.5,7.5,7.5,0,0,7.5
PLOPNPL00013,603524024,79I,EUR,2023-01-13,7.5,7.5,7.5,7.5,0,0,7.5
PLOPNPL00013,603524024,79I,EUR,2023-01-16,7.46,7.46,7.46,7.46,0,0,7.46
PLOPNPL00013,603524024,79I,EUR,2023-01-17,7.46,7.46,7.46,7.46,0,0,7.46
PLOPNPL00013,603524024,79I,EUR,2023-01-18,7.4,7.4,7.4,7.4,0,0,7.4
PLOPNPL00013,603524024,79I,EUR,2023-01-19,7.26,7.26,7.26,7.26,0,0,7.26
PLOPNPL00013,603524024,79I,EUR,2023-01-20,7.46,7.46,7.46,7.46,0,0,7.46
PLOPNPL00013,603524024,79I,EUR,2023-01-23,7.6,7.6,7.6,7.6,0,0,7.6
PLOPNPL00013,603524024,79I,EUR,2023-01-24,7.56,7.56,7.56,7.56,0,0,7.56
PLOPNPL00013,603524024,79I,EUR,2023-01-25,7.6,7.6,7.6,7.6,0,0,7.6
PLOPNPL00013,603524024,79I,EUR,2023-01-26,7.76,7.76,7.76,7.76,0,0,7.76
PLOPNPL00013,603524024,79I,EUR,2023-01-27,8.0,8.0,8.0,8.0,0,0,8.0
PLOPNPL00013,603524024,79I,EUR,2023-01-30,8.06,8.06,8.06,8.06,0,0,8.06
PLOPNPL00013,603524024,79I,EUR,2023-01-31,8.06,8.06,8.06,8.06,0,0,8.06
PLOPNPL00013,603524024,79I,EUR,2023-02-01,7.66,7.66,7.66,7.66,0,0,7.66
PLOPNPL00013,603524024,79I,EUR,2023-02-02,7.9,7.9,7.9,7.9,0,0,7.9
PLOPNPL00013,603524024,79I,EUR,2023-02-03,7.9,7.9,7.9,7.9,0,0,7.9
PLOPNPL00013,603524024,79I,EUR,2023-02-06,7.96,7.96,7.96,7.96,0,0,7.96
PLOPNPL00013,603524024,79I,EUR,2023-02-07,8.16,8.16,8.16,8.16,0,0,8.16
PLOPNPL00013,603524024,79I,EUR,2023-02-08,8.0,8.0,8.0,8.0,0,0,8.0
PLOPNPL00013,603524024,79I,EUR,2023-02-09,8.06,8.06,8.06,8.06,0,0,8.06
PLOPNPL00013,603524024,79I,EUR,2023-02-10,7.8,7.8,7.8,7.8,0,0,7.8
PLOPNPL00013,603524024,79I,EUR,2023-02-13,7.86,7.86,7.86,7.86,0,0,7.86
PLOPNPL00013,603524024,79I,EUR,2023-02-14,7.66,7.66,7.66,7.66,0,0,7.66
PLOPNPL00013,603524024,79I,EUR,2023-02-15,7.8,7.8,7.8,7.8,0,0,7.8
PLOPNPL00013,603524024,79I,EUR,2023-02-16,7.7,7.7,7.7,7.7,0,0,7.7
PLOPNPL00013,603524024,79I,EUR,2023-02-17,7.7,7.7,7.7,7.7,0,0,7.7
PLOPNPL00013,603524024,79I,EUR,2023-02-20,7.8,7.8,7.8,7.8,0,0,7.8
PLOPNPL00013,603524024,79I,EUR,2023-02-21,7.86,7.86,7.86,7.86,0,0,7.86
PLOPNPL00013,603524024,79I,EUR,2023-02-22,7.8,7.8,7.8,7.8,0,0,7.8
PLOPNPL00013,603524024,79I,EUR,2023-02-23,7.9,7.9,7.9,7.9,0,0,7.9
PLOPNPL00013,603524024,79I,EUR,2023-02-24,7.9,7.9,7.9,7.9,0,0,7.9
PLOPNPL00013,603524024,79I,EUR,2023-02-27,7.86,7.86,7.86,7.86,0,0,7.86
PLOPNPL00013,603524024,79I,EUR,2023-02-28,7.7,7.7,7.7,7.7,0,0,7.7
PLOPNPL00013,603524024,79I,EUR,2023-03-01,7.86,7.86,7.86,7.86,0,0,7.86
PLOPNPL00013,603524024,79I,EUR,2023-03-02,7.8,7.8,7.8,7.8,0,0,7.8
PLOPNPL00013,603524024,79I,EUR,2023-03-03,7.76,7.76,7.76,7.76,0,0,7.76
PLOPNPL00013,603524024,79I,EUR,2023-03-06,8.6,8.6,7.86,7.86,70,1,8.6
PLOPNPL00013,603524024,79I,EUR,2023-03-07,8.0,8.0,8.0,8.0,0,0,8.0
PLOPNPL00013,603524024,79I,EUR,2023-03-08,8.34,8.34,8.34,8.34,0,0,8.34
PLOPNPL00013,603524024,79I,EUR,2023-03-09,8.4,8.4,8.4,8.4,0,0,8.4
PLOPNPL00013,603524024,79I,EUR,2023-03-10,8.16,8.16,8.16,8.16,0,0,8.16
PLOPNPL00013,603524024,79I,EUR,2023-03-13,7.9,7.9,7.9,7.9,0,0,7.9
PLOPNPL00013,603524024,79I,EUR,2023-03-14,8.1,8.1,8.1,8.1,0,0,8.1
PLOPNPL00013,603524024,79I,EUR,2023-03-15,7.7,7.7,7.7,7.7,0,0,7.7
PLOPNPL00013,603524024,79I,EUR,2023-03-16,7.76,7.76,7.76,7.76,0,0,7.76
PLOPNPL00013,603524024,79I,EUR,2023-03-17,7.8,7.8,7.8,7.8,0,0,7.8
PLOPNPL00013,603524024,79I,EUR,2023-03-20,8.6,8.6,7.7,7.7,130,1,8.58
PLOPNPL00013,603524024,79I,EUR,2023-03-21,7.76,7.76,7.76,7.76,0,0,7.76
PLOPNPL00013,603524024,79I,EUR,2023-03-22,7.8,7.8,7.8,7.8,0,0,7.8
PLOPNPL00013,603524024,79I,EUR,2023-03-23,7.76,7.76,7.76,7.76,0,0,7.76
PLOPNPL00013,603524024,79I,EUR,2023-03-24,7.86,7.86,7.86,7.86,0,0,7.86
PLOPNPL00013,603524024,79I,EUR,2023-03-27,7.96,7.96,7.96,7.96,0,0,7.96
PLOPNPL00013,603524024,79I,EUR,2023-03-28,7.86,7.86,7.86,7.86,0,0,7.86
PLOPNPL00013,603524024,79I,EUR,2023-03-29,7.7,7.7,7.7,7.7,0,0,7.7
PLOPNPL00013,603524024,79I,EUR,2023-03-30,7.76,7.76,7.76,7.76,0,0,7.76
PLOPNPL00013,603524024,79I,EUR,2023-03-31,7.86,7.86,7.86,7.86,0,0,7.86
PLOPNPL00013,603524024,79I,EUR,2023-04-03,7.86,7.86,7.86,7.86,0,0,7.86
PLOPNPL00013,603524024,79I,EUR,2023-04-04,7.96,7.96,7.96,7.96,0,0,7.96
PLOPNPL00013,603524024,79I,EUR,2023-04-05,7.86,7.86,7.86,7.86,0,0,7.86
PLOPNPL00013,603524024,79I,EUR,2023-04-06,8.0,8.0,8.0,8.0,0,0,8.0
PLOPNPL00013,603524024,79I,EUR,2023-04-11,8.06,8.06,8.06,8.06,0,0,8.06
PLOPNPL00013,603524024,79I,EUR,2023-04-12,8.3,8.3,8.3,8.3,0,0,8.3
PLOPNPL00013,603524024,79I,EUR,2023-04-13,8.1,8.1,8.1,8.1,0,0,8.1
PLOPNPL00013,603524024,79I,EUR,2023-04-14,8.2,8.2,8.2,8.2,0,0,8.2
PLOPNPL00013,603524024,79I,EUR,2023-04-17,8.2,8.2,8.2,8.2,0,0,8.2
PLOPNPL00013,603524024,79I,EUR,2023-04-18,8.34,8.34,8.34,8.34,0,0,8.34
PLOPNPL00013,603524024,79I,EUR,2023-04-19,8.4,8.4,8.4,8.4,0,0,8.4
PLOPNPL00013,603524024,79I,EUR,2023-04-20,8.9,8.9,8.9,8.9,0,0,8.9
PLOPNPL00013,603524024,79I,EUR,2023-04-21,8.84,8.84,8.84,8.84,0,0,8.84
