ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
PLOPTTC00011,391028078,7CD,EUR,2019-11-11,62.28,63.56,62.0,63.56,358,7,62.98
PLOPTTC00011,391028078,7CD,EUR,2019-11-12,62.72,62.72,60.22,61.72,239,7,60.678
PLOPTTC00011,391028078,7CD,EUR,2019-11-13,62.16,63.0,60.9,60.96,262,7,61.558
PLOPTTC00011,391028078,7CD,EUR,2019-11-14,62.98,62.98,60.9,61.98,401,7,61.508
PLOPTTC00011,391028078,7CD,EUR,2019-11-15,62.24,62.5,60.84,62.5,397,11,62.259
PLOPTTC00011,391028078,7CD,EUR,2019-11-18,62.3,64.5,60.8,62.0,361,10,61.996
PLOPTTC00011,391028078,7CD,EUR,2019-11-19,60.72,63.04,60.72,62.5,1053,14,61.683
PLOPTTC00011,391028078,7CD,EUR,2019-11-20,62.7,62.74,61.0,62.74,115,4,61.916
PLOPTTC00011,391028078,7CD,EUR,2019-11-21,62.7,62.7,61.0,61.94,340,6,61.893
PLOPTTC00011,391028078,7CD,EUR,2019-11-22,62.86,62.98,61.8,62.7,215,7,62.555
PLOPTTC00011,391028078,7CD,EUR,2019-11-25,60.8,62.98,60.8,62.98,732,6,61.138
PLOPTTC00011,391028078,7CD,EUR,2019-11-26,62.98,63.0,62.68,62.68,210,7,62.912
PLOPTTC00011,391028078,7CD,EUR,2019-11-27,62.7,62.98,61.9,62.7,180,6,62.261
PLOPTTC00011,391028078,7CD,EUR,2019-11-28,62.7,63.0,62.7,62.7,104,3,62.956
PLOPTTC00011,391028078,7CD,EUR,2019-11-29,61.8,62.78,61.2,62.0,452,10,61.897
PLOPTTC00011,391028078,7CD,EUR,2019-12-02,62.3,62.3,59.02,60.88,6803,22,59.744
PLOPTTC00011,391028078,7CD,EUR,2019-12-03,61.06,61.18,59.12,61.1,282,10,60.656
PLOPTTC00011,391028078,7CD,EUR,2019-12-04,61.14,61.14,60.7,60.7,163,3,60.832
PLOPTTC00011,391028078,7CD,EUR,2019-12-05,62.22,62.24,62.06,62.06,35,2,62.239
PLOPTTC00011,391028078,7CD,EUR,2019-12-06,61.98,61.98,60.6,61.96,77,4,61.663
PLOPTTC00011,391028078,7CD,EUR,2019-12-09,61.9,63.0,60.5,62.04,99,7,62.04
PLOPTTC00011,391028078,7CD,EUR,2019-12-10,62.0,62.0,59.16,59.16,519,5,61.773
PLOPTTC00011,391028078,7CD,EUR,2019-12-11,60.0,60.3,59.02,59.02,854,6,60.072
PLOPTTC00011,391028078,7CD,EUR,2019-12-12,60.48,61.14,58.94,61.1,1387,7,60.028
PLOPTTC00011,391028078,7CD,EUR,2019-12-13,60.0,61.6,60.0,60.56,389,9,61.027
PLOPTTC00011,391028078,7CD,EUR,2019-12-16,60.48,61.24,59.56,60.0,669,11,60.338
PLOPTTC00011,391028078,7CD,EUR,2019-12-17,61.22,61.68,59.54,61.68,219,10,60.533
PLOPTTC00011,391028078,7CD,EUR,2019-12-18,60.48,62.8,60.48,62.7,2004,16,62.175
PLOPTTC00011,391028078,7CD,EUR,2019-12-19,63.8,64.2,62.6,63.3,1089,19,63.337
PLOPTTC00011,391028078,7CD,EUR,2019-12-20,63.9,64.5,62.34,64.36,723,12,64.013
PLOPTTC00011,391028078,7CD,EUR,2019-12-23,64.38,66.32,63.0,64.8,2290,28,64.94
PLOPTTC00011,391028078,7CD,EUR,2019-12-27,66.9,68.66,65.5,68.66,6185,65,66.848
PLOPTTC00011,391028078,7CD,EUR,2019-12-30,67.7,67.9,66.0,67.22,2098,26,67.313
PLOPTTC00011,391028078,7CD,EUR,2020-01-02,66.72,68.82,65.86,68.82,3741,52,67.697
PLOPTTC00011,391028078,7CD,EUR,2020-01-03,66.6,68.44,66.1,68.4,2044,39,67.49
PLOPTTC00011,391028078,7CD,EUR,2020-01-06,68.66,69.08,66.38,69.08,719,13,68.189
PLOPTTC00011,391028078,7CD,EUR,2020-01-07,68.4,68.98,67.0,68.06,2321,31,68.041
PLOPTTC00011,391028078,7CD,EUR,2020-01-08,67.9,68.16,65.0,67.72,1887,33,66.664
PLOPTTC00011,391028078,7CD,EUR,2020-01-09,67.7,70.86,67.7,70.86,692,17,68.328
PLOPTTC00011,391028078,7CD,EUR,2020-01-10,68.48,69.9,67.3,68.32,6130,29,68.446
PLOPTTC00011,391028078,7CD,EUR,2020-01-13,69.5,69.92,68.0,68.24,1760,16,68.882
PLOPTTC00011,391028078,7CD,EUR,2020-01-14,67.38,70.04,67.38,69.68,1947,36,69.156
PLOPTTC00011,391028078,7CD,EUR,2020-01-15,69.0,69.38,67.5,68.5,1853,19,68.435
PLOPTTC00011,391028078,7CD,EUR,2020-01-16,68.4,68.42,62.56,62.56,3187,39,65.955
PLOPTTC00011,391028078,7CD,EUR,2020-01-17,64.0,65.72,56.6,65.4,12617,181,61.375
PLOPTTC00011,391028078,7CD,EUR,2020-01-20,65.8,67.58,63.12,67.58,4137,57,66.318
PLOPTTC00011,391028078,7CD,EUR,2020-01-21,67.18,67.86,65.1,66.9,1902,43,66.802
PLOPTTC00011,391028078,7CD,EUR,2020-01-22,67.64,67.66,66.0,66.44,1414,19,66.877
PLOPTTC00011,391028078,7CD,EUR,2020-01-23,66.44,66.56,64.8,65.82,3081,28,65.174
PLOPTTC00011,391028078,7CD,EUR,2020-01-24,66.04,66.12,64.4,66.12,1652,32,65.279
PLOPTTC00011,391028078,7CD,EUR,2020-01-27,66.3,66.3,62.0,64.14,2226,29,64.29
PLOPTTC00011,391028078,7CD,EUR,2020-01-28,64.86,65.2,64.0,65.18,732,13,64.74
PLOPTTC00011,391028078,7CD,EUR,2020-01-29,65.18,65.4,63.88,65.4,727,16,65.192
PLOPTTC00011,391028078,7CD,EUR,2020-01-30,65.4,65.92,61.56,61.56,924,20,64.796
PLOPTTC00011,391028078,7CD,EUR,2020-01-31,65.52,65.52,64.9,65.24,278,11,65.05
PLOPTTC00011,391028078,7CD,EUR,2020-02-03,65.9,69.0,65.4,68.38,2168,32,67.254
PLOPTTC00011,391028078,7CD,EUR,2020-02-04,68.38,72.5,68.34,71.58,2832,30,69.824
PLOPTTC00011,391028078,7CD,EUR,2020-02-05,71.9,75.72,70.26,72.98,2002,43,73.174
