ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
PLPGER000010,603525317,6PG,EUR,2022-12-16,1.38,1.38,1.38,1.38,0,0,1.38
PLPGER000010,603525317,6PG,EUR,2022-12-19,1.387,1.387,1.387,1.387,0,0,1.387
PLPGER000010,603525317,6PG,EUR,2022-12-20,1.367,1.367,1.367,1.367,0,0,1.367
PLPGER000010,603525317,6PG,EUR,2022-12-21,1.4154,1.4156,1.413,1.413,250,1,1.4155
PLPGER000010,603525317,6PG,EUR,2022-12-22,1.4086,1.4086,1.4086,1.4086,0,0,1.4086
PLPGER000010,603525317,6PG,EUR,2022-12-23,1.4154,1.4154,1.4154,1.4154,0,0,1.4154
PLPGER000010,603525317,6PG,EUR,2022-12-27,1.4054,1.4056,1.4054,1.4054,80,1,1.4055
PLPGER000010,603525317,6PG,EUR,2022-12-28,1.407,1.407,1.365,1.365,180,1,1.407
PLPGER000010,603525317,6PG,EUR,2022-12-29,1.4006,1.4006,1.4006,1.4006,0,0,1.4006
PLPGER000010,603525317,6PG,EUR,2022-12-30,1.427,1.427,1.427,1.427,0,0,1.427
PLPGER000010,603525317,6PG,EUR,2023-01-02,1.4626,1.4626,1.444,1.444,203,1,1.4625
PLPGER000010,603525317,6PG,EUR,2023-01-03,1.4816,1.4816,1.48,1.48,73,2,1.48068
PLPGER000010,603525317,6PG,EUR,2023-01-04,1.4376,1.4376,1.4376,1.4376,0,0,1.4376
PLPGER000010,603525317,6PG,EUR,2023-01-05,1.458,1.458,1.458,1.458,0,0,1.458
PLPGER000010,603525317,6PG,EUR,2023-01-06,1.4626,1.4626,1.4626,1.4626,0,0,1.4626
PLPGER000010,603525317,6PG,EUR,2023-01-09,1.417,1.458,1.417,1.458,67,1,1.417
PLPGER000010,603525317,6PG,EUR,2023-01-10,1.4286,1.4286,1.3986,1.3986,140,2,1.4185
PLPGER000010,603525317,6PG,EUR,2023-01-11,1.3974,1.3974,1.3974,1.3974,0,0,1.3974
PLPGER000010,603525317,6PG,EUR,2023-01-12,1.4306,1.4306,1.4306,1.4306,0,0,1.4306
PLPGER000010,603525317,6PG,EUR,2023-01-13,1.465,1.465,1.465,1.465,0,0,1.465
PLPGER000010,603525317,6PG,EUR,2023-01-16,1.4556,1.4556,1.4556,1.4556,0,0,1.4556
PLPGER000010,603525317,6PG,EUR,2023-01-17,1.503,1.55,1.503,1.55,2000,2,1.5265
PLPGER000010,603525317,6PG,EUR,2023-01-18,1.4546,1.4546,1.4546,1.4546,0,0,1.4546
PLPGER000010,603525317,6PG,EUR,2023-01-19,1.5264,1.5266,1.5264,1.5264,1000,1,1.5265
PLPGER000010,603525317,6PG,EUR,2023-01-20,1.5284,1.5284,1.5284,1.5284,0,0,1.5284
PLPGER000010,603525317,6PG,EUR,2023-01-23,1.555,1.555,1.555,1.555,0,0,1.555
PLPGER000010,603525317,6PG,EUR,2023-01-24,1.66,1.66,1.66,1.66,60,1,1.66
PLPGER000010,603525317,6PG,EUR,2023-01-25,1.566,1.582,1.566,1.582,2746,4,1.56708
PLPGER000010,603525317,6PG,EUR,2023-01-26,1.531,1.531,1.531,1.531,0,0,1.531
PLPGER000010,603525317,6PG,EUR,2023-01-27,1.5836,1.5836,1.5836,1.5836,0,0,1.5836
PLPGER000010,603525317,6PG,EUR,2023-01-30,1.5836,1.5836,1.5836,1.5836,0,0,1.5836
PLPGER000010,603525317,6PG,EUR,2023-01-31,1.586,1.586,1.586,1.586,0,0,1.586
PLPGER000010,603525317,6PG,EUR,2023-02-01,1.5756,1.5756,1.5104,1.53,1325,4,1.53064
PLPGER000010,603525317,6PG,EUR,2023-02-02,1.4836,1.4836,1.4836,1.4836,0,0,1.4836
PLPGER000010,603525317,6PG,EUR,2023-02-03,1.498,1.498,1.498,1.498,0,0,1.498
PLPGER000010,603525317,6PG,EUR,2023-02-06,1.4476,1.458,1.4474,1.458,120,1,1.4475
PLPGER000010,603525317,6PG,EUR,2023-02-07,1.4034,1.4034,1.4034,1.4034,0,0,1.4034
PLPGER000010,603525317,6PG,EUR,2023-02-08,1.406,1.406,1.406,1.406,0,0,1.406
PLPGER000010,603525317,6PG,EUR,2023-02-09,1.432,1.432,1.432,1.432,0,0,1.432
PLPGER000010,603525317,6PG,EUR,2023-02-10,1.4556,1.4586,1.4294,1.4294,1387,2,1.45702
PLPGER000010,603525317,6PG,EUR,2023-02-13,1.416,1.416,1.4094,1.4094,10,1,1.416
PLPGER000010,603525317,6PG,EUR,2023-02-14,1.4234,1.4236,1.3874,1.3874,703,1,1.4235
PLPGER000010,603525317,6PG,EUR,2023-02-15,1.3946,1.3946,1.3946,1.3946,0,0,1.3946
PLPGER000010,603525317,6PG,EUR,2023-02-16,1.3974,1.3974,1.3974,1.3974,0,0,1.3974
PLPGER000010,603525317,6PG,EUR,2023-02-17,1.391,1.391,1.391,1.391,0,0,1.391
PLPGER000010,603525317,6PG,EUR,2023-02-20,1.468,1.468,1.4214,1.4214,380,2,1.45188
PLPGER000010,603525317,6PG,EUR,2023-02-21,1.4046,1.4046,1.4044,1.4046,500,1,1.4045
PLPGER000010,603525317,6PG,EUR,2023-02-22,1.4034,1.4034,1.4034,1.4034,0,0,1.4034
PLPGER000010,603525317,6PG,EUR,2023-02-23,1.4314,1.4316,1.4314,1.4314,18,1,1.4315
PLPGER000010,603525317,6PG,EUR,2023-02-24,1.407,1.407,1.407,1.407,0,0,1.407
PLPGER000010,603525317,6PG,EUR,2023-02-27,1.3866,1.3866,1.3866,1.3866,0,0,1.3866
PLPGER000010,603525317,6PG,EUR,2023-02-28,1.3906,1.3906,1.3906,1.3906,0,0,1.3906
PLPGER000010,603525317,6PG,EUR,2023-03-01,1.4006,1.4006,1.4006,1.4006,0,0,1.4006
PLPGER000010,603525317,6PG,EUR,2023-03-02,1.4134,1.4134,1.4134,1.4134,0,0,1.4134
PLPGER000010,603525317,6PG,EUR,2023-03-03,1.3746,1.3746,1.359,1.359,800,1,1.3745
PLPGER000010,603525317,6PG,EUR,2023-03-06,1.387,1.3876,1.333,1.333,312,2,1.38718
PLPGER000010,603525317,6PG,EUR,2023-03-07,1.4294,1.4296,1.4294,1.4294,500,1,1.4295
PLPGER000010,603525317,6PG,EUR,2023-03-08,1.393,1.393,1.393,1.393,0,0,1.393
PLPGER000010,603525317,6PG,EUR,2023-03-09,1.3726,1.3726,1.3726,1.3726,0,0,1.3726
PLPGER000010,603525317,6PG,EUR,2023-03-10,1.3694,1.374,1.3694,1.374,750,1,1.3695
PLPGER000010,603525317,6PG,EUR,2023-03-13,1.379,1.379,1.3746,1.3746,250,1,1.379
PLPGER000010,603525317,6PG,EUR,2023-03-14,1.3266,1.3266,1.3266,1.3266,0,0,1.3266
PLPGER000010,603525317,6PG,EUR,2023-03-15,1.293,1.293,1.293,1.293,0,0,1.293
PLPGER000010,603525317,6PG,EUR,2023-03-16,1.2924,1.2926,1.2796,1.2796,198,1,1.2925
PLPGER000010,603525317,6PG,EUR,2023-03-17,1.277,1.277,1.2696,1.2696,687,1,1.277
PLPGER000010,603525317,6PG,EUR,2023-03-20,1.213,1.213,1.213,1.213,0,0,1.213
PLPGER000010,603525317,6PG,EUR,2023-03-21,1.248,1.248,1.248,1.248,0,0,1.248
PLPGER000010,603525317,6PG,EUR,2023-03-22,1.3004,1.3004,1.3004,1.3004,0,0,1.3004
PLPGER000010,603525317,6PG,EUR,2023-03-23,1.2864,1.2864,1.2864,1.2864,0,0,1.2864
PLPGER000010,603525317,6PG,EUR,2023-03-24,1.305,1.305,1.305,1.305,0,0,1.305
PLPGER000010,603525317,6PG,EUR,2023-03-27,1.275,1.275,1.275,1.275,0,0,1.275
PLPGER000010,603525317,6PG,EUR,2023-03-28,1.2676,1.2676,1.2676,1.2676,0,0,1.2676
PLPGER000010,603525317,6PG,EUR,2023-03-29,1.2644,1.2644,1.2644,1.2644,0,0,1.2644
PLPGER000010,603525317,6PG,EUR,2023-03-30,1.3064,1.357,1.2596,1.2596,751,2,1.35694
PLPGER000010,603525317,6PG,EUR,2023-03-31,1.3494,1.3494,1.3494,1.3494,0,0,1.3494
PLPGER000010,603525317,6PG,EUR,2023-04-03,1.3554,1.3556,1.3554,1.3554,18,1,1.3555
PLPGER000010,603525317,6PG,EUR,2023-04-04,1.3356,1.3356,1.323,1.323,74,1,1.3355
