ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
PLSTLPD00017,603513781,0WB,EUR,2022-12-16,51.9,51.9,51.9,51.9,0,0,51.9
PLSTLPD00017,603513781,0WB,EUR,2022-12-19,51.3,51.3,51.3,51.3,0,0,51.3
PLSTLPD00017,603513781,0WB,EUR,2022-12-20,50.3,50.3,50.3,50.3,0,0,50.3
PLSTLPD00017,603513781,0WB,EUR,2022-12-21,50.3,50.3,50.3,50.3,0,0,50.3
PLSTLPD00017,603513781,0WB,EUR,2022-12-22,50.5,50.5,50.5,50.5,0,0,50.5
PLSTLPD00017,603513781,0WB,EUR,2022-12-23,50.6,50.6,50.5,50.5,20,1,50.6
PLSTLPD00017,603513781,0WB,EUR,2022-12-27,50.6,50.6,50.6,50.6,60,2,50.6
PLSTLPD00017,603513781,0WB,EUR,2022-12-28,49.4,49.4,49.4,49.4,0,0,49.4
PLSTLPD00017,603513781,0WB,EUR,2022-12-29,49.4,49.4,49.4,49.4,0,0,49.4
PLSTLPD00017,603513781,0WB,EUR,2022-12-30,51.0,51.0,51.0,51.0,0,0,51.0
PLSTLPD00017,603513781,0WB,EUR,2023-01-02,51.0,51.0,51.0,51.0,0,0,51.0
PLSTLPD00017,603513781,0WB,EUR,2023-01-03,51.5,51.5,51.5,51.5,0,0,51.5
PLSTLPD00017,603513781,0WB,EUR,2023-01-04,51.5,51.5,51.5,51.5,0,0,51.5
PLSTLPD00017,603513781,0WB,EUR,2023-01-05,51.8,51.8,51.8,51.8,0,0,51.8
PLSTLPD00017,603513781,0WB,EUR,2023-01-06,52.5,52.5,52.5,52.5,0,0,52.5
PLSTLPD00017,603513781,0WB,EUR,2023-01-09,52.5,52.5,52.5,52.5,0,0,52.5
PLSTLPD00017,603513781,0WB,EUR,2023-01-10,54.7,54.7,54.7,54.7,0,0,54.7
PLSTLPD00017,603513781,0WB,EUR,2023-01-11,57.5,57.5,57.5,57.5,0,0,57.5
PLSTLPD00017,603513781,0WB,EUR,2023-01-12,59.0,59.0,59.0,59.0,0,0,59.0
PLSTLPD00017,603513781,0WB,EUR,2023-01-13,59.0,59.0,59.0,59.0,0,0,59.0
PLSTLPD00017,603513781,0WB,EUR,2023-01-16,59.0,59.0,59.0,59.0,0,0,59.0
PLSTLPD00017,603513781,0WB,EUR,2023-01-17,56.9,56.9,56.9,56.9,0,0,56.9
PLSTLPD00017,603513781,0WB,EUR,2023-01-18,59.0,59.0,59.0,59.0,0,0,59.0
PLSTLPD00017,603513781,0WB,EUR,2023-01-19,59.4,59.4,59.4,59.4,0,0,59.4
PLSTLPD00017,603513781,0WB,EUR,2023-01-20,59.1,59.1,59.1,59.1,0,0,59.1
PLSTLPD00017,603513781,0WB,EUR,2023-01-23,59.1,59.1,59.1,59.1,0,0,59.1
PLSTLPD00017,603513781,0WB,EUR,2023-01-24,59.5,59.5,59.5,59.5,0,0,59.5
PLSTLPD00017,603513781,0WB,EUR,2023-01-25,60.4,60.4,60.4,60.4,0,0,60.4
PLSTLPD00017,603513781,0WB,EUR,2023-01-26,60.4,60.4,60.4,60.4,0,0,60.4
PLSTLPD00017,603513781,0WB,EUR,2023-01-27,60.4,60.4,60.4,60.4,0,0,60.4
PLSTLPD00017,603513781,0WB,EUR,2023-01-30,61.6,61.6,60.4,60.4,30,1,61.6
PLSTLPD00017,603513781,0WB,EUR,2023-01-31,61.5,61.5,61.5,61.5,0,0,61.5
PLSTLPD00017,603513781,0WB,EUR,2023-02-01,61.5,61.5,61.5,61.5,0,0,61.5
PLSTLPD00017,603513781,0WB,EUR,2023-02-02,63.7,63.7,63.7,63.7,0,0,63.7
PLSTLPD00017,603513781,0WB,EUR,2023-02-03,64.7,64.7,63.7,63.7,47,2,64.46
PLSTLPD00017,603513781,0WB,EUR,2023-02-06,63.4,63.5,62.4,63.5,34,2,63.28
PLSTLPD00017,603513781,0WB,EUR,2023-02-07,62.3,62.6,60.6,62.6,50,2,61.96
PLSTLPD00017,603513781,0WB,EUR,2023-02-08,60.9,60.9,60.9,60.9,0,0,60.9
PLSTLPD00017,603513781,0WB,EUR,2023-02-09,60.9,60.9,60.9,60.9,0,0,60.9
PLSTLPD00017,603513781,0WB,EUR,2023-02-10,59.0,60.9,59.0,60.9,25,1,59.0
PLSTLPD00017,603513781,0WB,EUR,2023-02-13,59.6,59.6,59.6,59.6,0,0,59.6
PLSTLPD00017,603513781,0WB,EUR,2023-02-14,59.1,59.1,59.1,59.1,0,0,59.1
PLSTLPD00017,603513781,0WB,EUR,2023-02-15,59.1,59.1,59.1,59.1,0,0,59.1
PLSTLPD00017,603513781,0WB,EUR,2023-02-16,59.1,59.1,59.1,59.1,0,0,59.1
PLSTLPD00017,603513781,0WB,EUR,2023-02-17,55.9,56.3,55.9,56.3,35,1,55.9
PLSTLPD00017,603513781,0WB,EUR,2023-02-20,56.3,56.3,56.3,56.3,0,0,56.3
PLSTLPD00017,603513781,0WB,EUR,2023-02-21,56.3,56.3,56.3,56.3,0,0,56.3
PLSTLPD00017,603513781,0WB,EUR,2023-02-22,56.3,56.3,56.3,56.3,0,0,56.3
PLSTLPD00017,603513781,0WB,EUR,2023-02-23,56.1,56.1,56.1,56.1,0,0,56.1
PLSTLPD00017,603513781,0WB,EUR,2023-02-24,55.8,55.8,55.8,55.8,0,0,55.8
