ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
PLTOYA000011,603512398,6PJ,EUR,2022-12-16,1.068,1.068,1.068,1.068,0,0,1.068
PLTOYA000011,603512398,6PJ,EUR,2022-12-19,1.07,1.07,1.07,1.07,10,1,1.07
PLTOYA000011,603512398,6PJ,EUR,2022-12-20,1.064,1.064,1.064,1.064,0,0,1.064
PLTOYA000011,603512398,6PJ,EUR,2022-12-21,1.064,1.064,1.064,1.064,0,0,1.064
PLTOYA000011,603512398,6PJ,EUR,2022-12-22,1.078,1.078,1.078,1.078,0,0,1.078
PLTOYA000011,603512398,6PJ,EUR,2022-12-23,1.06,1.06,1.06,1.06,0,0,1.06
PLTOYA000011,603512398,6PJ,EUR,2022-12-27,1.074,1.074,1.074,1.074,0,0,1.074
PLTOYA000011,603512398,6PJ,EUR,2022-12-28,1.044,1.044,1.044,1.044,0,0,1.044
PLTOYA000011,603512398,6PJ,EUR,2022-12-29,1.064,1.064,1.064,1.064,0,0,1.064
PLTOYA000011,603512398,6PJ,EUR,2022-12-30,1.132,1.132,1.132,1.132,750,1,1.132
PLTOYA000011,603512398,6PJ,EUR,2023-01-02,1.102,1.102,1.102,1.102,0,0,1.102
PLTOYA000011,603512398,6PJ,EUR,2023-01-03,1.078,1.078,1.078,1.078,0,0,1.078
PLTOYA000011,603512398,6PJ,EUR,2023-01-04,1.094,1.094,1.094,1.094,0,0,1.094
PLTOYA000011,603512398,6PJ,EUR,2023-01-05,1.116,1.116,1.116,1.116,0,0,1.116
PLTOYA000011,603512398,6PJ,EUR,2023-01-06,1.09,1.114,1.09,1.114,7,1,1.09
PLTOYA000011,603512398,6PJ,EUR,2023-01-09,1.124,1.124,1.124,1.124,0,0,1.124
PLTOYA000011,603512398,6PJ,EUR,2023-01-10,1.2,1.2,1.2,1.2,1500,2,1.2
PLTOYA000011,603512398,6PJ,EUR,2023-01-11,1.244,1.244,1.244,1.244,0,0,1.244
PLTOYA000011,603512398,6PJ,EUR,2023-01-12,1.238,1.238,1.198,1.198,5000,1,1.238
PLTOYA000011,603512398,6PJ,EUR,2023-01-13,1.228,1.228,1.228,1.228,0,0,1.228
PLTOYA000011,603512398,6PJ,EUR,2023-01-16,1.238,1.238,1.238,1.238,0,0,1.238
PLTOYA000011,603512398,6PJ,EUR,2023-01-17,1.252,1.252,1.252,1.252,0,0,1.252
PLTOYA000011,603512398,6PJ,EUR,2023-01-18,1.226,1.226,1.226,1.226,0,0,1.226
PLTOYA000011,603512398,6PJ,EUR,2023-01-19,1.232,1.232,1.232,1.232,0,0,1.232
PLTOYA000011,603512398,6PJ,EUR,2023-01-20,1.222,1.222,1.222,1.222,0,0,1.222
PLTOYA000011,603512398,6PJ,EUR,2023-01-23,1.236,1.236,1.236,1.236,0,0,1.236
PLTOYA000011,603512398,6PJ,EUR,2023-01-24,1.228,1.228,1.228,1.228,0,0,1.228
PLTOYA000011,603512398,6PJ,EUR,2023-01-25,1.234,1.234,1.234,1.234,0,0,1.234
PLTOYA000011,603512398,6PJ,EUR,2023-01-26,1.228,1.228,1.228,1.228,0,0,1.228
PLTOYA000011,603512398,6PJ,EUR,2023-01-27,1.214,1.214,1.214,1.214,0,0,1.214
PLTOYA000011,603512398,6PJ,EUR,2023-01-30,1.206,1.206,1.206,1.206,850,1,1.206
PLTOYA000011,603512398,6PJ,EUR,2023-01-31,1.19,1.19,1.19,1.19,0,0,1.19
PLTOYA000011,603512398,6PJ,EUR,2023-02-01,1.224,1.224,1.224,1.224,0,0,1.224
PLTOYA000011,603512398,6PJ,EUR,2023-02-02,1.288,1.288,1.288,1.288,0,0,1.288
PLTOYA000011,603512398,6PJ,EUR,2023-02-03,1.332,1.332,1.332,1.332,0,0,1.332
PLTOYA000011,603512398,6PJ,EUR,2023-02-06,1.342,1.342,1.322,1.322,1225,1,1.342
PLTOYA000011,603512398,6PJ,EUR,2023-02-07,1.312,1.312,1.312,1.312,0,0,1.312
PLTOYA000011,603512398,6PJ,EUR,2023-02-08,1.29,1.29,1.29,1.29,0,0,1.29
PLTOYA000011,603512398,6PJ,EUR,2023-02-09,1.292,1.292,1.292,1.292,0,0,1.292
PLTOYA000011,603512398,6PJ,EUR,2023-02-10,1.292,1.292,1.29,1.29,920,2,1.2902
PLTOYA000011,603512398,6PJ,EUR,2023-02-13,1.276,1.284,1.232,1.284,1162,4,1.2718
PLTOYA000011,603512398,6PJ,EUR,2023-02-14,1.244,1.244,1.244,1.244,0,0,1.244
PLTOYA000011,603512398,6PJ,EUR,2023-02-15,1.238,1.238,1.238,1.238,0,0,1.238
PLTOYA000011,603512398,6PJ,EUR,2023-02-16,1.216,1.216,1.216,1.216,0,0,1.216
PLTOYA000011,603512398,6PJ,EUR,2023-02-17,1.218,1.218,1.218,1.218,0,0,1.218
PLTOYA000011,603512398,6PJ,EUR,2023-02-20,1.208,1.208,1.208,1.208,0,0,1.208
