ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
PTJMT0AE0001,12615675,JMT,EUR,2019-01-02,10.28,10.365,10.06,10.3,692375,1416,10.2725
PTJMT0AE0001,12615675,JMT,EUR,2019-01-03,10.3,10.395,10.03,10.3,872593,2013,10.247
PTJMT0AE0001,12615675,JMT,EUR,2019-01-04,10.275,10.615,10.235,10.585,660224,1484,10.5155
PTJMT0AE0001,12615675,JMT,EUR,2019-01-07,10.575,10.845,10.435,10.75,919176,2257,10.661
PTJMT0AE0001,12615675,JMT,EUR,2019-01-08,10.8,10.86,10.54,10.605,895952,2429,10.643
PTJMT0AE0001,12615675,JMT,EUR,2019-01-09,10.65,10.78,10.61,10.68,935964,2093,10.7025
PTJMT0AE0001,12615675,JMT,EUR,2019-01-10,10.68,10.745,10.62,10.68,741807,1647,10.6775
PTJMT0AE0001,12615675,JMT,EUR,2019-01-11,10.695,10.815,10.655,10.69,771257,1530,10.704
PTJMT0AE0001,12615675,JMT,EUR,2019-01-14,10.62,10.79,10.58,10.79,675117,1479,10.7285
PTJMT0AE0001,12615675,JMT,EUR,2019-01-15,10.83,11.78,10.825,11.76,1892985,4049,11.4875
PTJMT0AE0001,12615675,JMT,EUR,2019-01-16,11.755,11.81,11.585,11.73,1151667,2709,11.695
PTJMT0AE0001,12615675,JMT,EUR,2019-01-17,11.6,11.935,11.6,11.895,1076541,2489,11.8235
PTJMT0AE0001,12615675,JMT,EUR,2019-01-18,12.03,12.2,12.0,12.1,1130438,2456,12.0925
PTJMT0AE0001,12615675,JMT,EUR,2019-01-21,12.35,12.635,12.35,12.55,1165406,2452,12.494
PTJMT0AE0001,12615675,JMT,EUR,2019-01-22,12.535,12.535,12.345,12.45,652298,1401,12.438
PTJMT0AE0001,12615675,JMT,EUR,2019-01-23,12.475,12.91,12.475,12.78,1090667,2305,12.7345
PTJMT0AE0001,12615675,JMT,EUR,2019-01-24,12.72,12.76,12.53,12.53,983785,1972,12.601
PTJMT0AE0001,12615675,JMT,EUR,2019-01-25,12.42,12.735,12.41,12.72,636884,1286,12.634
PTJMT0AE0001,12615675,JMT,EUR,2019-01-28,12.615,12.68,12.515,12.545,576933,1146,12.5715
PTJMT0AE0001,12615675,JMT,EUR,2019-01-29,12.505,12.585,12.48,12.5,859611,1681,12.511
PTJMT0AE0001,12615675,JMT,EUR,2019-01-30,12.5,12.54,12.425,12.45,865007,1804,12.4755
PTJMT0AE0001,12615675,JMT,EUR,2019-01-31,12.435,12.585,12.175,12.37,1304991,2808,12.395
PTJMT0AE0001,12615675,JMT,EUR,2019-02-01,12.385,12.535,12.345,12.38,827106,1702,12.401
PTJMT0AE0001,12615675,JMT,EUR,2019-02-04,12.455,12.49,12.275,12.455,664584,1340,12.415
PTJMT0AE0001,12615675,JMT,EUR,2019-02-05,12.475,13.045,12.445,13.01,1092624,2177,12.89
PTJMT0AE0001,12615675,JMT,EUR,2019-02-06,13.0,13.405,12.88,13.295,1244421,2668,13.2545
PTJMT0AE0001,12615675,JMT,EUR,2019-02-07,13.3,13.46,13.125,13.215,1033418,2086,13.2645
PTJMT0AE0001,12615675,JMT,EUR,2019-02-08,13.14,13.225,13.05,13.07,690837,1387,13.1065
PTJMT0AE0001,12615675,JMT,EUR,2019-02-11,13.14,13.14,12.84,12.95,533594,1038,12.9495
PTJMT0AE0001,12615675,JMT,EUR,2019-02-12,12.98,13.075,12.87,12.925,600109,1302,12.9435
PTJMT0AE0001,12615675,JMT,EUR,2019-02-13,12.99,12.99,12.7,12.7,757329,1644,12.7515
PTJMT0AE0001,12615675,JMT,EUR,2019-02-14,12.785,12.9,12.705,12.765,425862,1056,12.796
PTJMT0AE0001,12615675,JMT,EUR,2019-02-15,12.715,12.815,12.61,12.745,608500,1335,12.738
PTJMT0AE0001,12615675,JMT,EUR,2019-02-18,12.75,12.835,12.73,12.73,518682,989,12.752
PTJMT0AE0001,12615675,JMT,EUR,2019-02-19,12.73,12.75,12.435,12.54,736447,1623,12.5405
PTJMT0AE0001,12615675,JMT,EUR,2019-02-20,12.5,12.74,12.42,12.645,399632,882,12.655
PTJMT0AE0001,12615675,JMT,EUR,2019-02-21,12.67,12.845,12.605,12.84,641235,1408,12.7855
PTJMT0AE0001,12615675,JMT,EUR,2019-02-22,12.76,13.005,12.76,12.94,668924,1412,12.9325
PTJMT0AE0001,12615675,JMT,EUR,2019-02-25,12.975,13.24,12.975,13.095,827980,1805,13.1305
PTJMT0AE0001,12615675,JMT,EUR,2019-02-26,13.17,13.235,12.98,13.1,1080769,2483,13.098
PTJMT0AE0001,12615675,JMT,EUR,2019-02-27,12.995,13.21,12.98,13.2,795139,1942,13.149
PTJMT0AE0001,12615675,JMT,EUR,2019-02-28,12.95,13.43,12.9,13.25,1465057,3054,13.256
PTJMT0AE0001,12615675,JMT,EUR,2019-03-01,13.295,13.53,13.255,13.53,907577,1688,13.498
PTJMT0AE0001,12615675,JMT,EUR,2019-03-04,13.465,13.545,13.4,13.4,525709,1411,13.436
PTJMT0AE0001,12615675,JMT,EUR,2019-03-05,13.405,13.405,13.225,13.29,511781,1242,13.292
PTJMT0AE0001,12615675,JMT,EUR,2019-03-06,13.3,13.35,13.195,13.23,530806,1525,13.25
PTJMT0AE0001,12615675,JMT,EUR,2019-03-07,13.3,13.395,13.23,13.23,588727,1169,13.2605
PTJMT0AE0001,12615675,JMT,EUR,2019-03-08,13.25,13.25,12.975,12.975,578353,1324,13.043
PTJMT0AE0001,12615675,JMT,EUR,2019-03-11,13.0,13.05,12.83,12.86,453221,1087,12.8805
PTJMT0AE0001,12615675,JMT,EUR,2019-03-12,12.97,13.07,12.87,12.87,387459,986,12.9245
PTJMT0AE0001,12615675,JMT,EUR,2019-03-13,12.915,12.965,12.79,12.96,799050,1512,12.906
PTJMT0AE0001,12615675,JMT,EUR,2019-03-14,12.995,13.255,12.995,13.13,979964,1910,13.16
PTJMT0AE0001,12615675,JMT,EUR,2019-03-15,13.225,13.415,13.195,13.27,1178106,2396,13.2965
PTJMT0AE0001,12615675,JMT,EUR,2019-03-18,13.345,13.355,13.205,13.355,572196,1140,13.3135
PTJMT0AE0001,12615675,JMT,EUR,2019-03-19,13.38,13.59,13.325,13.475,942891,1538,13.457
PTJMT0AE0001,12615675,JMT,EUR,2019-03-20,13.51,13.545,13.325,13.38,430914,970,13.382
PTJMT0AE0001,12615675,JMT,EUR,2019-03-21,13.42,13.475,13.32,13.475,344039,1026,13.437
PTJMT0AE0001,12615675,JMT,EUR,2019-03-22,13.5,13.55,13.26,13.26,751975,1476,13.355
PTJMT0AE0001,12615675,JMT,EUR,2019-03-25,13.19,13.27,13.1,13.135,863041,1633,13.1595
PTJMT0AE0001,12615675,JMT,EUR,2019-03-26,13.245,13.245,13.085,13.1,654754,1315,13.126
PTJMT0AE0001,12615675,JMT,EUR,2019-03-27,13.14,13.14,12.72,12.91,1080738,2345,12.8975
PTJMT0AE0001,12615675,JMT,EUR,2019-03-28,12.875,13.15,12.875,12.995,616471,1139,13.0345
PTJMT0AE0001,12615675,JMT,EUR,2019-03-29,13.055,13.23,13.055,13.15,745894,1603,13.1455
PTJMT0AE0001,12615675,JMT,EUR,2019-04-01,13.2,13.305,13.12,13.19,726848,1732,13.2045
PTJMT0AE0001,12615675,JMT,EUR,2019-04-02,13.165,13.39,13.165,13.355,728349,1702,13.3225
