ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
PTSLB0AM0010,44474704,SLBEN,EUR,2019-01-02,1.65,1.716,1.65,1.706,378,11,1.6896
PTSLB0AM0010,44474704,SLBEN,EUR,2019-01-03,1.73,1.84,1.73,1.73,1521,14,1.758
PTSLB0AM0010,44474704,SLBEN,EUR,2019-01-04,1.73,1.73,1.7,1.716,280,7,1.7138
PTSLB0AM0010,44474704,SLBEN,EUR,2019-01-07,1.71,1.78,1.71,1.78,427,6,1.7538
PTSLB0AM0010,44474704,SLBEN,EUR,2019-01-08,1.85,1.9,1.764,1.9,7332,22,1.861
PTSLB0AM0010,44474704,SLBEN,EUR,2019-01-09,1.9,1.99,1.844,1.906,1188,11,1.9628
PTSLB0AM0010,44474704,SLBEN,EUR,2019-01-10,1.95,2.08,1.92,2.08,3822,21,1.9996
PTSLB0AM0010,44474704,SLBEN,EUR,2019-01-11,1.976,2.06,1.974,2.0,711,11,2.0064
PTSLB0AM0010,44474704,SLBEN,EUR,2019-01-14,2.01,2.08,2.01,2.01,1938,9,2.0232
PTSLB0AM0010,44474704,SLBEN,EUR,2019-01-15,2.01,2.02,1.914,1.916,5881,23,1.9564
PTSLB0AM0010,44474704,SLBEN,EUR,2019-01-16,1.916,1.916,1.9,1.9,1480,8,1.9024
PTSLB0AM0010,44474704,SLBEN,EUR,2019-01-17,1.864,1.9,1.864,1.9,564,24,1.8994
PTSLB0AM0010,44474704,SLBEN,EUR,2019-01-18,1.9,1.9,1.804,1.82,2615,13,1.8562
PTSLB0AM0010,44474704,SLBEN,EUR,2019-01-21,1.95,1.95,1.82,1.83,982,10,1.866
PTSLB0AM0010,44474704,SLBEN,EUR,2019-01-22,1.84,1.84,1.8,1.8,2860,7,1.8214
PTSLB0AM0010,44474704,SLBEN,EUR,2019-01-23,1.8,1.81,1.8,1.81,720,7,1.8006
PTSLB0AM0010,44474704,SLBEN,EUR,2019-01-24,1.804,1.806,1.804,1.804,20,1,1.805
PTSLB0AM0010,44474704,SLBEN,EUR,2019-01-25,1.824,1.83,1.65,1.75,15350,29,1.7008
