ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
SG1N31909426,603486347,VZ1,EUR,2022-12-16,0.844,0.844,0.844,0.844,0,0,0.844
SG1N31909426,603486347,VZ1,EUR,2022-12-19,0.844,0.844,0.844,0.844,0,0,0.844
SG1N31909426,603486347,VZ1,EUR,2022-12-20,0.844,0.844,0.844,0.844,0,0,0.844
SG1N31909426,603486347,VZ1,EUR,2022-12-21,0.844,0.844,0.844,0.844,0,0,0.844
SG1N31909426,603486347,VZ1,EUR,2022-12-22,0.844,0.844,0.844,0.844,0,0,0.844
SG1N31909426,603486347,VZ1,EUR,2022-12-23,0.844,0.844,0.844,0.844,0,0,0.844
SG1N31909426,603486347,VZ1,EUR,2022-12-27,0.844,0.844,0.844,0.844,0,0,0.844
SG1N31909426,603486347,VZ1,EUR,2022-12-28,0.83,0.844,0.83,0.844,444,1,0.83
SG1N31909426,603486347,VZ1,EUR,2022-12-29,0.844,0.844,0.844,0.844,0,0,0.844
SG1N31909426,603486347,VZ1,EUR,2022-12-30,0.844,0.844,0.844,0.844,0,0,0.844
SG1N31909426,603486347,VZ1,EUR,2023-01-02,0.83,0.83,0.83,0.83,0,0,0.83
SG1N31909426,603486347,VZ1,EUR,2023-01-03,0.844,0.844,0.844,0.844,0,0,0.844
SG1N31909426,603486347,VZ1,EUR,2023-01-04,0.88,0.88,0.88,0.88,0,0,0.88
SG1N31909426,603486347,VZ1,EUR,2023-01-05,0.88,0.88,0.88,0.88,15000,1,0.88
SG1N31909426,603486347,VZ1,EUR,2023-01-06,0.854,0.854,0.854,0.854,0,0,0.854
SG1N31909426,603486347,VZ1,EUR,2023-01-09,0.85,0.85,0.85,0.85,0,0,0.85
SG1N31909426,603486347,VZ1,EUR,2023-01-10,0.84,0.84,0.84,0.84,0,0,0.84
SG1N31909426,603486347,VZ1,EUR,2023-01-11,0.86,0.86,0.83,0.83,8,1,0.86
SG1N31909426,603486347,VZ1,EUR,2023-01-12,0.806,0.806,0.806,0.806,0,0,0.806
SG1N31909426,603486347,VZ1,EUR,2023-01-13,0.8,0.8,0.8,0.8,0,0,0.8
SG1N31909426,603486347,VZ1,EUR,2023-01-16,0.786,0.786,0.786,0.786,0,0,0.786
SG1N31909426,603486347,VZ1,EUR,2023-01-17,0.79,0.79,0.79,0.79,0,0,0.79
SG1N31909426,603486347,VZ1,EUR,2023-01-18,0.786,0.786,0.786,0.786,0,0,0.786
SG1N31909426,603486347,VZ1,EUR,2023-01-19,0.786,0.786,0.786,0.786,0,0,0.786
SG1N31909426,603486347,VZ1,EUR,2023-01-20,0.83,0.83,0.83,0.83,495,1,0.83
SG1N31909426,603486347,VZ1,EUR,2023-01-23,0.776,0.776,0.776,0.776,0,0,0.776
SG1N31909426,603486347,VZ1,EUR,2023-01-24,0.78,0.78,0.78,0.78,0,0,0.78
SG1N31909426,603486347,VZ1,EUR,2023-01-25,0.81,0.81,0.81,0.81,0,0,0.81
SG1N31909426,603486347,VZ1,EUR,2023-01-26,0.826,0.826,0.826,0.826,0,0,0.826
SG1N31909426,603486347,VZ1,EUR,2023-01-27,0.826,0.826,0.826,0.826,0,0,0.826
SG1N31909426,603486347,VZ1,EUR,2023-01-30,0.826,0.826,0.826,0.826,0,0,0.826
SG1N31909426,603486347,VZ1,EUR,2023-01-31,0.85,0.85,0.85,0.85,965,1,0.85
SG1N31909426,603486347,VZ1,EUR,2023-02-01,0.826,0.826,0.826,0.826,0,0,0.826
SG1N31909426,603486347,VZ1,EUR,2023-02-02,0.85,0.85,0.85,0.85,300,1,0.85
SG1N31909426,603486347,VZ1,EUR,2023-02-03,0.81,0.81,0.81,0.81,0,0,0.81
SG1N31909426,603486347,VZ1,EUR,2023-02-06,0.82,0.82,0.82,0.82,0,0,0.82
SG1N31909426,603486347,VZ1,EUR,2023-02-07,0.816,0.816,0.816,0.816,0,0,0.816
SG1N31909426,603486347,VZ1,EUR,2023-02-08,0.826,0.826,0.826,0.826,0,0,0.826
SG1N31909426,603486347,VZ1,EUR,2023-02-09,0.826,0.826,0.826,0.826,0,0,0.826
SG1N31909426,603486347,VZ1,EUR,2023-02-10,0.82,0.82,0.82,0.82,0,0,0.82
SG1N31909426,603486347,VZ1,EUR,2023-02-13,0.82,0.82,0.82,0.82,0,0,0.82
SG1N31909426,603486347,VZ1,EUR,2023-02-14,0.82,0.82,0.82,0.82,0,0,0.82
SG1N31909426,603486347,VZ1,EUR,2023-02-15,0.81,0.81,0.81,0.81,0,0,0.81
SG1N31909426,603486347,VZ1,EUR,2023-02-16,0.81,0.81,0.81,0.81,0,0,0.81
SG1N31909426,603486347,VZ1,EUR,2023-02-17,0.816,0.816,0.816,0.816,0,0,0.816
SG1N31909426,603486347,VZ1,EUR,2023-02-20,0.806,0.806,0.806,0.806,0,0,0.806
SG1N31909426,603486347,VZ1,EUR,2023-02-21,0.806,0.806,0.806,0.806,0,0,0.806
SG1N31909426,603486347,VZ1,EUR,2023-02-22,0.834,0.84,0.806,0.806,346,1,0.835
SG1N31909426,603486347,VZ1,EUR,2023-02-23,0.864,0.87,0.816,0.816,205,2,0.865
SG1N31909426,603486347,VZ1,EUR,2023-02-24,0.82,0.82,0.82,0.82,0,0,0.82
SG1N31909426,603486347,VZ1,EUR,2023-02-27,0.834,0.834,0.834,0.834,0,0,0.834
SG1N31909426,603486347,VZ1,EUR,2023-02-28,0.826,0.826,0.826,0.826,0,0,0.826
SG1N31909426,603486347,VZ1,EUR,2023-03-01,0.826,0.826,0.826,0.826,0,0,0.826
SG1N31909426,603486347,VZ1,EUR,2023-03-02,0.85,0.85,0.816,0.816,9,1,0.85
