ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
SG1S48927937,603516920,I8D,EUR,2022-12-16,0.284,0.284,0.284,0.284,0,0,0.284
SG1S48927937,603516920,I8D,EUR,2022-12-19,0.282,0.282,0.282,0.282,0,0,0.282
SG1S48927937,603516920,I8D,EUR,2022-12-20,0.284,0.284,0.284,0.284,0,0,0.284
SG1S48927937,603516920,I8D,EUR,2022-12-21,0.284,0.284,0.284,0.284,0,0,0.284
SG1S48927937,603516920,I8D,EUR,2022-12-22,0.286,0.286,0.286,0.286,0,0,0.286
SG1S48927937,603516920,I8D,EUR,2022-12-23,0.298,0.298,0.298,0.298,0,0,0.298
SG1S48927937,603516920,I8D,EUR,2022-12-27,0.302,0.302,0.302,0.302,0,0,0.302
SG1S48927937,603516920,I8D,EUR,2022-12-28,0.298,0.298,0.298,0.298,0,0,0.298
SG1S48927937,603516920,I8D,EUR,2022-12-29,0.294,0.294,0.294,0.294,0,0,0.294
SG1S48927937,603516920,I8D,EUR,2022-12-30,0.294,0.294,0.294,0.294,0,0,0.294
SG1S48927937,603516920,I8D,EUR,2023-01-02,0.294,0.294,0.294,0.294,0,0,0.294
SG1S48927937,603516920,I8D,EUR,2023-01-03,0.324,0.324,0.324,0.324,0,0,0.324
SG1S48927937,603516920,I8D,EUR,2023-01-04,0.316,0.316,0.316,0.316,0,0,0.316
SG1S48927937,603516920,I8D,EUR,2023-01-05,0.346,0.346,0.346,0.346,0,0,0.346
SG1S48927937,603516920,I8D,EUR,2023-01-06,0.354,0.354,0.354,0.354,0,0,0.354
SG1S48927937,603516920,I8D,EUR,2023-01-09,0.356,0.356,0.356,0.356,0,0,0.356
SG1S48927937,603516920,I8D,EUR,2023-01-10,0.352,0.352,0.352,0.352,0,0,0.352
SG1S48927937,603516920,I8D,EUR,2023-01-11,0.35,0.35,0.35,0.35,0,0,0.35
SG1S48927937,603516920,I8D,EUR,2023-01-12,0.358,0.358,0.358,0.358,0,0,0.358
SG1S48927937,603516920,I8D,EUR,2023-01-13,0.37,0.37,0.37,0.37,0,0,0.37
SG1S48927937,603516920,I8D,EUR,2023-01-16,0.382,0.382,0.382,0.382,0,0,0.382
SG1S48927937,603516920,I8D,EUR,2023-01-17,0.382,0.382,0.382,0.382,0,0,0.382
SG1S48927937,603516920,I8D,EUR,2023-01-18,0.386,0.386,0.386,0.386,0,0,0.386
SG1S48927937,603516920,I8D,EUR,2023-01-19,0.4,0.4,0.4,0.4,0,0,0.4
SG1S48927937,603516920,I8D,EUR,2023-01-20,0.402,0.402,0.402,0.402,0,0,0.402
SG1S48927937,603516920,I8D,EUR,2023-01-23,0.402,0.402,0.402,0.402,0,0,0.402
SG1S48927937,603516920,I8D,EUR,2023-01-24,0.402,0.402,0.402,0.402,0,0,0.402
SG1S48927937,603516920,I8D,EUR,2023-01-25,0.406,0.406,0.406,0.406,0,0,0.406
SG1S48927937,603516920,I8D,EUR,2023-01-26,0.406,0.406,0.406,0.406,0,0,0.406
SG1S48927937,603516920,I8D,EUR,2023-01-27,0.4,0.4,0.4,0.4,0,0,0.4
SG1S48927937,603516920,I8D,EUR,2023-01-30,0.39,0.39,0.39,0.39,0,0,0.39
SG1S48927937,603516920,I8D,EUR,2023-01-31,0.408,0.408,0.408,0.408,0,0,0.408
SG1S48927937,603516920,I8D,EUR,2023-02-01,0.4,0.4,0.4,0.4,7957,1,0.4
SG1S48927937,603516920,I8D,EUR,2023-02-02,0.398,0.398,0.398,0.398,0,0,0.398
SG1S48927937,603516920,I8D,EUR,2023-02-03,0.404,0.404,0.404,0.404,0,0,0.404
SG1S48927937,603516920,I8D,EUR,2023-02-06,0.4,0.4,0.4,0.4,0,0,0.4
SG1S48927937,603516920,I8D,EUR,2023-02-07,0.412,0.412,0.412,0.412,0,0,0.412
SG1S48927937,603516920,I8D,EUR,2023-02-08,0.412,0.412,0.412,0.412,0,0,0.412
SG1S48927937,603516920,I8D,EUR,2023-02-09,0.398,0.398,0.398,0.398,0,0,0.398
SG1S48927937,603516920,I8D,EUR,2023-02-10,0.398,0.398,0.398,0.398,0,0,0.398
SG1S48927937,603516920,I8D,EUR,2023-02-13,0.394,0.394,0.394,0.394,0,0,0.394
SG1S48927937,603516920,I8D,EUR,2023-02-14,0.39,0.39,0.39,0.39,0,0,0.39
SG1S48927937,603516920,I8D,EUR,2023-02-15,0.394,0.394,0.394,0.394,0,0,0.394
SG1S48927937,603516920,I8D,EUR,2023-02-16,0.408,0.408,0.408,0.408,0,0,0.408
SG1S48927937,603516920,I8D,EUR,2023-02-17,0.402,0.402,0.402,0.402,0,0,0.402
SG1S48927937,603516920,I8D,EUR,2023-02-20,0.394,0.394,0.394,0.394,0,0,0.394
SG1S48927937,603516920,I8D,EUR,2023-02-21,0.394,0.394,0.394,0.394,0,0,0.394
SG1S48927937,603516920,I8D,EUR,2023-02-22,0.394,0.394,0.394,0.394,0,0,0.394
SG1S48927937,603516920,I8D,EUR,2023-02-23,0.402,0.402,0.402,0.402,0,0,0.402
SG1S48927937,603516920,I8D,EUR,2023-02-24,0.402,0.402,0.402,0.402,0,0,0.402
