ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
SG9999003735,64847575,XPP,GBP,2019-01-02,2150.0,2150.0,2100.0,2120.0,1571,14,2122.2
SG9999003735,64847575,XPP,GBP,2019-01-03,2110.0,2120.0,2050.0,2120.0,16969,50,2112.0
SG9999003735,64847575,XPP,GBP,2019-01-04,2080.0,2090.0,2000.0,2000.0,1200,15,2037.2
SG9999003735,64847575,XPP,GBP,2019-01-07,2110.0,2110.0,2060.0,2100.0,786,14,2089.8
SG9999003735,64847575,XPP,GBP,2019-01-08,2130.0,2150.0,2090.0,2120.0,15243,173,2123.4
SG9999003735,64847575,XPP,GBP,2019-01-09,2150.0,2260.0,2120.0,2200.0,18187,86,2173.8
SG9999003735,64847575,XPP,GBP,2019-01-10,2270.0,2290.0,2180.0,2230.0,28535,124,2219.0
SG9999003735,64847575,XPP,GBP,2019-01-11,2260.0,2270.0,2210.0,2240.0,14684,107,2249.6
SG9999003735,64847575,XPP,GBP,2019-01-14,2200.0,2200.0,2000.0,2110.0,12007,96,2108.0
SG9999003735,64847575,XPP,GBP,2019-01-15,2130.0,2160.0,2080.0,2080.0,11550,80,2135.8
SG9999003735,64847575,XPP,GBP,2019-01-16,2100.0,2120.0,2050.0,2080.0,1738,33,2093.4
SG9999003735,64847575,XPP,GBP,2019-01-17,2110.0,2110.0,2000.0,2010.0,3850,34,2032.8
SG9999003735,64847575,XPP,GBP,2019-01-18,2060.0,2060.0,2000.0,2050.0,2755,38,2029.4
SG9999003735,64847575,XPP,GBP,2019-01-21,2050.0,2090.0,2020.0,2090.0,784,31,2051.2
SG9999003735,64847575,XPP,GBP,2019-01-22,2090.0,2100.0,2050.0,2090.0,4613,34,2067.6
SG9999003735,64847575,XPP,GBP,2019-01-23,2080.0,2090.0,2050.0,2070.0,9850,51,2056.0
SG9999003735,64847575,XPP,GBP,2019-01-24,2100.0,2100.0,2020.0,2080.0,4920,35,2049.2
SG9999003735,64847575,XPP,GBP,2019-01-25,2080.0,2080.0,2040.0,2060.0,1359,22,2052.2
SG9999003735,64847575,XPP,GBP,2019-01-28,2080.0,2090.0,2040.0,2040.0,1598,59,2052.0
SG9999003735,64847575,XPP,GBP,2019-01-29,2070.0,2090.0,2010.0,2030.0,5939,54,2033.2
SG9999003735,64847575,XPP,GBP,2019-01-30,2030.0,2060.0,2000.0,2050.0,1641,22,2048.0
