ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
TH0001010014,11690911,BKKF,EUR,2019-01-02,5.62,5.7,5.62,5.68,1900,2,5.642
TH0001010014,11690911,BKKF,EUR,2019-01-03,5.7,5.74,5.7,5.7,1865,2,5.708
TH0001010014,11690911,BKKF,EUR,2019-01-04,5.7,5.7,5.7,5.7,500,1,5.7
TH0001010014,11690911,BKKF,EUR,2019-01-07,5.78,5.78,5.7,5.7,1500,3,5.764
TH0001010014,11690911,BKKF,EUR,2019-01-08,5.76,5.76,5.74,5.76,0,0,5.74
TH0001010014,11690911,BKKF,EUR,2019-01-09,5.7,5.72,5.7,5.7,4000,1,5.71
TH0001010014,11690911,BKKF,EUR,2019-01-10,5.66,5.68,5.66,5.66,0,0,5.66
TH0001010014,11690911,BKKF,EUR,2019-01-11,5.58,5.7,5.56,5.7,6000,4,5.628
TH0001010014,11690911,BKKF,EUR,2019-01-14,5.7,5.7,5.7,5.7,9500,1,5.7
TH0001010014,11690911,BKKF,EUR,2019-01-15,5.78,5.78,5.74,5.78,1000,2,5.762
TH0001010014,11690911,BKKF,EUR,2019-01-16,5.78,5.78,5.76,5.76,400,1,5.78
TH0001010014,11690911,BKKF,EUR,2019-01-17,5.76,5.76,5.7,5.7,360,1,5.76
TH0001010014,11690911,BKKF,EUR,2019-01-18,5.58,5.58,5.46,5.46,2800,4,5.52
TH0001010014,11690911,BKKF,EUR,2019-01-21,5.7,5.7,5.7,5.7,800,2,5.7
TH0001010014,11690911,BKKF,EUR,2019-01-22,5.78,5.78,5.76,5.78,0,0,5.78
TH0001010014,11690911,BKKF,EUR,2019-01-23,5.94,5.94,5.82,5.82,3800,6,5.868
TH0001010014,11690911,BKKF,EUR,2019-01-24,5.94,6.02,5.86,5.86,1300,2,5.996
TH0001010014,11690911,BKKF,EUR,2019-01-25,6.0,6.0,5.9,5.9,6400,3,5.92
TH0001010014,11690911,BKKF,EUR,2019-01-28,6.02,6.02,5.8,5.8,600,1,6.01
TH0001010014,11690911,BKKF,EUR,2019-01-29,6.0,6.0,5.96,6.0,5397,5,5.994
TH0001010014,11690911,BKKF,EUR,2019-01-30,6.04,6.06,6.0,6.0,1600,2,6.046
TH0001010014,11690911,BKKF,EUR,2019-01-31,6.1,6.14,6.04,6.1,22200,4,6.096
TH0001010014,11690911,BKKF,EUR,2019-02-01,6.2,6.22,6.06,6.06,2800,5,6.192
TH0001010014,11690911,BKKF,EUR,2019-02-04,6.2,6.2,6.14,6.14,1024,2,6.188
TH0001010014,11690911,BKKF,EUR,2019-02-05,6.16,6.16,6.12,6.12,900,2,6.156
TH0001010014,11690911,BKKF,EUR,2019-02-06,6.16,6.16,6.12,6.12,2100,2,6.15
TH0001010014,11690911,BKKF,EUR,2019-02-07,6.26,6.26,6.04,6.04,400,1,6.25
TH0001010014,11690911,BKKF,EUR,2019-02-08,6.06,6.06,5.98,5.98,400,1,6.06
TH0001010014,11690911,BKKF,EUR,2019-02-11,6.08,6.1,6.0,6.0,400,1,6.09
TH0001010014,11690911,BKKF,EUR,2019-02-12,6.1,6.1,6.06,6.06,10500,2,6.1
TH0001010014,11690911,BKKF,EUR,2019-02-13,6.02,6.02,6.02,6.02,0,0,6.02
TH0001010014,11690911,BKKF,EUR,2019-02-14,5.94,5.94,5.92,5.94,0,0,5.94
TH0001010014,11690911,BKKF,EUR,2019-02-15,6.0,6.0,5.98,6.0,0,0,6.0
TH0001010014,11690911,BKKF,EUR,2019-02-18,6.0,6.04,5.9,5.9,1500,2,6.01
TH0001010014,11690911,BKKF,EUR,2019-02-19,5.9,5.9,5.88,5.9,0,0,5.9
TH0001010014,11690911,BKKF,EUR,2019-02-20,6.02,6.02,6.02,6.02,0,0,6.02
TH0001010014,11690911,BKKF,EUR,2019-02-21,6.12,6.12,6.12,6.12,0,0,6.12
TH0001010014,11690911,BKKF,EUR,2019-02-22,6.12,6.12,6.06,6.06,1000,2,6.08
TH0001010014,11690911,BKKF,EUR,2019-02-25,6.22,6.22,6.16,6.16,500,1,6.22
TH0001010014,11690911,BKKF,EUR,2019-02-26,6.08,6.1,6.06,6.06,400,1,6.09
TH0001010014,11690911,BKKF,EUR,2019-02-27,6.1,6.1,6.1,6.1,0,0,6.1
TH0001010014,11690911,BKKF,EUR,2019-02-28,5.94,5.94,5.94,5.94,0,0,5.94
TH0001010014,11690911,BKKF,EUR,2019-03-01,6.0,6.0,6.0,6.0,0,0,6.0
TH0001010014,11690911,BKKF,EUR,2019-03-04,5.9,5.9,5.88,5.88,1900,2,5.89
TH0001010014,11690911,BKKF,EUR,2019-03-05,5.98,5.98,5.98,5.98,0,0,5.98
TH0001010014,11690911,BKKF,EUR,2019-03-06,5.94,5.94,5.94,5.94,0,0,5.94
TH0001010014,11690911,BKKF,EUR,2019-03-07,5.96,5.96,5.96,5.96,400,1,5.96
TH0001010014,11690911,BKKF,EUR,2019-03-08,6.0,6.0,6.0,6.0,0,0,6.0
TH0001010014,11690911,BKKF,EUR,2019-03-11,6.06,6.06,6.06,6.06,0,0,6.06
TH0001010014,11690911,BKKF,EUR,2019-03-12,6.02,6.02,6.02,6.02,0,0,6.02
TH0001010014,11690911,BKKF,EUR,2019-03-13,6.12,6.12,6.12,6.12,0,0,6.12
TH0001010014,11690911,BKKF,EUR,2019-03-14,6.1,6.1,6.04,6.04,500,2,6.088
TH0001010014,11690911,BKKF,EUR,2019-03-15,5.96,5.96,5.96,5.96,0,0,5.96
TH0001010014,11690911,BKKF,EUR,2019-03-18,5.96,5.96,5.9,5.9,2050,2,5.91
TH0001010014,11690911,BKKF,EUR,2019-03-19,5.96,5.96,5.94,5.96,300,1,5.95
TH0001010014,11690911,BKKF,EUR,2019-03-20,5.94,5.94,5.92,5.92,58,1,5.94
TH0001010014,11690911,BKKF,EUR,2019-03-21,5.96,5.96,5.96,5.96,0,0,5.96
TH0001010014,11690911,BKKF,EUR,2019-03-22,6.0,6.0,6.0,6.0,200,1,6.0
TH0001010014,11690911,BKKF,EUR,2019-03-25,6.04,6.04,5.96,5.96,900,2,6.028
TH0001010014,11690911,BKKF,EUR,2019-03-26,6.08,6.08,6.08,6.08,450,1,6.08
TH0001010014,11690911,BKKF,EUR,2019-03-27,6.02,6.02,5.98,5.98,400,1,6.02
TH0001010014,11690911,BKKF,EUR,2019-03-28,6.0,6.04,6.0,6.04,1200,3,6.026
TH0001010014,11690911,BKKF,EUR,2019-03-29,6.04,6.04,6.04,6.04,0,0,6.04
TH0001010014,11690911,BKKF,EUR,2019-04-01,6.24,6.24,6.04,6.16,5757,6,6.098
TH0001010014,11690911,BKKF,EUR,2019-04-02,6.16,6.22,6.1,6.2,6100,5,6.122
TH0001010014,11690911,BKKF,EUR,2019-04-03,6.24,6.26,6.24,6.26,750,2,6.24
TH0001010014,11690911,BKKF,EUR,2019-04-04,6.16,6.16,6.16,6.16,0,0,6.16
TH0001010014,11690911,BKKF,EUR,2019-04-05,6.16,6.16,6.16,6.16,0,0,6.16
TH0001010014,11690911,BKKF,EUR,2019-04-08,6.16,6.16,6.16,6.16,0,0,6.16
TH0001010014,11690911,BKKF,EUR,2019-04-09,6.18,6.18,6.14,6.16,800,2,6.166
TH0001010014,11690911,BKKF,EUR,2019-04-10,6.16,6.2,6.16,6.2,3100,1,6.17
TH0001010014,11690911,BKKF,EUR,2019-04-11,6.12,6.12,6.12,6.12,0,0,6.12
TH0001010014,11690911,BKKF,EUR,2019-04-12,6.1,6.1,6.1,6.1,0,0,6.1
TH0001010014,11690911,BKKF,EUR,2019-04-15,6.12,6.12,6.12,6.12,0,0,6.12
TH0001010014,11690911,BKKF,EUR,2019-04-16,6.1,6.1,6.1,6.1,0,0,6.1
TH0001010014,11690911,BKKF,EUR,2019-04-17,6.16,6.16,6.08,6.08,15,1,6.15
TH0001010014,11690911,BKKF,EUR,2019-04-18,6.16,6.16,6.06,6.06,250,2,6.14
TH0001010014,11690911,BKKF,EUR,2019-04-23,6.0,6.0,6.0,6.0,0,0,6.0
TH0001010014,11690911,BKKF,EUR,2019-04-24,5.94,5.98,5.86,5.86,450,2,5.954
TH0001010014,11690911,BKKF,EUR,2019-04-25,5.88,5.88,5.86,5.88,200,1,5.87
TH0001010014,11690911,BKKF,EUR,2019-04-26,5.9,5.9,5.9,5.9,0,0,5.9
TH0001010014,11690911,BKKF,EUR,2019-04-29,5.86,5.86,5.86,5.86,0,0,5.86
TH0001010014,11690911,BKKF,EUR,2019-04-30,5.9,5.9,5.82,5.82,100,1,5.9
TH0001010014,11690911,BKKF,EUR,2019-05-02,5.84,5.84,5.84,5.84,0,0,5.84
TH0001010014,11690911,BKKF,EUR,2019-05-03,5.82,5.82,5.82,5.82,0,0,5.82
TH0001010014,11690911,BKKF,EUR,2019-05-06,5.82,5.82,5.82,5.82,0,0,5.82
TH0001010014,11690911,BKKF,EUR,2019-05-07,5.86,5.86,5.86,5.86,0,0,5.86
TH0001010014,11690911,BKKF,EUR,2019-05-08,5.92,5.92,5.92,5.92,500,1,5.92
TH0001010014,11690911,BKKF,EUR,2019-05-09,5.88,5.88,5.88,5.88,0,0,5.88
TH0001010014,11690911,BKKF,EUR,2019-05-10,5.84,5.84,5.84,5.84,0,0,5.84
TH0001010014,11690911,BKKF,EUR,2019-05-13,5.84,5.84,5.78,5.78,675,2,5.817
TH0001010014,11690911,BKKF,EUR,2019-05-14,5.88,5.9,5.86,5.86,20,1,5.885
TH0001010014,11690911,BKKF,EUR,2019-05-15,5.8,5.8,5.8,5.8,0,0,5.8
TH0001010014,11690911,BKKF,EUR,2019-05-16,5.74,5.74,5.74,5.74,0,0,5.74
TH0001010014,11690911,BKKF,EUR,2019-05-17,5.74,5.74,5.74,5.74,0,0,5.74
TH0001010014,11690911,BKKF,EUR,2019-05-20,5.7,5.7,5.7,5.7,0,0,5.7
TH0001010014,11690911,BKKF,EUR,2019-05-21,5.74,5.76,5.74,5.76,500,1,5.74
TH0001010014,11690911,BKKF,EUR,2019-05-22,5.7,5.72,5.6,5.6,2399,5,5.656
TH0001010014,11690911,BKKF,EUR,2019-05-23,5.56,5.56,5.56,5.56,100,1,5.56
TH0001010014,11690911,BKKF,EUR,2019-05-24,5.54,5.54,5.54,5.54,0,0,5.54
TH0001010014,11690911,BKKF,EUR,2019-05-27,5.56,5.56,5.56,5.56,0,0,5.56
TH0001010014,11690911,BKKF,EUR,2019-05-28,5.6,5.6,5.36,5.38,2250,3,5.574
TH0001010014,11690911,BKKF,EUR,2019-05-29,5.4,5.4,5.4,5.4,0,0,5.4
TH0001010014,11690911,BKKF,EUR,2019-05-30,5.4,5.4,5.4,5.4,0,0,5.4
TH0001010014,11690911,BKKF,EUR,2019-05-31,5.44,5.44,5.44,5.44,0,0,5.44
TH0001010014,11690911,BKKF,EUR,2019-06-03,5.48,5.48,5.48,5.48,0,0,5.48
