ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
TH0528A10Z14,628140220,DLS,EUR,2021-12-28,1.11,1.11,1.09,1.09,3500,2,1.1072
TH0528A10Z14,628140220,DLS,EUR,2021-12-29,1.02,1.02,1.02,1.02,0,0,1.02
TH0528A10Z14,628140220,DLS,EUR,2021-12-30,1.01,1.01,1.01,1.01,0,0,1.01
TH0528A10Z14,628140220,DLS,EUR,2022-01-03,1.04,1.04,1.04,1.04,0,0,1.04
TH0528A10Z14,628140220,DLS,EUR,2022-01-04,1.03,1.03,1.03,1.03,0,0,1.03
TH0528A10Z14,628140220,DLS,EUR,2022-01-05,1.02,1.02,1.02,1.02,10000,1,1.02
TH0528A10Z14,628140220,DLS,EUR,2022-01-06,1.04,1.04,1.03,1.04,66890,5,1.0394
TH0528A10Z14,628140220,DLS,EUR,2022-01-07,0.996,0.996,0.994,0.996,0,0,0.996
TH0528A10Z14,628140220,DLS,EUR,2022-01-10,0.99,1.01,0.99,1.01,70000,4,1.0
TH0528A10Z14,628140220,DLS,EUR,2022-01-11,1.01,1.07,1.01,1.02,150750,6,1.0136
TH0528A10Z14,628140220,DLS,EUR,2022-01-12,1.04,1.04,1.03,1.04,110500,4,1.0354
TH0528A10Z14,628140220,DLS,EUR,2022-01-13,1.02,1.07,1.02,1.02,24000,2,1.0284
TH0528A10Z14,628140220,DLS,EUR,2022-01-14,1.02,1.02,1.0,1.02,10300,2,1.0194
TH0528A10Z14,628140220,DLS,EUR,2022-01-17,1.03,1.04,1.03,1.04,73070,6,1.0328
TH0528A10Z14,628140220,DLS,EUR,2022-01-18,1.02,1.02,1.02,1.02,12500,2,1.02
TH0528A10Z14,628140220,DLS,EUR,2022-01-19,1.02,1.02,1.02,1.02,20000,1,1.02
TH0528A10Z14,628140220,DLS,EUR,2022-01-20,1.03,1.03,1.02,1.03,21790,2,1.0292
TH0528A10Z14,628140220,DLS,EUR,2022-01-21,0.996,0.996,0.994,0.996,0,0,0.996
TH0528A10Z14,628140220,DLS,EUR,2022-01-24,0.98,0.98,0.91,0.98,20000,2,0.945
TH0528A10Z14,628140220,DLS,EUR,2022-01-25,0.926,0.96,0.924,0.96,31020,4,0.9388
TH0528A10Z14,628140220,DLS,EUR,2022-01-26,0.93,0.99,0.93,0.93,29390,3,0.9614
TH0528A10Z14,628140220,DLS,EUR,2022-01-27,0.95,0.95,0.894,0.896,3150,2,0.9124
TH0528A10Z14,628140220,DLS,EUR,2022-01-28,0.86,0.87,0.86,0.87,23000,3,0.8666
TH0528A10Z14,628140220,DLS,EUR,2022-01-31,0.9,0.9,0.894,0.896,13450,2,0.8988
TH0528A10Z14,628140220,DLS,EUR,2022-02-01,0.9,0.976,0.9,0.976,35590,4,0.9244
TH0528A10Z14,628140220,DLS,EUR,2022-02-02,0.98,1.0,0.98,1.0,30000,3,0.9866
TH0528A10Z14,628140220,DLS,EUR,2022-02-03,1.0,1.01,1.0,1.0,10150,2,1.0002
TH0528A10Z14,628140220,DLS,EUR,2022-02-04,1.02,1.04,1.02,1.04,50000,3,1.03
TH0528A10Z14,628140220,DLS,EUR,2022-02-07,1.05,1.1,1.04,1.04,71520,5,1.044
TH0528A10Z14,628140220,DLS,EUR,2022-02-08,1.05,1.06,1.02,1.06,45390,4,1.0442
TH0528A10Z14,628140220,DLS,EUR,2022-02-09,1.06,1.07,1.06,1.07,80960,4,1.0612
TH0528A10Z14,628140220,DLS,EUR,2022-02-10,1.06,1.07,1.06,1.07,43500,4,1.0622
TH0528A10Z14,628140220,DLS,EUR,2022-02-11,1.04,1.07,1.04,1.04,18900,3,1.0406
TH0528A10Z14,628140220,DLS,EUR,2022-02-14,1.0,1.0,0.974,0.976,89280,6,0.999
TH0528A10Z14,628140220,DLS,EUR,2022-02-15,1.05,1.11,1.05,1.11,244080,9,1.0638
TH0528A10Z14,628140220,DLS,EUR,2022-02-16,1.09,1.09,1.09,1.09,10000,1,1.09
TH0528A10Z14,628140220,DLS,EUR,2022-02-17,1.08,1.08,1.07,1.07,30100,2,1.08
TH0528A10Z14,628140220,DLS,EUR,2022-02-18,1.09,1.09,1.08,1.08,20000,2,1.085
