ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
US29084Q1004,6820,EME,USD,2019-01-02,58.74,59.66,58.16,59.36,7543,1515,59.171
US29084Q1004,6820,EME,USD,2019-01-03,59.2,59.33,58.05,58.09,5107,1401,58.561
US29084Q1004,6820,EME,USD,2019-01-04,59.15,60.68,58.86,60.27,6009,1413,60.192
US29084Q1004,6820,EME,USD,2019-01-07,60.55,62.07,59.95,61.4,6619,1760,61.391
US29084Q1004,6820,EME,USD,2019-01-08,61.85,62.55,61.32,62.35,3960,974,62.078
US29084Q1004,6820,EME,USD,2019-01-09,62.69,63.16,62.1,62.97,3799,976,62.852
US29084Q1004,6820,EME,USD,2019-01-10,62.7,63.7,62.58,63.53,4092,1011,63.379
US29084Q1004,6820,EME,USD,2019-01-11,63.21,64.25,63.04,64.03,4907,1154,63.94
US29084Q1004,6820,EME,USD,2019-01-14,63.53,64.64,63.19,63.71,5865,1514,63.947
US29084Q1004,6820,EME,USD,2019-01-15,63.85,64.04,62.96,63.53,7702,1935,63.546
US29084Q1004,6820,EME,USD,2019-01-16,63.51,64.23,63.43,63.47,4933,1311,63.671
US29084Q1004,6820,EME,USD,2019-01-17,63.17,64.45,63.17,64.04,8386,1838,64.018
US29084Q1004,6820,EME,USD,2019-01-18,64.06,65.37,64.04,64.9,9884,2261,64.854
US29084Q1004,6820,EME,USD,2019-01-22,64.25,64.77,63.21,63.95,6275,1689,63.848
US29084Q1004,6820,EME,USD,2019-01-23,64.49,65.11,63.11,63.38,4479,1031,63.735
US29084Q1004,6820,EME,USD,2019-01-24,63.27,64.42,63.13,63.93,4553,1098,63.955
US29084Q1004,6820,EME,USD,2019-01-25,64.68,65.14,64.37,64.41,4067,805,64.683
US29084Q1004,6820,EME,USD,2019-01-28,63.78,64.25,62.87,63.9,6026,1432,63.753
US29084Q1004,6820,EME,USD,2019-01-29,64.5,64.91,63.9,64.61,11399,2572,64.464
US29084Q1004,6820,EME,USD,2019-01-30,64.91,65.37,63.53,65.09,8571,2287,64.848
US29084Q1004,6820,EME,USD,2019-01-31,65.03,65.74,64.74,65.23,9380,2295,65.399
US29084Q1004,6820,EME,USD,2019-02-01,65.18,65.85,64.43,64.77,5934,1103,64.99
US29084Q1004,6820,EME,USD,2019-02-04,64.73,65.36,64.35,65.18,5393,1260,65.091
US29084Q1004,6820,EME,USD,2019-02-05,65.38,66.13,65.38,66.09,4630,1218,65.933
US29084Q1004,6820,EME,USD,2019-02-06,66.01,66.86,65.78,66.3,3548,940,66.214
US29084Q1004,6820,EME,USD,2019-02-07,65.93,66.13,64.75,64.97,4341,1122,65.104
US29084Q1004,6820,EME,USD,2019-02-08,64.62,65.01,63.97,64.79,3962,992,64.574
US29084Q1004,6820,EME,USD,2019-02-11,64.95,65.41,64.24,65.34,5631,1304,64.99
US29084Q1004,6820,EME,USD,2019-02-12,65.76,66.89,65.76,66.45,3841,1069,66.451
US29084Q1004,6820,EME,USD,2019-02-13,66.38,67.34,66.37,67.0,5602,1605,66.932
US29084Q1004,6820,EME,USD,2019-02-14,66.52,67.69,66.52,67.29,6876,1844,67.308
US29084Q1004,6820,EME,USD,2019-02-15,67.4,68.29,67.4,68.04,4565,1134,67.966
US29084Q1004,6820,EME,USD,2019-02-19,67.92,68.56,67.7,68.11,4418,1124,68.183
US29084Q1004,6820,EME,USD,2019-02-20,68.24,69.12,68.23,68.87,7466,1909,68.709
US29084Q1004,6820,EME,USD,2019-02-21,68.87,70.71,67.62,70.59,9711,2859,70.01
US29084Q1004,6820,EME,USD,2019-02-22,71.28,72.6,71.2,71.99,10380,2928,72.11
US29084Q1004,6820,EME,USD,2019-02-25,72.47,72.79,71.74,72.1,7973,1864,72.117
US29084Q1004,6820,EME,USD,2019-02-26,72.19,72.45,70.95,70.99,9307,2555,71.326
US29084Q1004,6820,EME,USD,2019-02-27,70.77,71.69,70.13,71.56,6217,1966,71.201
US29084Q1004,6820,EME,USD,2019-02-28,71.51,72.59,71.16,72.13,8075,2157,72.259
