ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
US29350E3027,885295376,2Q5,EUR,2022-12-16,96.8,96.8,96.8,96.8,0,0,96.8
US29350E3027,885295376,2Q5,EUR,2022-12-19,98.4,98.4,98.4,98.4,0,0,98.4
US29350E3027,885295376,2Q5,EUR,2022-12-20,97.6,97.6,97.6,97.6,0,0,97.6
US29350E3027,885295376,2Q5,EUR,2022-12-21,102.4,102.4,102.4,102.4,0,0,102.4
US29350E3027,885295376,2Q5,EUR,2022-12-22,102.4,102.4,102.4,102.4,0,0,102.4
US29350E3027,885295376,2Q5,EUR,2022-12-23,100.0,100.0,100.0,100.0,0,0,100.0
US29350E3027,885295376,2Q5,EUR,2022-12-27,96.8,96.8,96.8,96.8,0,0,96.8
US29350E3027,885295376,2Q5,EUR,2022-12-28,84.8,84.8,84.8,84.8,0,0,84.8
US29350E3027,885295376,2Q5,EUR,2022-12-29,76.0,76.0,76.0,76.0,0,0,76.0
US29350E3027,885295376,2Q5,EUR,2022-12-30,78.4,78.4,78.4,78.4,0,0,78.4
US29350E3027,885295376,2Q5,EUR,2023-01-02,61.6,61.6,61.6,61.6,0,0,61.6
US29350E3027,885295376,2Q5,EUR,2023-01-03,82.4,82.4,82.4,82.4,0,0,82.4
US29350E3027,885295376,2Q5,EUR,2023-01-04,92.8,92.8,92.8,92.8,0,0,92.8
US29350E3027,885295376,2Q5,EUR,2023-01-05,93.6,93.6,93.6,93.6,0,0,93.6
US29350E3027,885295376,2Q5,EUR,2023-01-06,84.8,84.8,84.8,84.8,0,0,84.8
US29350E3027,885295376,2Q5,EUR,2023-01-09,84.0,84.0,84.0,84.0,0,0,84.0
US29350E3027,885295376,2Q5,EUR,2023-01-10,78.4,78.4,78.4,78.4,0,0,78.4
US29350E3027,885295376,2Q5,EUR,2023-01-11,88.0,88.0,88.0,88.0,0,0,88.0
US29350E3027,885295376,2Q5,EUR,2023-01-12,85.6,85.6,85.6,85.6,0,0,85.6
US29350E3027,885295376,2Q5,EUR,2023-01-13,91.2,91.2,91.2,91.2,0,0,91.2
US29350E3027,885295376,2Q5,EUR,2023-01-16,91.2,91.2,91.2,91.2,0,0,91.2
US29350E3027,885295376,2Q5,EUR,2023-01-17,98.4,98.4,98.4,98.4,0,0,98.4
US29350E3027,885295376,2Q5,EUR,2023-01-18,95.2,95.2,95.2,95.2,0,0,95.2
US29350E3027,885295376,2Q5,EUR,2023-01-19,87.2,87.2,87.2,87.2,0,0,87.2
US29350E3027,885295376,2Q5,EUR,2023-01-20,85.6,85.6,85.6,85.6,0,0,85.6
US29350E3027,885295376,2Q5,EUR,2023-01-23,88.0,88.0,88.0,88.0,0,0,88.0
US29350E3027,885295376,2Q5,EUR,2023-01-24,85.6,85.6,85.6,85.6,0,0,85.6
US29350E3027,885295376,2Q5,EUR,2023-01-25,79.2,79.2,79.2,79.2,0,0,79.2
US29350E3027,885295376,2Q5,EUR,2023-01-26,78.4,78.4,78.4,78.4,0,0,78.4
US29350E3027,885295376,2Q5,EUR,2023-01-27,78.4,78.4,78.4,78.4,0,0,78.4
US29350E3027,885295376,2Q5,EUR,2023-01-30,83.2,83.2,83.2,83.2,0,0,83.2
US29350E3027,885295376,2Q5,EUR,2023-01-31,89.6,89.6,89.6,89.6,0,0,89.6
US29350E3027,885295376,2Q5,EUR,2023-02-01,80.8,80.8,80.8,80.8,0,0,80.8
US29350E3027,885295376,2Q5,EUR,2023-02-02,83.2,83.2,83.2,83.2,0,0,83.2
US29350E3027,885295376,2Q5,EUR,2023-02-03,82.4,82.4,82.4,82.4,0,0,82.4
US29350E3027,885295376,2Q5,EUR,2023-02-06,80.8,80.8,80.8,80.8,0,0,80.8
US29350E3027,885295376,2Q5,EUR,2023-02-07,74.4,74.4,74.4,74.4,0,0,74.4
US29350E3027,885295376,2Q5,EUR,2023-02-08,76.8,76.8,76.8,76.8,0,0,76.8
US29350E3027,885295376,2Q5,EUR,2023-02-09,78.4,78.4,78.4,78.4,0,0,78.4
US29350E3027,885295376,2Q5,EUR,2023-02-10,79.2,79.2,79.2,79.2,0,0,79.2
US29350E3027,885295376,2Q5,EUR,2023-02-13,75.2,75.2,75.2,75.2,0,0,75.2
US29350E3027,885295376,2Q5,EUR,2023-02-14,75.2,75.2,75.2,75.2,0,0,75.2
US29350E3027,885295376,2Q5,EUR,2023-02-15,73.6,73.6,73.6,73.6,0,0,73.6
US29350E3027,885295376,2Q5,EUR,2023-02-16,73.6,73.6,73.6,73.6,0,0,73.6
US29350E3027,885295376,2Q5,EUR,2023-02-17,73.6,73.6,73.6,73.6,0,0,73.6
US29350E3027,885295376,2Q5,EUR,2023-02-20,72.8,72.8,72.8,72.8,0,0,72.8
US29350E3027,885295376,2Q5,EUR,2023-02-21,69.6,69.6,69.6,69.6,0,0,69.6
US29350E3027,885295376,2Q5,EUR,2023-02-22,68.0,68.0,68.0,68.0,0,0,68.0
US29350E3027,885295376,2Q5,EUR,2023-02-23,78.4,78.4,78.4,78.4,0,0,78.4
US29350E3027,885295376,2Q5,EUR,2023-02-24,82.4,82.4,82.4,82.4,0,0,82.4
US29350E3027,885295376,2Q5,EUR,2023-02-27,88.8,88.8,88.8,88.8,0,0,88.8
US29350E3027,885295376,2Q5,EUR,2023-02-28,77.6,77.6,77.6,77.6,0,0,77.6
US29350E3027,885295376,2Q5,EUR,2023-03-01,77.6,77.6,77.6,77.6,0,0,77.6
US29350E3027,885295376,2Q5,EUR,2023-03-02,78.4,78.4,78.4,78.4,0,0,78.4
US29350E3027,885295376,2Q5,EUR,2023-03-03,84.0,84.0,84.0,84.0,0,0,84.0
US29350E3027,885295376,2Q5,EUR,2023-03-06,81.6,81.6,81.6,81.6,0,0,81.6
US29350E3027,885295376,2Q5,EUR,2023-03-07,85.6,85.6,85.6,85.6,0,0,85.6
US29350E3027,885295376,2Q5,EUR,2023-03-08,81.6,81.6,81.6,81.6,0,0,81.6
US29350E3027,885295376,2Q5,EUR,2023-03-09,80.8,80.8,80.8,80.8,0,0,80.8
US29350E3027,885295376,2Q5,EUR,2023-03-10,79.2,79.2,79.2,79.2,0,0,79.2
US29350E3027,885295376,2Q5,EUR,2023-03-13,80.8,80.8,80.8,80.8,0,0,80.8
US29350E3027,885295376,2Q5,EUR,2023-03-14,75.2,75.2,75.2,75.2,0,0,75.2
US29350E3027,885295376,2Q5,EUR,2023-03-15,77.6,77.6,77.6,77.6,0,0,77.6
US29350E3027,885295376,2Q5,EUR,2023-03-16,76.0,76.0,76.0,76.0,0,0,76.0
US29350E3027,885295376,2Q5,EUR,2023-03-17,79.2,79.2,79.2,79.2,0,0,79.2
US29350E3027,885295376,2Q5,EUR,2023-03-20,83.2,83.2,83.2,83.2,0,0,83.2
US29350E3027,885295376,2Q5,EUR,2023-03-21,77.6,77.6,77.6,77.6,0,0,77.6
US29350E3027,885295376,2Q5,EUR,2023-03-22,72.0,72.0,72.0,72.0,0,0,72.0
US29350E3027,885295376,2Q5,EUR,2023-03-23,68.8,68.8,68.8,68.8,0,0,68.8
US29350E3027,885295376,2Q5,EUR,2023-03-24,71.2,71.2,71.2,71.2,0,0,71.2
US29350E3027,885295376,2Q5,EUR,2023-03-27,71.2,71.2,71.2,71.2,0,0,71.2
US29350E3027,885295376,2Q5,EUR,2023-03-28,67.2,67.2,67.2,67.2,0,0,67.2
US29350E3027,885295376,2Q5,EUR,2023-03-29,68.8,68.8,68.8,68.8,0,0,68.8
US29350E3027,885295376,2Q5,EUR,2023-03-30,66.4,66.4,66.4,66.4,0,0,66.4
US29350E3027,885295376,2Q5,EUR,2023-03-31,64.8,64.8,64.8,64.8,0,0,64.8
US29350E3027,885295376,2Q5,EUR,2023-04-03,68.8,68.8,68.8,68.8,0,0,68.8
US29350E3027,885295376,2Q5,EUR,2023-04-04,68.0,68.0,68.0,68.0,0,0,68.0
US29350E3027,885295376,2Q5,EUR,2023-04-05,77.6,77.6,77.6,77.6,0,0,77.6
US29350E3027,885295376,2Q5,EUR,2023-04-06,76.0,76.0,76.0,76.0,0,0,76.0
US29350E3027,885295376,2Q5,EUR,2023-04-11,83.2,83.2,83.2,83.2,0,0,83.2
US29350E3027,885295376,2Q5,EUR,2023-04-12,77.6,77.6,77.6,77.6,0,0,77.6
US29350E3027,885295376,2Q5,EUR,2023-04-13,82.4,82.4,82.4,82.4,0,0,82.4
US29350E3027,885295376,2Q5,EUR,2023-04-14,85.6,85.6,85.6,85.6,0,0,85.6
US29350E3027,885295376,2Q5,EUR,2023-04-17,91.2,91.2,91.2,91.2,0,0,91.2
US29350E3027,885295376,2Q5,EUR,2023-04-18,87.2,87.2,87.2,87.2,0,0,87.2
US29350E3027,885295376,2Q5,EUR,2023-04-19,92.0,92.0,92.0,92.0,0,0,92.0
US29350E3027,885295376,2Q5,EUR,2023-04-20,82.4,82.4,82.4,82.4,0,0,82.4
US29350E3027,885295376,2Q5,EUR,2023-04-21,80.0,80.0,80.0,80.0,0,0,80.0
US29350E3027,885295376,2Q5,EUR,2023-04-24,79.2,79.2,79.2,79.2,0,0,79.2
US29350E3027,885295376,2Q5,EUR,2023-04-25,80.0,80.0,80.0,80.0,0,0,80.0
US29350E3027,885295376,2Q5,EUR,2023-04-26,79.2,79.2,79.2,79.2,0,0,79.2
US29350E3027,885295376,2Q5,EUR,2023-04-27,84.8,84.8,84.8,84.8,0,0,84.8
US29350E3027,885295376,2Q5,EUR,2023-04-28,81.6,81.6,81.6,81.6,0,0,81.6
US29350E3027,885295376,2Q5,EUR,2023-05-02,84.8,84.8,84.8,84.8,0,0,84.8
US29350E3027,885295376,2Q5,EUR,2023-05-03,84.8,84.8,84.8,84.8,0,0,84.8
US29350E3027,885295376,2Q5,EUR,2023-05-04,84.8,84.8,84.8,84.8,0,0,84.8
US29350E3027,885295376,2Q5,EUR,2023-05-05,87.2,87.2,87.2,87.2,0,0,87.2
US29350E3027,885295376,2Q5,EUR,2023-05-08,84.8,84.8,84.8,84.8,0,0,84.8
US29350E3027,885295376,2Q5,EUR,2023-05-09,84.0,84.0,84.0,84.0,0,0,84.0
US29350E3027,885295376,2Q5,EUR,2023-05-10,83.2,83.2,83.2,83.2,0,0,83.2
