ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
US29460X1090,212212695,EQBK,USD,2019-01-02,35.25,35.96,35.06,35.8,928,228,35.556
US29460X1090,212212695,EQBK,USD,2019-01-03,34.05,34.55,33.31,33.32,550,287,33.86
US29460X1090,212212695,EQBK,USD,2019-01-04,33.48,34.02,33.17,33.76,403,216,33.728
US29460X1090,212212695,EQBK,USD,2019-01-07,33.81,34.6,33.54,33.97,432,200,33.952
US29460X1090,212212695,EQBK,USD,2019-01-08,34.03,34.83,33.76,34.03,703,253,33.955
US29460X1090,212212695,EQBK,USD,2019-01-09,33.99,34.27,33.69,33.96,1287,596,33.896
US29460X1090,212212695,EQBK,USD,2019-01-10,33.8,34.58,33.74,34.3,1025,654,34.029
US29460X1090,212212695,EQBK,USD,2019-01-11,34.06,34.31,33.73,34.1,783,529,33.981
US29460X1090,212212695,EQBK,USD,2019-01-14,33.93,34.12,33.56,33.58,965,468,33.973
US29460X1090,212212695,EQBK,USD,2019-01-15,33.53,33.54,32.77,33.54,412,342,33.357
US29460X1090,212212695,EQBK,USD,2019-01-16,33.74,34.33,33.74,34.28,494,399,34.04
US29460X1090,212212695,EQBK,USD,2019-01-17,34.2,34.9,34.06,34.68,303,218,34.625
US29460X1090,212212695,EQBK,USD,2019-01-18,34.55,35.14,34.3,34.81,359,231,34.811
US29460X1090,212212695,EQBK,USD,2019-01-22,34.6,35.07,34.35,34.7,296,197,34.692
US29460X1090,212212695,EQBK,USD,2019-01-23,34.84,35.3,34.11,34.29,184,159,34.483
US29460X1090,212212695,EQBK,USD,2019-01-24,33.2,35.08,32.06,32.15,3925,1816,33.38
US29460X1090,212212695,EQBK,USD,2019-01-25,32.17,32.59,31.62,32.0,1471,520,31.932
US29460X1090,212212695,EQBK,USD,2019-01-28,32.0,32.88,31.74,32.87,1014,459,32.416
US29460X1090,212212695,EQBK,USD,2019-01-29,32.87,32.87,32.3,32.33,153,107,32.503
US29460X1090,212212695,EQBK,USD,2019-01-30,32.25,32.42,31.68,31.96,346,227,32.087
US29460X1090,212212695,EQBK,USD,2019-01-31,31.77,31.86,30.9,31.75,565,365,31.421
US29460X1090,212212695,EQBK,USD,2019-02-01,31.76,32.22,31.58,32.03,448,262,32.0
US29460X1090,212212695,EQBK,USD,2019-02-04,32.0,33.1,31.92,33.06,879,508,32.699
US29460X1090,212212695,EQBK,USD,2019-02-05,32.96,33.06,32.52,32.69,159,118,32.738
US29460X1090,212212695,EQBK,USD,2019-02-06,32.67,32.67,32.0,32.1,256,182,32.108
US29460X1090,212212695,EQBK,USD,2019-02-07,32.24,32.73,32.15,32.39,290,219,32.372
US29460X1090,212212695,EQBK,USD,2019-02-08,32.29,32.37,31.77,32.02,214,128,32.016
US29460X1090,212212695,EQBK,USD,2019-02-11,32.22,32.46,31.4,32.29,703,415,32.057
US29460X1090,212212695,EQBK,USD,2019-02-12,32.6,32.65,32.37,32.55,96,66,32.516
US29460X1090,212212695,EQBK,USD,2019-02-13,32.56,32.81,32.16,32.75,556,349,32.502
US29460X1090,212212695,EQBK,USD,2019-02-14,32.59,32.95,32.44,32.47,244,186,32.581
US29460X1090,212212695,EQBK,USD,2019-02-15,32.57,33.2,32.57,32.93,1054,690,33.009
US29460X1090,212212695,EQBK,USD,2019-02-19,32.92,33.37,32.81,33.1,549,394,33.124
US29460X1090,212212695,EQBK,USD,2019-02-20,33.1,33.79,32.75,33.41,1346,885,33.354
US29460X1090,212212695,EQBK,USD,2019-02-21,33.45,34.38,33.45,34.36,2360,483,33.8
US29460X1090,212212695,EQBK,USD,2019-02-22,34.37,34.4,33.79,34.08,325,192,34.171
US29460X1090,212212695,EQBK,USD,2019-02-25,34.22,34.29,33.52,33.61,487,291,33.866
US29460X1090,212212695,EQBK,USD,2019-02-26,33.6,33.76,33.37,33.43,440,279,33.487
US29460X1090,212212695,EQBK,USD,2019-02-27,33.42,34.17,33.25,33.89,470,241,33.915
US29460X1090,212212695,EQBK,USD,2019-02-28,33.92,34.07,33.82,33.99,382,190,33.973
US29460X1090,212212695,EQBK,USD,2019-03-01,34.12,34.17,33.54,33.7,255,154,33.711
US29460X1090,212212695,EQBK,USD,2019-03-04,33.69,34.19,33.69,34.15,1867,209,33.927
US29460X1090,212212695,EQBK,USD,2019-03-05,33.92,34.06,33.48,33.82,321,229,33.739
US29460X1090,212212695,EQBK,USD,2019-03-06,33.81,33.85,32.63,32.81,458,380,32.938
US29460X1090,212212695,EQBK,USD,2019-03-07,32.78,32.98,32.08,32.26,228,148,32.309
US29460X1090,212212695,EQBK,USD,2019-03-08,32.1,32.32,31.99,32.05,113,72,32.113
US29460X1090,212212695,EQBK,USD,2019-03-11,32.12,32.48,31.87,32.45,157,117,32.356
US29460X1090,212212695,EQBK,USD,2019-03-12,32.44,32.48,31.86,31.98,162,102,32.061
US29460X1090,212212695,EQBK,USD,2019-03-13,31.92,32.42,31.84,32.2,218,127,32.206
US29460X1090,212212695,EQBK,USD,2019-03-14,32.21,32.24,31.85,32.2,229,182,32.099
US29460X1090,212212695,EQBK,USD,2019-03-15,32.11,32.28,31.88,32.22,1388,268,32.178
US29460X1090,212212695,EQBK,USD,2019-03-18,32.21,32.72,32.14,32.61,590,292,32.484
US29460X1090,212212695,EQBK,USD,2019-03-19,32.61,32.75,32.25,32.25,417,320,32.436
US29460X1090,212212695,EQBK,USD,2019-03-20,32.15,32.26,30.48,30.56,625,535,31.263
US29460X1090,212212695,EQBK,USD,2019-03-21,30.5,30.61,29.64,29.73,385,255,30.011
US29460X1090,212212695,EQBK,USD,2019-03-22,29.62,29.68,27.77,27.96,583,434,28.206
US29460X1090,212212695,EQBK,USD,2019-03-25,28.35,28.42,27.65,28.01,195,154,27.971
US29460X1090,212212695,EQBK,USD,2019-03-26,28.1,28.62,27.9,28.62,564,443,28.262
US29460X1090,212212695,EQBK,USD,2019-03-27,28.62,28.75,28.15,28.58,447,235,28.406
US29460X1090,212212695,EQBK,USD,2019-03-28,28.61,28.77,28.15,28.77,299,226,28.643
US29460X1090,212212695,EQBK,USD,2019-03-29,28.91,29.09,27.83,28.8,595,372,28.515
US29460X1090,212212695,EQBK,USD,2019-04-01,29.06,29.38,28.77,28.85,401,261,28.919
US29460X1090,212212695,EQBK,USD,2019-04-02,28.86,28.86,28.19,28.28,237,151,28.408
US29460X1090,212212695,EQBK,USD,2019-04-03,28.55,28.55,28.07,28.15,268,205,28.244
US29460X1090,212212695,EQBK,USD,2019-04-04,28.16,28.74,28.04,28.39,163,126,28.405
US29460X1090,212212695,EQBK,USD,2019-04-05,28.4,29.18,28.4,28.92,318,175,28.832
US29460X1090,212212695,EQBK,USD,2019-04-08,28.91,29.31,28.59,28.74,347,245,28.87
US29460X1090,212212695,EQBK,USD,2019-04-09,28.62,28.88,28.01,28.73,518,362,28.518
US29460X1090,212212695,EQBK,USD,2019-04-10,28.73,29.25,28.27,29.09,882,709,28.869
US29460X1090,212212695,EQBK,USD,2019-04-11,28.89,29.2,28.86,29.12,2864,161,29.008
US29460X1090,212212695,EQBK,USD,2019-04-12,29.34,29.88,29.28,29.82,253,164,29.68
US29460X1090,212212695,EQBK,USD,2019-04-15,29.7,29.83,29.4,29.4,410,219,29.581
US29460X1090,212212695,EQBK,USD,2019-04-16,29.58,29.88,29.26,29.7,244,159,29.733
US29460X1090,212212695,EQBK,USD,2019-04-17,29.86,30.04,29.35,29.98,233,121,29.869
US29460X1090,212212695,EQBK,USD,2019-04-18,29.85,29.99,29.57,29.8,283,195,29.737
US29460X1090,212212695,EQBK,USD,2019-04-22,29.86,29.86,29.23,29.47,386,270,29.499
US29460X1090,212212695,EQBK,USD,2019-04-23,28.2,28.36,24.52,24.7,4113,2615,25.449
US29460X1090,212212695,EQBK,USD,2019-04-24,24.1,24.86,22.75,24.7,1442,930,24.545
US29460X1090,212212695,EQBK,USD,2019-04-25,24.61,24.94,23.91,24.78,989,362,24.284
US29460X1090,212212695,EQBK,USD,2019-04-26,24.89,25.27,24.21,25.15,1060,611,24.798
US29460X1090,212212695,EQBK,USD,2019-04-29,25.33,26.64,25.31,26.31,774,564,26.085
US29460X1090,212212695,EQBK,USD,2019-04-30,26.54,26.62,26.16,26.26,1334,479,26.358
US29460X1090,212212695,EQBK,USD,2019-05-01,26.43,26.75,25.9,26.37,1465,680,26.268
US29460X1090,212212695,EQBK,USD,2019-05-02,26.43,26.69,25.89,26.28,657,483,26.276
US29460X1090,212212695,EQBK,USD,2019-05-03,26.39,26.96,26.04,26.48,607,505,26.636
US29460X1090,212212695,EQBK,USD,2019-05-06,26.32,27.16,26.26,26.73,510,386,26.872
US29460X1090,212212695,EQBK,USD,2019-05-07,26.51,26.93,26.31,26.85,1378,678,26.668
US29460X1090,212212695,EQBK,USD,2019-05-08,26.8,27.26,26.72,26.72,475,310,26.862
US29460X1090,212212695,EQBK,USD,2019-05-09,26.6,27.2,26.47,26.97,1385,460,27.03
US29460X1090,212212695,EQBK,USD,2019-05-10,26.97,27.2,26.73,27.03,318,195,27.033
US29460X1090,212212695,EQBK,USD,2019-05-13,26.71,26.8,26.25,26.61,687,476,26.575
US29460X1090,212212695,EQBK,USD,2019-05-14,26.7,27.11,26.05,26.7,443,336,26.76
US29460X1090,212212695,EQBK,USD,2019-05-15,26.4,26.6,26.23,26.52,483,340,26.428
US29460X1090,212212695,EQBK,USD,2019-05-16,26.58,27.11,26.53,26.83,605,431,26.807
US29460X1090,212212695,EQBK,USD,2019-05-17,26.65,27.12,26.52,26.86,398,320,26.928
US29460X1090,212212695,EQBK,USD,2019-05-20,26.72,27.3,26.72,27.11,420,288,27.137
US29460X1090,212212695,EQBK,USD,2019-05-21,27.27,27.27,26.69,26.9,611,388,26.908
US29460X1090,212212695,EQBK,USD,2019-05-22,26.82,26.84,26.38,26.6,719,485,26.576
US29460X1090,212212695,EQBK,USD,2019-05-23,26.39,26.42,25.86,25.97,477,358,26.045
US29460X1090,212212695,EQBK,USD,2019-05-24,26.07,26.41,25.59,25.92,531,401,25.845
US29460X1090,212212695,EQBK,USD,2019-05-28,25.83,25.83,25.41,25.51,327,157,25.552
US29460X1090,212212695,EQBK,USD,2019-05-29,25.44,25.74,25.16,25.64,322,219,25.445
US29460X1090,212212695,EQBK,USD,2019-05-30,25.64,26.04,24.66,25.14,518,178,24.911
US29460X1090,212212695,EQBK,USD,2019-05-31,24.89,24.98,24.61,24.88,304,193,24.862
US29460X1090,212212695,EQBK,USD,2019-06-03,24.78,25.11,24.54,24.82,231,154,24.803
