ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
US38911N2062,193941819,GRVY,USD,2019-01-02,41.0,44.0,41.0,43.58,196,129,42.75
US38911N2062,193941819,GRVY,USD,2019-01-03,44.07,45.0,43.6,44.0,183,121,44.196
US38911N2062,193941819,GRVY,USD,2019-01-04,44.8,46.5,44.8,46.5,378,194,45.761
US38911N2062,193941819,GRVY,USD,2019-01-07,47.49,48.4,45.32,47.55,279,180,47.208
US38911N2062,193941819,GRVY,USD,2019-01-08,47.97,47.97,43.1,43.83,261,189,44.968
US38911N2062,193941819,GRVY,USD,2019-01-09,44.55,46.73,44.55,45.42,170,109,45.613
US38911N2062,193941819,GRVY,USD,2019-01-10,44.69,44.92,42.77,44.6,142,95,43.612
US38911N2062,193941819,GRVY,USD,2019-01-11,44.16,44.29,42.9,43.81,64,46,43.38
US38911N2062,193941819,GRVY,USD,2019-01-14,43.1,44.96,43.1,43.52,32,19,43.515
US38911N2062,193941819,GRVY,USD,2019-01-15,43.6,46.38,43.6,45.66,245,130,44.966
US38911N2062,193941819,GRVY,USD,2019-01-16,45.63,47.86,44.9,45.33,261,165,46.742
US38911N2062,193941819,GRVY,USD,2019-01-17,46.1,47.0,45.0,45.0,71,53,45.459
US38911N2062,193941819,GRVY,USD,2019-01-18,45.55,45.6,41.6,43.0,243,134,43.297
US38911N2062,193941819,GRVY,USD,2019-01-22,41.84,42.0,36.12,37.5,481,232,38.537
US38911N2062,193941819,GRVY,USD,2019-01-23,38.16,39.1,37.05,38.18,136,93,38.551
US38911N2062,193941819,GRVY,USD,2019-01-24,38.37,40.0,38.37,38.66,153,101,39.306
US38911N2062,193941819,GRVY,USD,2019-01-25,39.54,40.9,39.01,39.01,74,53,39.967
US38911N2062,193941819,GRVY,USD,2019-01-28,39.05,42.41,34.07,37.25,336,219,36.821
US38911N2062,193941819,GRVY,USD,2019-01-29,36.68,37.98,34.8,36.44,204,137,35.967
US38911N2062,193941819,GRVY,USD,2019-01-30,36.34,39.9,36.09,36.81,97,57,37.629
US38911N2062,193941819,GRVY,USD,2019-01-31,37.0,38.01,35.5,35.5,207,130,36.702
US38911N2062,193941819,GRVY,USD,2019-02-01,37.96,47.0,37.96,45.51,1277,715,44.793
US38911N2062,193941819,GRVY,USD,2019-02-04,45.51,47.0,44.6,45.34,231,150,45.384
US38911N2062,193941819,GRVY,USD,2019-02-05,45.2,45.23,42.14,43.01,93,66,43.839
US38911N2062,193941819,GRVY,USD,2019-02-06,42.72,44.96,42.0,44.51,129,95,43.92
