ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
US4525EP2001,876871145,10V,EUR,2022-12-16,11.44,11.44,11.42,11.44,0,0,11.42
US4525EP2001,876871145,10V,EUR,2022-12-19,11.38,11.38,10.82,10.82,66,2,10.992
US4525EP2001,876871145,10V,EUR,2022-12-20,11.42,11.42,11.42,11.42,0,0,11.42
US4525EP2001,876871145,10V,EUR,2022-12-21,11.9,11.9,11.9,11.9,0,0,11.9
US4525EP2001,876871145,10V,EUR,2022-12-22,11.9,12.2,11.9,12.2,55,1,11.9
US4525EP2001,876871145,10V,EUR,2022-12-23,12.28,12.36,12.26,12.36,1,1,12.27
US4525EP2001,876871145,10V,EUR,2022-12-27,12.32,12.32,11.9,11.9,40,1,12.31
US4525EP2001,876871145,10V,EUR,2022-12-28,12.28,12.28,11.92,11.92,900,1,12.27
US4525EP2001,876871145,10V,EUR,2022-12-29,12.8,12.8,12.78,12.8,0,0,12.8
US4525EP2001,876871145,10V,EUR,2022-12-30,13.74,13.74,12.8,12.8,1,1,13.736
US4525EP2001,876871145,10V,EUR,2023-01-02,13.38,13.38,13.06,13.06,10,1,13.376
US4525EP2001,876871145,10V,EUR,2023-01-03,13.86,13.9,13.1,13.1,51,3,13.768
US4525EP2001,876871145,10V,EUR,2023-01-04,13.0,13.02,12.96,12.96,50,2,13.004
US4525EP2001,876871145,10V,EUR,2023-01-05,13.3,13.3,12.72,12.78,74,3,13.046
US4525EP2001,876871145,10V,EUR,2023-01-06,12.82,12.84,12.82,12.82,0,0,12.82
US4525EP2001,876871145,10V,EUR,2023-01-09,13.18,13.3,13.06,13.06,118,3,13.178
US4525EP2001,876871145,10V,EUR,2023-01-10,13.26,13.26,12.76,13.12,43,4,12.91
US4525EP2001,876871145,10V,EUR,2023-01-11,13.44,13.52,13.1,13.24,47,6,13.242
US4525EP2001,876871145,10V,EUR,2023-01-12,13.4,14.18,13.4,13.78,35,4,13.89
US4525EP2001,876871145,10V,EUR,2023-01-13,14.64,14.68,14.22,14.22,54,4,14.51
US4525EP2001,876871145,10V,EUR,2023-01-16,14.46,14.46,13.94,13.94,10,1,14.45
US4525EP2001,876871145,10V,EUR,2023-01-17,13.96,14.38,13.84,13.84,56,5,14.202
US4525EP2001,876871145,10V,EUR,2023-01-18,14.02,14.04,13.84,13.84,10,1,14.026
US4525EP2001,876871145,10V,EUR,2023-01-19,13.78,16.94,13.76,16.08,675,5,15.374
US4525EP2001,876871145,10V,EUR,2023-01-20,16.12,17.28,16.1,16.68,583,4,16.67
US4525EP2001,876871145,10V,EUR,2023-01-23,18.02,18.04,16.5,16.5,27,3,17.88
US4525EP2001,876871145,10V,EUR,2023-01-24,16.2,17.98,16.2,17.92,102,6,17.15
US4525EP2001,876871145,10V,EUR,2023-01-25,17.14,17.92,17.04,17.92,350,4,17.438
US4525EP2001,876871145,10V,EUR,2023-01-26,19.66,19.66,18.62,18.62,80,2,19.656
US4525EP2001,876871145,10V,EUR,2023-01-27,19.34,20.56,19.34,20.28,64,4,20.12
US4525EP2001,876871145,10V,EUR,2023-01-30,20.94,20.94,19.44,19.44,193,8,20.262
US4525EP2001,876871145,10V,EUR,2023-01-31,19.04,22.44,19.02,21.86,336,8,21.74
US4525EP2001,876871145,10V,EUR,2023-02-01,22.42,23.3,21.62,22.7,381,8,22.266
US4525EP2001,876871145,10V,EUR,2023-02-02,23.22,25.0,22.3,23.02,298,8,23.828
US4525EP2001,876871145,10V,EUR,2023-02-03,23.82,26.32,23.82,25.82,453,6,24.708
US4525EP2001,876871145,10V,EUR,2023-02-06,27.16,27.5,23.76,23.92,1666,17,26.256
US4525EP2001,876871145,10V,EUR,2023-02-07,25.06,25.96,23.62,23.62,835,9,24.662
US4525EP2001,876871145,10V,EUR,2023-02-08,23.6,24.0,20.58,20.94,688,7,21.506
US4525EP2001,876871145,10V,EUR,2023-02-09,20.08,22.4,18.8,19.06,700,6,21.558
US4525EP2001,876871145,10V,EUR,2023-02-10,19.24,19.78,18.48,19.1,69,3,18.726
US4525EP2001,876871145,10V,EUR,2023-02-13,18.7,18.72,18.7,18.7,0,0,18.7
US4525EP2001,876871145,10V,EUR,2023-02-14,18.74,18.74,18.24,18.24,162,2,18.504
US4525EP2001,876871145,10V,EUR,2023-02-15,18.84,20.5,18.16,20.0,750,7,19.48
US4525EP2001,876871145,10V,EUR,2023-02-16,19.44,19.62,18.4,18.5,314,6,19.392
