ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
US50077B2079,68492173,KTOS,USD,2019-01-02,13.83,14.03,13.5,13.5,6331,3480,13.81125
US50077B2079,68492173,KTOS,USD,2019-01-03,13.76,13.76,13.0,13.05,8694,5213,13.2402
US50077B2079,68492173,KTOS,USD,2019-01-04,13.77,13.77,13.14,13.7,8531,4583,13.5848
US50077B2079,68492173,KTOS,USD,2019-01-07,13.7,13.94,13.56,13.89,6748,3799,13.80454
US50077B2079,68492173,KTOS,USD,2019-01-08,14.04,14.41,14.0,14.41,8482,4431,14.29183
US50077B2079,68492173,KTOS,USD,2019-01-09,14.43,14.51,14.225,14.4,5304,3305,14.38507
US50077B2079,68492173,KTOS,USD,2019-01-10,14.31,14.448,14.22,14.35,3480,2061,14.3807
US50077B2079,68492173,KTOS,USD,2019-01-11,14.34,14.81,14.2,14.81,9893,3333,14.52042
US50077B2079,68492173,KTOS,USD,2019-01-14,14.64,14.78,14.4,14.59,5120,2953,14.63528
US50077B2079,68492173,KTOS,USD,2019-01-15,14.59,14.95,14.45,14.87,7011,3850,14.74657
US50077B2079,68492173,KTOS,USD,2019-01-16,14.95,14.97,14.35,14.39,6025,3370,14.56856
US50077B2079,68492173,KTOS,USD,2019-01-17,14.5,14.5,14.11,14.15,10778,6562,14.20123
US50077B2079,68492173,KTOS,USD,2019-01-18,14.26,14.635,14.21,14.34,8729,4484,14.50867
US50077B2079,68492173,KTOS,USD,2019-01-22,14.5,14.54,14.15,14.28,7540,3556,14.27571
US50077B2079,68492173,KTOS,USD,2019-01-23,14.6,14.7,14.28,14.7,4677,2116,14.51449
US50077B2079,68492173,KTOS,USD,2019-01-24,14.59,14.9129,14.46,14.66,3414,1981,14.71311
US50077B2079,68492173,KTOS,USD,2019-01-25,14.79,15.02,14.69,15.02,5821,3293,14.9487
US50077B2079,68492173,KTOS,USD,2019-01-28,14.79,15.04,14.7,14.93,4465,2405,14.90438
US50077B2079,68492173,KTOS,USD,2019-01-29,14.92,15.4199,14.85,14.94,7889,3699,15.24402
US50077B2079,68492173,KTOS,USD,2019-01-30,14.87,15.32,14.84,15.0,7706,4188,15.0678
US50077B2079,68492173,KTOS,USD,2019-01-31,15.0,15.59,14.83,15.55,13765,6895,15.37568
US50077B2079,68492173,KTOS,USD,2019-02-01,15.87,15.9,15.35,15.4,7462,3914,15.50884
US50077B2079,68492173,KTOS,USD,2019-02-04,15.36,15.9,15.26,15.9,5772,3715,15.70825
US50077B2079,68492173,KTOS,USD,2019-02-05,15.9699,16.09,15.51,16.03,9394,4769,15.84812
US50077B2079,68492173,KTOS,USD,2019-02-06,16.05,16.05,15.84,15.95,7123,3523,15.94867
US50077B2079,68492173,KTOS,USD,2019-02-07,15.74,15.99,15.51,15.68,6088,4109,15.69975
US50077B2079,68492173,KTOS,USD,2019-02-08,15.6,16.74,15.55,16.74,22304,10173,16.12279
US50077B2079,68492173,KTOS,USD,2019-02-11,16.5,16.98,16.39,16.96,14253,7371,16.78528
US50077B2079,68492173,KTOS,USD,2019-02-12,17.0,17.625,16.9799,17.2,17000,8098,17.33845
US50077B2079,68492173,KTOS,USD,2019-02-13,17.2,17.3799,16.89,16.95,10359,6094,17.04931
US50077B2079,68492173,KTOS,USD,2019-02-14,16.9,17.15,16.8357,16.95,10836,6092,17.03008
US50077B2079,68492173,KTOS,USD,2019-02-15,17.01,17.15,16.79,16.95,10735,6167,16.92543
US50077B2079,68492173,KTOS,USD,2019-02-19,17.0,17.87,17.0,17.78,15080,6966,17.61939
US50077B2079,68492173,KTOS,USD,2019-02-20,17.84,17.8571,17.29,17.66,8948,4667,17.56109
US50077B2079,68492173,KTOS,USD,2019-02-21,17.66,17.6701,17.39,17.62,6752,3638,17.54679
US50077B2079,68492173,KTOS,USD,2019-02-22,17.75,17.75,17.25,17.58,8845,4230,17.49164
US50077B2079,68492173,KTOS,USD,2019-02-25,17.6,17.75,17.45,17.45,8077,4585,17.58375
US50077B2079,68492173,KTOS,USD,2019-02-26,17.34,17.55,17.01,17.05,14179,8821,17.21758
US50077B2079,68492173,KTOS,USD,2019-02-27,17.05,17.65,16.84,17.3,12224,7130,17.04922
US50077B2079,68492173,KTOS,USD,2019-02-28,17.3999,17.4,15.0,16.5,17223,7933,17.1296
US50077B2079,68492173,KTOS,USD,2019-03-01,16.3,17.04,15.84,16.71,17284,8617,16.61411
US50077B2079,68492173,KTOS,USD,2019-03-04,16.75,17.05,16.38,16.5,12208,7077,16.55611
US50077B2079,68492173,KTOS,USD,2019-03-05,16.48,16.9,16.439,16.75,12086,6771,16.74796
US50077B2079,68492173,KTOS,USD,2019-03-06,16.75,17.3,16.54,16.62,13782,7203,16.75524
US50077B2079,68492173,KTOS,USD,2019-03-07,16.74,16.75,16.26,16.39,16583,4765,16.4285
US50077B2079,68492173,KTOS,USD,2019-03-08,16.39,16.39,16.1,16.28,8818,4782,16.24991
US50077B2079,68492173,KTOS,USD,2019-03-11,16.41,16.41,15.77,15.85,16485,8496,15.98571
US50077B2079,68492173,KTOS,USD,2019-03-12,15.86,16.1,15.85,15.88,8503,5194,15.97293
US50077B2079,68492173,KTOS,USD,2019-03-13,15.99,16.1,15.88,15.92,7270,4677,15.99623
US50077B2079,68492173,KTOS,USD,2019-03-14,15.93,16.03,15.71,15.84,6219,3511,15.86953
US50077B2079,68492173,KTOS,USD,2019-03-15,15.84,15.85,15.445,15.46,29560,5275,15.51333
US50077B2079,68492173,KTOS,USD,2019-03-18,15.43,15.82,15.41,15.79,8304,4738,15.72693
US50077B2079,68492173,KTOS,USD,2019-03-19,15.84,16.175,15.82,15.93,10604,6825,15.99648
US50077B2079,68492173,KTOS,USD,2019-03-20,15.88,16.3,15.88,16.2,17578,7840,16.12073
US50077B2079,68492173,KTOS,USD,2019-03-21,16.16,16.29,16.01,16.14,6193,3940,16.14137
US50077B2079,68492173,KTOS,USD,2019-03-22,16.06,16.14,15.4,15.4,8373,4862,15.74751
US50077B2079,68492173,KTOS,USD,2019-03-25,15.21,15.7,15.21,15.63,5510,3530,15.53594
US50077B2079,68492173,KTOS,USD,2019-03-26,15.73,15.7793,15.42,15.6,4954,2993,15.5736
US50077B2079,68492173,KTOS,USD,2019-03-27,15.58,15.64,15.01,15.1,7792,4398,15.17768
US50077B2079,68492173,KTOS,USD,2019-03-28,15.06,15.28,14.92,15.25,6640,4074,15.1453
US50077B2079,68492173,KTOS,USD,2019-03-29,16.0,16.0,15.31,15.63,11047,5784,15.5624
US50077B2079,68492173,KTOS,USD,2019-04-01,16.05,17.65,15.61,15.81,10599,6095,15.72336
US50077B2079,68492173,KTOS,USD,2019-04-02,15.85,15.93,15.68,15.78,8096,5034,15.77524
US50077B2079,68492173,KTOS,USD,2019-04-03,15.84,15.92,15.5,15.5,7615,3968,15.65249
US50077B2079,68492173,KTOS,USD,2019-04-04,15.51,15.57,15.06,15.23,8382,4700,15.25583
US50077B2079,68492173,KTOS,USD,2019-04-05,15.18,15.43,15.13,15.42,7778,3621,15.31152
US50077B2079,68492173,KTOS,USD,2019-04-08,15.34,15.42,15.14,15.36,5535,3230,15.26516
US50077B2079,68492173,KTOS,USD,2019-04-09,15.25,15.315,15.06,15.06,4584,3084,15.2376
US50077B2079,68492173,KTOS,USD,2019-04-10,15.055,15.17,14.96,15.03,8307,3507,15.02612
US50077B2079,68492173,KTOS,USD,2019-04-11,15.12,15.27,15.02,15.21,5605,2929,15.18099
US50077B2079,68492173,KTOS,USD,2019-04-12,15.33,15.36,15.17,15.28,5263,2879,15.26843
US50077B2079,68492173,KTOS,USD,2019-04-15,15.27,15.33,15.01,15.13,4711,2589,15.12236
US50077B2079,68492173,KTOS,USD,2019-04-16,15.21,15.3,15.01,15.08,5565,2937,15.12292
US50077B2079,68492173,KTOS,USD,2019-04-17,15.12,15.12,14.5,14.5,9247,4881,14.75397
US50077B2079,68492173,KTOS,USD,2019-04-18,14.55,14.8532,14.51,14.85,6260,3351,14.66196
US50077B2079,68492173,KTOS,USD,2019-04-22,14.61,14.63,14.48,14.63,4698,2468,14.56467
US50077B2079,68492173,KTOS,USD,2019-04-23,14.68,15.4,14.65,15.26,17591,4922,15.16731
US50077B2079,68492173,KTOS,USD,2019-04-24,15.32,15.46,15.16,15.34,6250,3124,15.33432
US50077B2079,68492173,KTOS,USD,2019-04-25,15.29,15.42,15.09,15.34,5093,3114,15.29727
US50077B2079,68492173,KTOS,USD,2019-04-26,15.33,16.02,15.2801,15.92,8965,4925,15.75369
US50077B2079,68492173,KTOS,USD,2019-04-29,16.09,16.09,15.86,15.91,4753,2424,15.9247
US50077B2079,68492173,KTOS,USD,2019-04-30,15.82,16.04,15.73,15.88,3868,2000,15.86326
