ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
US59100U1088,3655441,CASH,USD,2019-01-02,19.2,19.7,18.78,19.7,2008,1236,19.524
US59100U1088,3655441,CASH,USD,2019-01-03,19.41,19.91,19.08,19.64,2991,1431,19.618
US59100U1088,3655441,CASH,USD,2019-01-04,19.78,20.23,19.64,20.12,2196,1632,20.049
US59100U1088,3655441,CASH,USD,2019-01-07,20.09,20.59,19.9,20.35,2066,1031,20.39
US59100U1088,3655441,CASH,USD,2019-01-08,20.42,20.49,20.06,20.36,2733,1330,20.321
US59100U1088,3655441,CASH,USD,2019-01-09,20.35,21.19,20.35,20.81,3705,2065,20.818
US59100U1088,3655441,CASH,USD,2019-01-10,20.66,20.93,20.5,20.87,1378,976,20.771
US59100U1088,3655441,CASH,USD,2019-01-11,20.87,21.37,20.63,21.32,2103,1175,21.175
US59100U1088,3655441,CASH,USD,2019-01-14,21.11,21.5,20.96,21.24,1688,1070,21.278
US59100U1088,3655441,CASH,USD,2019-01-15,21.46,21.49,20.73,21.03,1170,771,20.976
US59100U1088,3655441,CASH,USD,2019-01-16,21.21,21.46,21.18,21.45,1094,731,21.37
US59100U1088,3655441,CASH,USD,2019-01-17,21.42,21.53,21.25,21.49,1568,761,21.46
US59100U1088,3655441,CASH,USD,2019-01-18,21.47,21.72,21.31,21.52,2459,1344,21.519
US59100U1088,3655441,CASH,USD,2019-01-22,21.39,21.54,21.17,21.32,1555,979,21.32
US59100U1088,3655441,CASH,USD,2019-01-23,21.45,21.65,21.26,21.51,1442,890,21.452
US59100U1088,3655441,CASH,USD,2019-01-24,21.5,22.06,21.38,21.85,1873,1317,21.873
US59100U1088,3655441,CASH,USD,2019-01-25,21.89,22.42,21.79,22.3,1721,1012,22.235
US59100U1088,3655441,CASH,USD,2019-01-28,22.32,22.77,22.01,22.5,3130,1938,22.43
US59100U1088,3655441,CASH,USD,2019-01-29,22.6,24.5,22.6,24.32,6564,4472,24.068
US59100U1088,3655441,CASH,USD,2019-01-30,24.33,24.4,23.39,23.88,2873,2231,23.874
US59100U1088,3655441,CASH,USD,2019-01-31,23.87,23.87,23.19,23.55,2702,2025,23.455
US59100U1088,3655441,CASH,USD,2019-02-01,23.59,23.8,23.29,23.66,1151,855,23.659
US59100U1088,3655441,CASH,USD,2019-02-04,23.63,24.02,23.28,24.01,1177,781,23.896
US59100U1088,3655441,CASH,USD,2019-02-05,24.03,24.29,23.72,23.74,1158,873,23.882
US59100U1088,3655441,CASH,USD,2019-02-06,23.73,24.1,23.6,24.02,958,686,23.937
US59100U1088,3655441,CASH,USD,2019-02-07,24.04,24.19,23.71,24.03,1033,717,23.953
US59100U1088,3655441,CASH,USD,2019-02-08,23.85,24.17,23.68,24.03,1280,989,23.93
US59100U1088,3655441,CASH,USD,2019-02-11,24.09,24.25,23.79,24.06,1202,790,24.043
US59100U1088,3655441,CASH,USD,2019-02-12,24.2,24.79,24.04,24.04,2195,1037,24.321
US59100U1088,3655441,CASH,USD,2019-02-13,24.07,24.33,24.04,24.23,859,622,24.193
US59100U1088,3655441,CASH,USD,2019-02-14,24.13,24.69,23.71,24.44,2813,1316,24.416
US59100U1088,3655441,CASH,USD,2019-02-15,24.54,25.05,23.6,24.96,1714,1142,24.917
US59100U1088,3655441,CASH,USD,2019-02-19,24.89,25.5,24.71,25.13,4740,3142,25.182
US59100U1088,3655441,CASH,USD,2019-02-20,25.17,25.61,24.93,25.49,4188,2496,25.239
US59100U1088,3655441,CASH,USD,2019-02-21,25.5,25.69,24.82,24.89,1328,867,25.0
US59100U1088,3655441,CASH,USD,2019-02-22,24.9,25.05,24.71,24.8,2775,1761,24.811
US59100U1088,3655441,CASH,USD,2019-02-25,24.88,25.14,24.15,24.3,3753,2741,24.547
US59100U1088,3655441,CASH,USD,2019-02-26,24.25,24.5,23.64,23.67,2859,1678,23.946
US59100U1088,3655441,CASH,USD,2019-02-27,23.68,24.19,23.51,23.89,4986,3536,23.737
US59100U1088,3655441,CASH,USD,2019-02-28,23.9,24.08,23.3,23.35,2346,1606,23.444
US59100U1088,3655441,CASH,USD,2019-03-01,23.45,23.45,21.54,22.6,6617,4507,22.209
US59100U1088,3655441,CASH,USD,2019-03-04,22.67,22.67,21.93,21.98,3471,2144,22.179
US59100U1088,3655441,CASH,USD,2019-03-05,21.99,21.99,21.47,21.62,2325,1732,21.609
US59100U1088,3655441,CASH,USD,2019-03-06,21.62,21.73,21.0,21.0,2827,1983,21.309
US59100U1088,3655441,CASH,USD,2019-03-07,20.96,20.96,20.14,20.17,5675,3435,20.394
US59100U1088,3655441,CASH,USD,2019-03-08,20.03,20.14,19.49,19.72,4664,2580,19.769
US59100U1088,3655441,CASH,USD,2019-03-11,19.73,20.01,19.38,19.69,3339,1798,19.623
US59100U1088,3655441,CASH,USD,2019-03-12,19.66,19.89,19.31,19.33,2760,1755,19.468
US59100U1088,3655441,CASH,USD,2019-03-13,19.38,19.82,19.21,19.68,3296,1250,19.604
US59100U1088,3655441,CASH,USD,2019-03-14,19.79,20.58,19.68,20.52,4360,2749,20.339
US59100U1088,3655441,CASH,USD,2019-03-15,20.53,20.61,19.84,20.05,3424,1467,20.146
US59100U1088,3655441,CASH,USD,2019-03-18,20.02,20.5,20.02,20.29,4640,2727,20.304
US59100U1088,3655441,CASH,USD,2019-03-19,20.36,20.51,20.23,20.39,4101,2758,20.387
US59100U1088,3655441,CASH,USD,2019-03-20,20.67,20.67,19.59,19.66,2820,2191,20.122
US59100U1088,3655441,CASH,USD,2019-03-21,19.6,20.72,19.48,19.58,3722,2560,19.685
US59100U1088,3655441,CASH,USD,2019-03-22,19.38,19.39,18.47,18.54,3490,2439,18.759
US59100U1088,3655441,CASH,USD,2019-03-25,18.53,18.56,17.84,18.24,3843,1427,18.195
US59100U1088,3655441,CASH,USD,2019-03-26,18.61,19.45,18.61,19.44,2975,2022,19.226
US59100U1088,3655441,CASH,USD,2019-03-27,19.44,19.68,18.9,19.5,1619,1256,19.496
US59100U1088,3655441,CASH,USD,2019-03-28,19.46,19.77,19.42,19.75,1331,1051,19.641
US59100U1088,3655441,CASH,USD,2019-03-29,19.9,20.08,19.36,19.64,2094,1215,19.693
US59100U1088,3655441,CASH,USD,2019-04-01,19.87,20.2,19.57,20.17,1924,1229,20.11
US59100U1088,3655441,CASH,USD,2019-04-02,20.1,20.56,20.1,20.33,3782,2484,20.368
US59100U1088,3655441,CASH,USD,2019-04-03,20.49,20.76,20.31,20.54,2210,1556,20.566
US59100U1088,3655441,CASH,USD,2019-04-04,20.51,21.08,20.51,20.94,2590,1680,20.941
US59100U1088,3655441,CASH,USD,2019-04-05,20.94,21.38,20.82,21.25,2348,878,21.209
US59100U1088,3655441,CASH,USD,2019-04-08,21.19,21.38,21.16,21.27,1582,752,21.267
US59100U1088,3655441,CASH,USD,2019-04-09,21.61,21.62,20.68,20.9,2150,1507,20.946
US59100U1088,3655441,CASH,USD,2019-04-10,20.88,21.16,20.75,20.91,1935,1086,20.955
US59100U1088,3655441,CASH,USD,2019-04-11,20.98,22.64,20.87,21.22,3395,1650,21.203
US59100U1088,3655441,CASH,USD,2019-04-12,21.4,21.87,21.32,21.85,1710,1086,21.677
US59100U1088,3655441,CASH,USD,2019-04-15,21.88,21.99,21.51,21.56,1221,858,21.701
US59100U1088,3655441,CASH,USD,2019-04-16,21.57,22.09,21.57,21.91,1498,868,21.914
US59100U1088,3655441,CASH,USD,2019-04-17,21.94,22.36,21.71,22.21,1740,965,22.143
US59100U1088,3655441,CASH,USD,2019-04-18,22.13,22.42,21.92,22.33,1306,923,22.276
US59100U1088,3655441,CASH,USD,2019-04-22,22.21,22.49,22.06,22.47,1660,1088,22.298
US59100U1088,3655441,CASH,USD,2019-04-23,22.58,22.85,22.39,22.77,1469,1060,22.665
US59100U1088,3655441,CASH,USD,2019-04-24,22.76,22.89,22.55,22.78,1039,738,22.744
US59100U1088,3655441,CASH,USD,2019-04-25,22.66,23.0,22.05,22.05,3961,1503,22.704
US59100U1088,3655441,CASH,USD,2019-04-26,24.03,26.46,23.15,26.04,8793,5366,25.409
US59100U1088,3655441,CASH,USD,2019-04-29,26.07,26.62,25.8,26.4,2917,2037,26.203
US59100U1088,3655441,CASH,USD,2019-04-30,26.43,26.45,25.76,25.76,1973,1083,25.893
US59100U1088,3655441,CASH,USD,2019-05-01,25.77,25.87,25.17,25.24,2892,1011,25.337
US59100U1088,3655441,CASH,USD,2019-05-02,25.13,25.66,25.06,25.27,960,730,25.274
US59100U1088,3655441,CASH,USD,2019-05-03,25.28,26.07,25.28,26.03,1152,835,25.893
US59100U1088,3655441,CASH,USD,2019-05-06,25.61,26.4,25.25,26.16,1541,1025,26.125
US59100U1088,3655441,CASH,USD,2019-05-07,25.84,26.03,25.61,25.93,1247,903,25.842
US59100U1088,3655441,CASH,USD,2019-05-08,25.78,26.0,25.38,25.38,1438,929,25.634
US59100U1088,3655441,CASH,USD,2019-05-09,25.18,26.23,25.11,26.16,1923,1370,25.887
US59100U1088,3655441,CASH,USD,2019-05-10,26.27,26.99,26.15,26.96,2421,1785,26.685
US59100U1088,3655441,CASH,USD,2019-05-13,26.44,26.69,26.12,26.15,2214,1803,26.41
US59100U1088,3655441,CASH,USD,2019-05-14,26.14,27.13,26.14,27.0,2025,1117,26.839
US59100U1088,3655441,CASH,USD,2019-05-15,27.0,27.0,26.33,26.44,2328,1934,26.559
US59100U1088,3655441,CASH,USD,2019-05-16,26.52,27.01,26.22,26.43,1798,1378,26.64
US59100U1088,3655441,CASH,USD,2019-05-17,26.15,26.71,26.15,26.29,1707,1183,26.495
US59100U1088,3655441,CASH,USD,2019-05-20,26.06,26.64,26.06,26.62,1427,972,26.555
US59100U1088,3655441,CASH,USD,2019-05-21,26.76,27.56,26.59,27.5,2067,1441,27.251
US59100U1088,3655441,CASH,USD,2019-05-22,27.36,27.69,27.11,27.64,1942,1446,27.481
US59100U1088,3655441,CASH,USD,2019-05-23,27.33,27.5,26.66,26.81,1900,1348,26.928
US59100U1088,3655441,CASH,USD,2019-05-24,26.8,27.53,26.67,27.5,1780,1000,27.197
US59100U1088,3655441,CASH,USD,2019-05-28,27.45,27.77,27.21,27.3,2681,1471,27.439
US59100U1088,3655441,CASH,USD,2019-05-29,27.03,27.06,26.27,26.99,2054,1404,26.749
US59100U1088,3655441,CASH,USD,2019-05-30,27.09,27.23,26.25,26.42,1485,985,26.519
US59100U1088,3655441,CASH,USD,2019-05-31,26.03,26.38,25.88,26.17,1101,736,26.153
US59100U1088,3655441,CASH,USD,2019-06-03,26.17,26.52,25.87,26.19,1885,1217,26.193
US59100U1088,3655441,CASH,USD,2019-06-04,26.52,27.43,26.43,27.35,2453,1600,27.091
US59100U1088,3655441,CASH,USD,2019-06-05,27.47,27.56,27.0,27.2,2350,1719,27.307
US59100U1088,3655441,CASH,USD,2019-06-06,27.12,27.45,26.89,27.18,2027,1538,27.155
