ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
US67066G1040,4815747,NVDA,USD,2019-01-02,3.25,3.462,3.2313,3.275,4214071,39656,3.389025
US67066G1040,4815747,NVDA,USD,2019-01-03,3.2875,3.379,3.192,3.192,5403435,57399,3.239275
US67066G1040,4815747,NVDA,USD,2019-01-04,3.2688,3.4433,3.2413,3.4075,4813393,52892,3.363725
US67066G1040,4815747,NVDA,USD,2019-01-07,3.4375,3.6222,3.4028,3.61,5755943,66651,3.545225
US67066G1040,4815747,NVDA,USD,2019-01-08,3.65,3.6925,3.4225,3.495,6472165,72307,3.498125
US67066G1040,4815747,NVDA,USD,2019-01-09,3.5125,3.6123,3.4928,3.575,5219963,54928,3.555925
US67066G1040,4815747,NVDA,USD,2019-01-10,3.525,3.6395,3.484,3.625,4474359,46750,3.589775
US67066G1040,4815747,NVDA,USD,2019-01-11,3.6403,3.7438,3.5803,3.7155,7667904,80633,3.6933
US67066G1040,4815747,NVDA,USD,2019-01-14,3.702,3.7913,3.6443,3.79,6318752,71446,3.740875
US67066G1040,4815747,NVDA,USD,2019-01-15,3.79,3.8337,3.7283,3.75,5423934,62542,3.779225
US67066G1040,4815747,NVDA,USD,2019-01-16,3.75,3.8075,3.7035,3.7035,3890701,44952,3.752875
US67066G1040,4815747,NVDA,USD,2019-01-17,3.7,3.8333,3.6603,3.8088,4119183,44176,3.751975
US67066G1040,4815747,NVDA,USD,2019-01-18,3.8283,3.9495,3.7913,3.925,5489764,57254,3.8947
US67066G1040,4815747,NVDA,USD,2019-01-22,3.9,3.9208,3.6888,3.7395,5546072,63094,3.760725
US67066G1040,4815747,NVDA,USD,2019-01-23,3.748,3.8645,3.7008,3.8,5020998,52434,3.766225
US67066G1040,4815747,NVDA,USD,2019-01-24,3.8125,3.9638,3.7775,3.8977,6129478,66510,3.9157
US67066G1040,4815747,NVDA,USD,2019-01-25,3.945,4.022,3.7825,4.0075,8024362,91400,3.918175
US67066G1040,4815747,NVDA,USD,2019-01-28,3.9975,4.0138,3.275,3.4275,22198554,239173,3.425225
US67066G1040,4815747,NVDA,USD,2019-01-29,3.425,3.4525,3.2753,3.345,9974006,105746,3.34205
US67066G1040,4815747,NVDA,USD,2019-01-30,3.35,3.4498,3.2865,3.4487,8448974,84575,3.3765
US67066G1040,4815747,NVDA,USD,2019-01-31,3.45,3.6298,3.4095,3.6112,7257790,79828,3.561725
US67066G1040,4815747,NVDA,USD,2019-02-01,3.6112,3.6697,3.5645,3.6213,5438986,51439,3.62895
US67066G1040,4815747,NVDA,USD,2019-02-04,3.6213,3.767,3.612,3.7097,4554729,45865,3.717875
US67066G1040,4815747,NVDA,USD,2019-02-05,3.7253,3.7858,3.7075,3.7443,4717002,48263,3.743875
US67066G1040,4815747,NVDA,USD,2019-02-06,3.7238,3.89,3.7028,3.81,6090869,60649,3.83665
US67066G1040,4815747,NVDA,USD,2019-02-07,3.8248,3.8345,3.6423,3.6625,5394434,54352,3.695775
US67066G1040,4815747,NVDA,USD,2019-02-08,3.6625,3.715,3.6025,3.705,3980544,43114,3.658575
US67066G1040,4815747,NVDA,USD,2019-02-11,3.6795,3.7163,3.6125,3.6623,4304160,48993,3.664875
US67066G1040,4815747,NVDA,USD,2019-02-12,3.7125,3.795,3.6703,3.79,5150570,55736,3.759
US67066G1040,4815747,NVDA,USD,2019-02-13,3.8158,3.8958,3.7815,3.82,5388143,59327,3.8407
US67066G1040,4815747,NVDA,USD,2019-02-14,3.8378,4.222,3.7775,4.0688,7062322,76643,3.912325
US67066G1040,4815747,NVDA,USD,2019-02-15,4.0498,4.121,3.9105,3.9315,13378741,143133,3.9767
US67066G1040,4815747,NVDA,USD,2019-02-19,3.925,3.9972,3.9003,3.925,4605300,48994,3.95715
US67066G1040,4815747,NVDA,USD,2019-02-20,3.91,4.0315,3.91,3.97,4592130,48367,3.989875
US67066G1040,4815747,NVDA,USD,2019-02-21,4.0,4.0013,3.8795,3.8875,3680537,38934,3.92545
US67066G1040,4815747,NVDA,USD,2019-02-22,3.9115,3.9987,3.9115,3.9922,3402344,35329,3.973625
US67066G1040,4815747,NVDA,USD,2019-02-25,4.0135,4.132,3.9585,3.9638,5642018,58734,4.0335
US67066G1040,4815747,NVDA,USD,2019-02-26,3.95,4.019,3.8938,3.9225,4195346,47313,3.94575
US67066G1040,4815747,NVDA,USD,2019-02-27,3.9128,3.9398,3.8278,3.895,4273876,47770,3.889725
US67066G1040,4815747,NVDA,USD,2019-02-28,3.8713,3.8975,3.834,3.865,2682307,31103,3.86365
US67066G1040,4815747,NVDA,USD,2019-03-01,3.8813,3.9538,3.848,3.9113,2920805,31426,3.908225
US67066G1040,4815747,NVDA,USD,2019-03-04,3.972,3.973,3.8625,3.915,3516593,37441,3.919
US67066G1040,4815747,NVDA,USD,2019-03-05,3.9273,3.9515,3.849,3.905,3051658,35327,3.910475
US67066G1040,4815747,NVDA,USD,2019-03-06,3.9008,3.9248,3.7875,3.7972,3272105,41500,3.840375
US67066G1040,4815747,NVDA,USD,2019-03-07,3.7783,3.8,3.685,3.7275,3921758,47135,3.73525
US67066G1040,4815747,NVDA,USD,2019-03-08,3.707,3.7788,3.62,3.775,3377208,39276,3.722475
US67066G1040,4815747,NVDA,USD,2019-03-11,3.7773,4.0515,3.6763,4.0475,7602626,79803,3.975875
US67066G1040,4815747,NVDA,USD,2019-03-12,4.0625,4.1098,3.9798,4.0763,5043692,57083,4.060875
US67066G1040,4815747,NVDA,USD,2019-03-13,4.0813,4.245,4.0728,4.2255,6725462,74558,4.200175
US67066G1040,4815747,NVDA,USD,2019-03-14,4.2438,4.247,4.1313,4.145,4598202,50655,4.178375
US67066G1040,4815747,NVDA,USD,2019-03-15,4.17,4.2883,4.1493,4.2612,5433218,56010,4.249125
US67066G1040,4815747,NVDA,USD,2019-03-18,4.2713,4.3313,4.1963,4.2438,4183648,43301,4.256675
US67066G1040,4815747,NVDA,USD,2019-03-19,4.267,4.4375,4.2343,4.3725,7460798,82572,4.38825
US67066G1040,4815747,NVDA,USD,2019-03-20,4.425,4.4758,4.325,4.3898,6315706,67924,4.382825
US67066G1040,4815747,NVDA,USD,2019-03-21,4.39,4.625,4.34,4.5945,6996892,75823,4.534675
US67066G1040,4815747,NVDA,USD,2019-03-22,4.6123,4.625,4.4235,4.4405,6672476,66777,4.492975
US67066G1040,4815747,NVDA,USD,2019-03-25,4.4,4.4613,4.2778,4.3465,4574158,50544,4.33925
US67066G1040,4815747,NVDA,USD,2019-03-26,4.3765,4.5438,4.3553,4.4125,6154161,65676,4.453275
US67066G1040,4815747,NVDA,USD,2019-03-27,4.445,4.4943,4.3425,4.3963,4188876,44039,4.403725
US67066G1040,4815747,NVDA,USD,2019-03-28,4.4125,4.4975,4.3778,4.4475,4008766,41614,4.436975
US67066G1040,4815747,NVDA,USD,2019-03-29,4.4625,4.5135,4.4478,4.4975,4001782,37994,4.47865
US67066G1040,4815747,NVDA,USD,2019-04-01,4.5325,4.5875,4.489,4.5565,4267494,41653,4.55255
US67066G1040,4815747,NVDA,USD,2019-04-02,4.5788,4.6198,4.538,4.575,3845186,41323,4.575575
US67066G1040,4815747,NVDA,USD,2019-04-03,4.5925,4.775,4.5925,4.733,6651136,77459,4.717475
US67066G1040,4815747,NVDA,USD,2019-04-04,4.723,4.7493,4.6433,4.7065,3753424,42673,4.697375
US67066G1040,4815747,NVDA,USD,2019-04-05,4.733,4.7913,4.7133,4.776,4008288,39852,4.761175
US67066G1040,4815747,NVDA,USD,2019-04-08,4.7738,4.82,4.7188,4.7995,3705536,35158,4.769925
US67066G1040,4815747,NVDA,USD,2019-04-09,4.7818,4.8065,4.689,4.725,3787716,39288,4.7271
US67066G1040,4815747,NVDA,USD,2019-04-10,4.7315,4.8285,4.7228,4.8095,3789205,38089,4.792375
US67066G1040,4815747,NVDA,USD,2019-04-11,4.7973,4.8368,4.7388,4.7885,3207461,33763,4.7889
US67066G1040,4815747,NVDA,USD,2019-04-12,4.735,4.8368,4.735,4.7395,3358950,32222,4.772425
US67066G1040,4815747,NVDA,USD,2019-04-15,4.7443,4.7625,4.5775,4.6108,3570031,41487,4.628425
US67066G1040,4815747,NVDA,USD,2019-04-16,4.6475,4.7243,4.624,4.701,3267136,35555,4.686825
US67066G1040,4815747,NVDA,USD,2019-04-17,4.7075,4.7615,4.6598,4.665,2570039,30099,4.704075
US67066G1040,4815747,NVDA,USD,2019-04-18,4.6525,4.7233,4.6295,4.655,2918683,29302,4.667025
US67066G1040,4815747,NVDA,USD,2019-04-22,4.65,4.7275,4.602,4.7023,2366708,24811,4.684975
US67066G1040,4815747,NVDA,USD,2019-04-23,4.7138,4.7983,4.7138,4.7525,2658797,30276,4.77335
US67066G1040,4815747,NVDA,USD,2019-04-24,4.762,4.8203,4.716,4.7678,2569308,30193,4.77595
US67066G1040,4815747,NVDA,USD,2019-04-25,4.7625,4.7738,4.525,4.555,4075890,47365,4.6635
US67066G1040,4815747,NVDA,USD,2019-04-26,4.5588,4.575,4.3325,4.445,7409331,91056,4.421475
US67066G1040,4815747,NVDA,USD,2019-04-29,4.4868,4.5112,4.3875,4.4413,3380949,35929,4.465325
US67066G1040,4815747,NVDA,USD,2019-04-30,4.445,4.5833,4.4315,4.575,3132491,40774,4.5106
US67066G1040,4815747,NVDA,USD,2019-05-01,4.6075,4.6203,4.491,4.4968,2990818,33904,4.569525
US67066G1040,4815747,NVDA,USD,2019-05-02,4.525,4.6218,4.4778,4.5415,3300256,41684,4.56485
US67066G1040,4815747,NVDA,USD,2019-05-03,4.5875,4.5983,4.5133,4.5793,2792182,34163,4.56265
US67066G1040,4815747,NVDA,USD,2019-05-06,4.46,4.5085,4.3013,4.4673,3519996,40189,4.449675
US67066G1040,4815747,NVDA,USD,2019-05-07,4.4715,4.475,4.2792,4.31,4476793,59038,4.350725
US67066G1040,4815747,NVDA,USD,2019-05-08,4.3748,4.4288,4.2565,4.3508,3475001,38912,4.3792
US67066G1040,4815747,NVDA,USD,2019-05-09,4.302,4.304,4.135,4.2502,5159276,63021,4.220575
US67066G1040,4815747,NVDA,USD,2019-05-10,4.25,4.2898,4.1,4.2275,4482716,58229,4.192125
US67066G1040,4815747,NVDA,USD,2019-05-13,4.1113,4.14,3.9438,3.9438,5050558,67309,4.0183
US67066G1040,4815747,NVDA,USD,2019-05-14,4.0065,4.0865,3.9623,4.062,4022173,51394,4.04025
US67066G1040,4815747,NVDA,USD,2019-05-15,4.0553,4.0725,3.9353,3.98,4158648,55875,3.99505
US67066G1040,4815747,NVDA,USD,2019-05-16,3.9775,4.2995,3.9413,4.0848,6487912,75375,4.037675
US67066G1040,4815747,NVDA,USD,2019-05-17,4.0888,4.105,3.8735,3.925,8860126,105821,3.992075
US67066G1040,4815747,NVDA,USD,2019-05-20,3.9188,3.923,3.7688,3.8078,4874312,59492,3.813625
US67066G1040,4815747,NVDA,USD,2019-05-21,3.841,3.8925,3.816,3.8768,3054129,32248,3.864075
