ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
US70465T1079,357194949,PDSB,USD,2019-01-02,6.4,7.5,5.904,7.2,140,399,6.8814
US70465T1079,357194949,PDSB,USD,2019-01-03,7.6,7.6,6.6,6.8,92,554,7.016
US70465T1079,357194949,PDSB,USD,2019-01-04,6.844,7.5,6.844,7.1,256,733,7.2838
US70465T1079,357194949,PDSB,USD,2019-01-07,7.1,10.8,7.1,9.802,1443,1821,9.1572
US70465T1079,357194949,PDSB,USD,2019-01-08,10.2,10.2,8.16,8.866,501,956,8.859
US70465T1079,357194949,PDSB,USD,2019-01-09,8.444,9.0,7.0,8.0,239,624,7.966
US70465T1079,357194949,PDSB,USD,2019-01-10,7.0,9.4,7.0,8.4,287,634,8.4854
US70465T1079,357194949,PDSB,USD,2019-01-11,8.02,8.584,8.006,8.584,184,356,8.2098
US70465T1079,357194949,PDSB,USD,2019-01-14,7.56,8.498,7.32,7.612,132,323,7.7604
US70465T1079,357194949,PDSB,USD,2019-01-15,7.546,7.86,7.32,7.806,96,353,7.617
US70465T1079,357194949,PDSB,USD,2019-01-16,7.414,8.18,7.414,7.9,115,199,7.851
US70465T1079,357194949,PDSB,USD,2019-01-17,7.928,8.402,7.806,8.0,119,210,8.031
US70465T1079,357194949,PDSB,USD,2019-01-18,7.812,8.398,7.52,8.042,77,130,7.9654
US70465T1079,357194949,PDSB,USD,2019-01-22,8.028,8.05,7.402,7.6,105,276,7.7344
US70465T1079,357194949,PDSB,USD,2019-01-23,7.596,8.0,7.438,7.728,96,140,7.742
US70465T1079,357194949,PDSB,USD,2019-01-24,7.6,7.948,7.6,7.93,92,151,7.795
US70465T1079,357194949,PDSB,USD,2019-01-25,8.0,8.68,7.9,8.22,174,433,8.342
US70465T1079,357194949,PDSB,USD,2019-01-28,8.8,8.8,7.84,8.396,88,380,8.2796
US70465T1079,357194949,PDSB,USD,2019-01-29,8.8,8.8,7.84,8.2,44,210,8.212
US70465T1079,357194949,PDSB,USD,2019-01-30,8.306,8.68,8.04,8.22,165,298,8.542
US70465T1079,357194949,PDSB,USD,2019-01-31,8.8,8.86,8.1,8.8,207,300,8.649
US70465T1079,357194949,PDSB,USD,2019-02-01,9.048,9.11,8.4,8.8,206,228,8.8246
US70465T1079,357194949,PDSB,USD,2019-02-04,8.6,10.36,8.6,10.334,833,1778,9.8914
US70465T1079,357194949,PDSB,USD,2019-02-05,10.4,10.4,8.9,9.37,208,483,9.2814
US70465T1079,357194949,PDSB,USD,2019-02-06,9.124,9.44,9.0,9.0,44,71,9.0344
US70465T1079,357194949,PDSB,USD,2019-02-07,9.0,9.4,8.54,9.038,93,201,8.9288
US70465T1079,357194949,PDSB,USD,2019-02-08,8.748,9.002,8.678,8.678,35,112,8.7632
US70465T1079,357194949,PDSB,USD,2019-02-11,8.96,9.0,8.192,8.438,96,250,8.4582
US70465T1079,357194949,PDSB,USD,2019-02-12,8.858,8.858,7.4,7.8,359,1414,7.6722
US70465T1079,357194949,PDSB,USD,2019-02-13,7.848,8.3,7.462,8.22,144,166,7.841
US70465T1079,357194949,PDSB,USD,2019-02-14,8.044,8.14,7.642,8.0,38,109,7.8868
