ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
US71424F1057,583257697,PR,USD,2019-01-02,10.7,11.5,10.53,11.3,30961,15598,11.18153
US71424F1057,583257697,PR,USD,2019-01-03,11.28,11.76,11.07,11.28,25436,15501,11.41281
US71424F1057,583257697,PR,USD,2019-01-04,11.5,11.88,11.36,11.81,34692,17431,11.73572
US71424F1057,583257697,PR,USD,2019-01-07,11.85,12.74,11.67,12.58,37782,23067,12.47504
US71424F1057,583257697,PR,USD,2019-01-08,12.75,12.95,12.41,12.89,37198,21984,12.78962
US71424F1057,583257697,PR,USD,2019-01-09,13.07,13.3,12.73,13.22,31256,19892,13.10913
US71424F1057,583257697,PR,USD,2019-01-10,13.1,13.41,13.03,13.21,34298,19278,13.18694
US71424F1057,583257697,PR,USD,2019-01-11,13.1,13.16,12.77,13.03,26485,15752,12.96695
US71424F1057,583257697,PR,USD,2019-01-14,12.86,13.57,12.8,13.3,30644,19059,13.32181
US71424F1057,583257697,PR,USD,2019-01-15,13.38,13.56,13.22,13.5,40482,17232,13.41993
US71424F1057,583257697,PR,USD,2019-01-16,13.27,13.92,13.11,13.76,31424,19355,13.64406
US71424F1057,583257697,PR,USD,2019-01-17,13.61,14.01,13.42,13.91,22703,13875,13.77719
US71424F1057,583257697,PR,USD,2019-01-18,14.0,14.21,13.77,14.2,23506,12370,14.07169
US71424F1057,583257697,PR,USD,2019-01-22,14.07,14.09,13.1,13.19,24999,15316,13.4245
US71424F1057,583257697,PR,USD,2019-01-23,13.31,13.42,12.84,12.94,23438,13487,13.00538
US71424F1057,583257697,PR,USD,2019-01-24,12.9,13.01,12.7,12.79,21203,13286,12.81863
US71424F1057,583257697,PR,USD,2019-01-25,12.79,13.27,12.79,13.07,22411,12790,13.05954
US71424F1057,583257697,PR,USD,2019-01-28,12.82,13.19,12.5,12.92,25362,11809,12.83201
US71424F1057,583257697,PR,USD,2019-01-29,13.04,13.2,12.86,13.0,17255,11314,13.06404
US71424F1057,583257697,PR,USD,2019-01-30,13.07,13.47,12.98,13.46,15921,9734,13.27376
US71424F1057,583257697,PR,USD,2019-01-31,13.52,13.67,13.06,13.17,18801,10188,13.40025
US71424F1057,583257697,PR,USD,2019-02-01,13.29,13.38,13.06,13.32,12296,7787,13.26145
US71424F1057,583257697,PR,USD,2019-02-04,13.18,13.36,12.95,13.33,13832,9244,13.13479
US71424F1057,583257697,PR,USD,2019-02-05,13.37,13.43,12.88,12.9,18661,9859,13.05457
US71424F1057,583257697,PR,USD,2019-02-06,12.8,13.17,12.66,12.86,17874,10364,12.93712
US71424F1057,583257697,PR,USD,2019-02-07,12.78,12.78,12.15,12.46,30579,13356,12.37223
US71424F1057,583257697,PR,USD,2019-02-08,12.47,12.54,11.98,12.26,24203,12394,12.20525
US71424F1057,583257697,PR,USD,2019-02-11,12.16,12.41,11.97,12.33,33671,19850,12.20525
US71424F1057,583257697,PR,USD,2019-02-12,12.56,12.8,12.27,12.33,27812,15966,12.46336
US71424F1057,583257697,PR,USD,2019-02-13,12.41,12.73,12.13,12.3,26801,16110,12.3985
US71424F1057,583257697,PR,USD,2019-02-14,12.5,12.85,12.2,12.55,24420,13626,12.54729
US71424F1057,583257697,PR,USD,2019-02-15,12.69,13.02,12.62,12.98,22679,13262,12.91018
US71424F1057,583257697,PR,USD,2019-02-19,12.96,13.21,12.84,12.9,13833,8820,12.97519
US71424F1057,583257697,PR,USD,2019-02-20,12.86,13.15,12.76,13.1,14606,9070,13.01752
US71424F1057,583257697,PR,USD,2019-02-21,13.02,13.08,12.24,12.35,22884,14225,12.57946
US71424F1057,583257697,PR,USD,2019-02-22,12.48,12.7,12.41,12.55,21908,13068,12.54762
US71424F1057,583257697,PR,USD,2019-02-25,12.42,12.83,12.35,12.73,35460,18367,12.64549
US71424F1057,583257697,PR,USD,2019-02-26,11.74,11.74,9.76,10.15,161124,57905,10.12323
US71424F1057,583257697,PR,USD,2019-02-27,10.05,10.2,9.55,9.66,82347,32755,9.8146
US71424F1057,583257697,PR,USD,2019-02-28,9.7,9.75,9.06,9.1,79927,32641,9.22382
US71424F1057,583257697,PR,USD,2019-03-01,9.14,9.3,9.04,9.27,62414,30088,9.20459
US71424F1057,583257697,PR,USD,2019-03-04,9.35,9.49,9.0,9.3,43295,19968,9.20198
US71424F1057,583257697,PR,USD,2019-03-05,9.31,9.42,9.04,9.11,31857,16464,9.16377
US71424F1057,583257697,PR,USD,2019-03-06,9.11,9.13,8.7,8.71,27784,14164,8.84192
