ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
US73328P1066,56856723,POAHY,USD,2019-01-02,5.68,5.79,5.66,5.775,1188,80,5.7362
US73328P1066,56856723,POAHY,USD,2019-01-03,5.68,5.73,5.64,5.7,970,93,5.68426
US73328P1066,56856723,POAHY,USD,2019-01-04,5.86,6.0,5.8525,5.985,1008,60,5.95639
US73328P1066,56856723,POAHY,USD,2019-01-07,6.06,6.09,6.03,6.05,826,58,6.05734
US73328P1066,56856723,POAHY,USD,2019-01-08,6.24,6.245,6.13,6.175,1699,139,6.15443
US73328P1066,56856723,POAHY,USD,2019-01-09,6.41,6.41,6.32,6.4,987,57,6.37436
US73328P1066,56856723,POAHY,USD,2019-01-10,6.3225,6.38,6.315,6.38,566,40,6.3474
US73328P1066,56856723,POAHY,USD,2019-01-11,6.25,6.29,6.23,6.27,683,37,6.26356
US73328P1066,56856723,POAHY,USD,2019-01-14,6.258,6.31,6.24,6.26,712,53,6.26952
US73328P1066,56856723,POAHY,USD,2019-01-15,6.26,6.33,6.26,6.29,517,78,6.28003
US73328P1066,56856723,POAHY,USD,2019-01-16,6.27,6.35,6.27,6.31,803,119,6.29508
US73328P1066,56856723,POAHY,USD,2019-01-17,6.23,6.29,6.21,6.265,995,131,6.2425
US73328P1066,56856723,POAHY,USD,2019-01-18,6.38,6.38,6.31,6.345,879,54,6.33414
US73328P1066,56856723,POAHY,USD,2019-01-22,6.13,6.21,6.1,6.135,434,51,6.14244
US73328P1066,56856723,POAHY,USD,2019-01-23,6.126,6.14,6.09,6.12,806,69,6.11918
US73328P1066,56856723,POAHY,USD,2019-01-24,6.13,6.2025,6.13,6.19,533,48,6.16588
US73328P1066,56856723,POAHY,USD,2019-01-25,6.48,6.55,6.47,6.52,892,73,6.51641
US73328P1066,56856723,POAHY,USD,2019-01-28,6.53,6.58,6.52,6.55,1500,77,6.54843
US73328P1066,56856723,POAHY,USD,2019-01-29,6.52,6.52,6.45,6.48,439,21,6.49526
US73328P1066,56856723,POAHY,USD,2019-01-30,6.4,6.47,6.36,6.455,222,30,6.41327
US73328P1066,56856723,POAHY,USD,2019-01-31,6.37,6.48,6.35,6.44,433,109,6.44643
US73328P1066,56856723,POAHY,USD,2019-02-01,6.5,6.6,6.47,6.53,473,33,6.52588
US73328P1066,56856723,POAHY,USD,2019-02-04,6.42,6.5,6.4125,6.495,277,30,6.43401
US73328P1066,56856723,POAHY,USD,2019-02-05,6.5,6.53,6.48,6.5,580,110,6.50431
US73328P1066,56856723,POAHY,USD,2019-02-06,6.51,6.545,6.49,6.51,1008,63,6.50084
US73328P1066,56856723,POAHY,USD,2019-02-07,6.26,6.26,6.2,6.2,777,54,6.22241
US73328P1066,56856723,POAHY,USD,2019-02-08,6.11,6.14,6.06,6.135,428,31,6.10464
US73328P1066,56856723,POAHY,USD,2019-02-11,6.0998,6.12,6.04,6.04,748,39,6.06952
US73328P1066,56856723,POAHY,USD,2019-02-12,6.15,6.23,6.15,6.215,691,59,6.20841
US73328P1066,56856723,POAHY,USD,2019-02-13,6.225,6.26,6.18,6.215,479,40,6.21334
US73328P1066,56856723,POAHY,USD,2019-02-14,6.15,6.19,6.12,6.14,632,44,6.15806
US73328P1066,56856723,POAHY,USD,2019-02-15,6.29,6.32,6.25,6.305,585,44,6.2806
US73328P1066,56856723,POAHY,USD,2019-02-19,6.16,6.28,6.16,6.25,606,45,6.25421
US73328P1066,56856723,POAHY,USD,2019-02-20,6.4,6.49,6.4,6.45,656,39,6.432
US73328P1066,56856723,POAHY,USD,2019-02-21,6.42,6.43,6.39,6.405,828,75,6.41331
US73328P1066,56856723,POAHY,USD,2019-02-22,6.42,6.45,6.41,6.44,497,56,6.41954
US73328P1066,56856723,POAHY,USD,2019-02-25,6.62,6.64,6.59,6.605,1070,47,6.6208
US73328P1066,56856723,POAHY,USD,2019-02-26,6.6,6.65,6.58,6.635,444,44,6.62562
US73328P1066,56856723,POAHY,USD,2019-02-27,6.62,6.66,6.59,6.635,267,35,6.63328
US73328P1066,56856723,POAHY,USD,2019-02-28,6.61,6.65,6.6,6.61,521,37,6.62483
US73328P1066,56856723,POAHY,USD,2019-03-01,6.77,6.8,6.74,6.76,198,36,6.76701
US73328P1066,56856723,POAHY,USD,2019-03-04,6.75,6.77,6.65,6.68,305,61,6.68983
US73328P1066,56856723,POAHY,USD,2019-03-05,6.67,6.69,6.66,6.66,756,77,6.66478
US73328P1066,56856723,POAHY,USD,2019-03-06,6.63,6.65,6.59,6.605,428,50,6.61746
US73328P1066,56856723,POAHY,USD,2019-03-07,6.49,6.49,6.39,6.41,483,53,6.43509
US73328P1066,56856723,POAHY,USD,2019-03-08,6.31,6.38,6.31,6.34,394,37,6.33437
US73328P1066,56856723,POAHY,USD,2019-03-11,6.37,6.44,6.36,6.42,265,33,6.39247
US73328P1066,56856723,POAHY,USD,2019-03-12,6.37,6.37,6.27,6.305,571,48,6.3028
US73328P1066,56856723,POAHY,USD,2019-03-13,6.32,6.35,6.3,6.325,335,35,6.32493
US73328P1066,56856723,POAHY,USD,2019-03-14,6.34,6.35,6.25,6.28,986,69,6.28981
US73328P1066,56856723,POAHY,USD,2019-03-15,6.296,6.31,6.25,6.29,703,42,6.29053
US73328P1066,56856723,POAHY,USD,2019-03-18,6.27,6.29,6.24,6.27,979,66,6.2541
US73328P1066,56856723,POAHY,USD,2019-03-19,6.57,6.5702,6.461,6.49,855,52,6.5059
US73328P1066,56856723,POAHY,USD,2019-03-20,6.39,6.49,6.3698,6.455,578,48,6.38916
US73328P1066,56856723,POAHY,USD,2019-03-21,6.36,6.415,6.36,6.415,228,25,6.38885
US73328P1066,56856723,POAHY,USD,2019-03-22,6.25,6.25,6.16,6.175,589,53,6.20235
US73328P1066,56856723,POAHY,USD,2019-03-25,6.2,6.26,6.19,6.235,470,55,6.22178
US73328P1066,56856723,POAHY,USD,2019-03-26,6.185,6.2,6.12,6.145,614,77,6.14853
US73328P1066,56856723,POAHY,USD,2019-03-27,6.2,6.2,6.11,6.175,366,52,6.16995
US73328P1066,56856723,POAHY,USD,2019-03-28,6.16,6.17,6.09,6.12,1172,64,6.11709
US73328P1066,56856723,POAHY,USD,2019-03-29,6.22,6.26,6.17,6.24,343,39,6.22515
US73328P1066,56856723,POAHY,USD,2019-04-01,6.38,6.46,6.34,6.46,508,44,6.38332
US73328P1066,56856723,POAHY,USD,2019-04-02,6.5,6.56,6.47,6.52,545,52,6.52002
US73328P1066,56856723,POAHY,USD,2019-04-03,6.62,6.64,6.58,6.605,598,84,6.61627
US73328P1066,56856723,POAHY,USD,2019-04-04,6.6575,6.69,6.62,6.645,553,47,6.65181
US73328P1066,56856723,POAHY,USD,2019-04-05,6.59,6.62,6.47,6.47,671,78,6.56084
US73328P1066,56856723,POAHY,USD,2019-04-08,6.69,6.7,6.65,6.665,611,66,6.66437
US73328P1066,56856723,POAHY,USD,2019-04-09,6.61,6.61,6.54,6.55,325,45,6.56951
US73328P1066,56856723,POAHY,USD,2019-04-10,6.51,6.57,6.5,6.555,418,26,6.54405
US73328P1066,56856723,POAHY,USD,2019-04-11,6.59,6.61,6.57,6.595,343,35,6.5865
US73328P1066,56856723,POAHY,USD,2019-04-12,6.78,6.82,6.75,6.76,1420,120,6.77141
US73328P1066,56856723,POAHY,USD,2019-04-15,6.84,6.852,6.8,6.8,512,40,6.82777
US73328P1066,56856723,POAHY,USD,2019-04-16,6.97,6.98,6.91,6.91,459,40,6.95301
US73328P1066,56856723,POAHY,USD,2019-04-17,7.2,7.205,7.1,7.15,1195,240,7.1586
US73328P1066,56856723,POAHY,USD,2019-04-18,7.18,7.23,7.18,7.21,550,38,7.2127
US73328P1066,56856723,POAHY,USD,2019-04-22,7.25,7.29,7.2,7.274,497,108,7.26079
US73328P1066,56856723,POAHY,USD,2019-04-23,7.08,7.1,7.04,7.1,584,46,7.06674
US73328P1066,56856723,POAHY,USD,2019-04-24,6.97,7.0,6.92,6.955,494,40,6.95384
US73328P1066,56856723,POAHY,USD,2019-04-25,6.83,6.89,6.82,6.89,629,41,6.85944
US73328P1066,56856723,POAHY,USD,2019-04-26,6.82,6.89,6.82,6.865,223,28,6.85965
US73328P1066,56856723,POAHY,USD,2019-04-29,6.86,6.92,6.85,6.91,299,32,6.90905
US73328P1066,56856723,POAHY,USD,2019-04-30,6.9,6.94,6.845,6.91,487,34,6.89105
US73328P1066,56856723,POAHY,USD,2019-05-01,6.92,6.92,6.805,6.805,258,18,6.88275
US73328P1066,56856723,POAHY,USD,2019-05-02,7.2,7.215,7.12,7.15,1531,82,7.14734
US73328P1066,56856723,POAHY,USD,2019-05-03,7.13,7.17,7.1,7.15,313,27,7.14496
US73328P1066,56856723,POAHY,USD,2019-05-06,6.89,7.06,6.89,7.04,1651,58,7.04148
US73328P1066,56856723,POAHY,USD,2019-05-07,6.8,6.8,6.7,6.7,459,83,6.76087
US73328P1066,56856723,POAHY,USD,2019-05-08,6.76,6.89,6.75,6.83,692,50,6.8363
US73328P1066,56856723,POAHY,USD,2019-05-09,6.655,6.8,6.65,6.8,772,63,6.73958
US73328P1066,56856723,POAHY,USD,2019-05-10,6.65,6.77,6.59,6.735,382,35,6.71613
US73328P1066,56856723,POAHY,USD,2019-05-13,6.45,6.52,6.4199,6.49,731,71,6.47047
US73328P1066,56856723,POAHY,USD,2019-05-14,6.53,6.59,6.49,6.555,685,67,6.56672
US73328P1066,56856723,POAHY,USD,2019-05-15,6.476,6.84,6.476,6.79,711,64,6.77991
US73328P1066,56856723,POAHY,USD,2019-05-16,6.64,6.71,6.63,6.67,1035,65,6.68443
US73328P1066,56856723,POAHY,USD,2019-05-17,6.64,6.64,6.55,6.55,437,52,6.59914
US73328P1066,56856723,POAHY,USD,2019-05-20,6.4175,6.47,6.4,6.45,731,82,6.43937
