ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
US74834L1008,2459465,DGX,USD,2019-01-02,82.25,82.87,81.12,82.17,12865,8859,82.119
US74834L1008,2459465,DGX,USD,2019-01-03,81.02,81.78,79.93,80.68,11409,8119,80.822
US74834L1008,2459465,DGX,USD,2019-01-04,80.68,83.13,80.68,82.71,13836,6742,82.544
US74834L1008,2459465,DGX,USD,2019-01-07,82.97,83.81,81.96,82.65,14791,8850,82.778
US74834L1008,2459465,DGX,USD,2019-01-08,83.27,84.23,82.71,84.23,11074,6985,83.685
US74834L1008,2459465,DGX,USD,2019-01-09,84.71,85.55,84.32,84.43,9903,6451,84.802
US74834L1008,2459465,DGX,USD,2019-01-10,83.95,84.9,83.93,84.73,7245,4477,84.461
US74834L1008,2459465,DGX,USD,2019-01-11,84.25,85.13,84.11,85.03,9275,6294,84.546
US74834L1008,2459465,DGX,USD,2019-01-14,84.21,84.51,83.22,83.48,11312,7221,83.682
US74834L1008,2459465,DGX,USD,2019-01-15,83.77,85.06,83.38,85.03,8146,5104,84.623
US74834L1008,2459465,DGX,USD,2019-01-16,85.03,85.13,84.2,84.27,8255,5560,84.603
US74834L1008,2459465,DGX,USD,2019-01-17,84.25,85.19,83.96,85.1,7601,5871,84.761
US74834L1008,2459465,DGX,USD,2019-01-18,85.73,87.33,85.68,87.04,16343,6635,86.892
US74834L1008,2459465,DGX,USD,2019-01-22,86.71,86.71,85.68,86.18,9252,4910,86.139
US74834L1008,2459465,DGX,USD,2019-01-23,86.36,87.04,85.15,86.31,9181,5955,86.047
US74834L1008,2459465,DGX,USD,2019-01-24,86.37,86.63,85.3,85.6,8744,5954,85.818
US74834L1008,2459465,DGX,USD,2019-01-25,86.33,86.52,85.04,85.41,10091,5863,85.565
US74834L1008,2459465,DGX,USD,2019-01-28,85.03,86.13,84.5,85.49,7240,4621,85.336
US74834L1008,2459465,DGX,USD,2019-01-29,85.82,86.27,85.01,86.15,7147,4265,85.898
US74834L1008,2459465,DGX,USD,2019-01-30,86.26,87.25,85.87,86.92,7743,4613,86.701
US74834L1008,2459465,DGX,USD,2019-01-31,86.59,87.58,85.0,87.42,9392,6102,87.085
US74834L1008,2459465,DGX,USD,2019-02-01,87.42,87.75,86.47,87.68,7415,4953,87.428
US74834L1008,2459465,DGX,USD,2019-02-04,87.69,88.13,87.16,87.93,5744,3181,87.806
US74834L1008,2459465,DGX,USD,2019-02-05,88.18,88.7,87.29,87.49,9967,5949,87.698
US74834L1008,2459465,DGX,USD,2019-02-06,87.48,88.22,87.19,87.66,9190,5285,87.686
US74834L1008,2459465,DGX,USD,2019-02-07,88.0,89.74,87.98,89.74,14008,6447,89.304
US74834L1008,2459465,DGX,USD,2019-02-08,89.51,89.72,87.49,89.09,8821,5393,88.739
US74834L1008,2459465,DGX,USD,2019-02-11,88.97,89.23,88.2,88.25,11940,6776,88.496
US74834L1008,2459465,DGX,USD,2019-02-12,88.58,89.83,88.22,89.26,9052,5803,89.345
US74834L1008,2459465,DGX,USD,2019-02-13,89.66,90.2,88.87,90.2,12283,6502,89.604
US74834L1008,2459465,DGX,USD,2019-02-14,90.0,90.0,84.15,85.5,32338,18877,85.707
US74834L1008,2459465,DGX,USD,2019-02-15,86.04,88.05,85.21,87.81,18279,11105,87.324
US74834L1008,2459465,DGX,USD,2019-02-19,87.81,89.5,87.27,88.05,19772,8970,88.303
US74834L1008,2459465,DGX,USD,2019-02-20,87.84,89.44,87.37,88.94,13668,6627,88.85
US74834L1008,2459465,DGX,USD,2019-02-21,88.93,89.12,87.35,87.81,8779,5297,87.816
US74834L1008,2459465,DGX,USD,2019-02-22,87.86,88.22,87.26,87.8,8098,4117,87.823
US74834L1008,2459465,DGX,USD,2019-02-25,88.22,88.54,87.15,87.19,7389,4432,87.477
US74834L1008,2459465,DGX,USD,2019-02-26,87.06,87.34,86.13,86.94,13153,8755,86.86
US74834L1008,2459465,DGX,USD,2019-02-27,86.51,86.55,85.73,86.05,15764,8592,86.147
US74834L1008,2459465,DGX,USD,2019-02-28,86.05,86.99,86.03,86.55,9573,5405,86.598
US74834L1008,2459465,DGX,USD,2019-03-01,87.18,87.69,86.03,86.41,6986,4581,86.441
US74834L1008,2459465,DGX,USD,2019-03-04,86.81,86.82,85.01,85.72,12048,7246,85.674
US74834L1008,2459465,DGX,USD,2019-03-05,85.88,85.93,84.94,85.1,11430,5493,85.276
US74834L1008,2459465,DGX,USD,2019-03-06,85.06,85.2,83.09,83.34,12481,8017,83.584
US74834L1008,2459465,DGX,USD,2019-03-07,83.44,83.96,82.59,83.23,14140,6589,83.173
US74834L1008,2459465,DGX,USD,2019-03-08,83.23,84.77,82.71,84.77,17904,12761,83.836
US74834L1008,2459465,DGX,USD,2019-03-11,84.62,87.0,84.05,87.0,11798,7004,85.043
US74834L1008,2459465,DGX,USD,2019-03-12,85.78,87.31,85.74,86.81,9902,6685,86.813
US74834L1008,2459465,DGX,USD,2019-03-13,87.34,89.03,86.74,88.31,13114,8213,88.454
US74834L1008,2459465,DGX,USD,2019-03-14,88.3,88.44,87.47,87.9,13696,10619,88.016
US74834L1008,2459465,DGX,USD,2019-03-15,88.15,89.45,88.15,88.45,13760,6651,88.646
US74834L1008,2459465,DGX,USD,2019-03-18,87.89,88.72,87.89,88.7,9539,6411,88.442
US74834L1008,2459465,DGX,USD,2019-03-19,89.01,90.57,88.93,89.5,17074,11249,89.848
US74834L1008,2459465,DGX,USD,2019-03-20,89.19,89.77,88.24,88.63,10655,7859,88.855
US74834L1008,2459465,DGX,USD,2019-03-21,88.34,89.93,88.34,89.62,5690,3590,89.619
US74834L1008,2459465,DGX,USD,2019-03-22,89.49,90.44,88.5,89.24,11295,7253,89.386
US74834L1008,2459465,DGX,USD,2019-03-25,89.16,89.16,87.59,88.45,11091,7080,88.439
US74834L1008,2459465,DGX,USD,2019-03-26,88.71,89.22,88.23,88.66,5582,3632,88.655
US74834L1008,2459465,DGX,USD,2019-03-27,88.6,88.96,87.69,88.51,7199,4929,88.468
US74834L1008,2459465,DGX,USD,2019-03-28,88.64,89.12,88.06,89.05,5226,3204,88.683
US74834L1008,2459465,DGX,USD,2019-03-29,89.13,90.15,89.03,89.92,12008,6008,89.73
US74834L1008,2459465,DGX,USD,2019-04-01,90.35,90.85,89.83,90.14,8847,5570,90.254
US74834L1008,2459465,DGX,USD,2019-04-02,91.01,91.53,89.71,90.92,11733,7408,90.732
US74834L1008,2459465,DGX,USD,2019-04-03,91.3,91.31,90.04,90.57,7382,4219,90.518
US74834L1008,2459465,DGX,USD,2019-04-04,90.5,91.03,90.08,91.02,5866,3764,90.692
US74834L1008,2459465,DGX,USD,2019-04-05,90.51,90.89,90.02,90.77,11543,3542,90.722
US74834L1008,2459465,DGX,USD,2019-04-08,90.58,90.84,89.6,90.48,6271,3887,90.519
US74834L1008,2459465,DGX,USD,2019-04-09,90.09,90.53,89.74,89.95,4713,3060,90.068
US74834L1008,2459465,DGX,USD,2019-04-10,90.0,90.59,89.46,90.37,6233,4000,90.203
US74834L1008,2459465,DGX,USD,2019-04-11,90.74,90.74,89.45,89.72,8969,5577,89.927
US74834L1008,2459465,DGX,USD,2019-04-12,89.73,90.98,89.66,89.88,7874,4783,90.093
US74834L1008,2459465,DGX,USD,2019-04-15,90.39,91.05,90.02,91.0,4931,3257,90.75
US74834L1008,2459465,DGX,USD,2019-04-16,91.42,91.42,88.89,89.09,19144,9176,89.469
US74834L1008,2459465,DGX,USD,2019-04-17,89.2,89.4,84.67,85.7,13080,9015,86.044
US74834L1008,2459465,DGX,USD,2019-04-18,85.78,86.56,84.32,85.75,12138,6965,85.52
US74834L1008,2459465,DGX,USD,2019-04-22,85.45,86.58,84.94,85.18,9960,7295,85.463
US74834L1008,2459465,DGX,USD,2019-04-23,85.01,94.52,85.0,93.08,29383,20211,92.17
US74834L1008,2459465,DGX,USD,2019-04-24,93.1,95.54,93.08,94.76,18542,11959,94.75
US74834L1008,2459465,DGX,USD,2019-04-25,94.74,94.89,93.23,94.24,10202,7376,94.18
US74834L1008,2459465,DGX,USD,2019-04-26,94.4,95.37,94.06,95.34,8747,5907,94.963
US74834L1008,2459465,DGX,USD,2019-04-29,95.32,96.45,95.04,96.2,9798,7359,96.052
US74834L1008,2459465,DGX,USD,2019-04-30,96.5,96.84,94.8,96.38,10888,6252,96.278
US74834L1008,2459465,DGX,USD,2019-05-01,96.69,96.81,95.59,96.24,10299,6642,96.453
US74834L1008,2459465,DGX,USD,2019-05-02,96.29,98.52,96.29,98.16,11656,7592,97.827
US74834L1008,2459465,DGX,USD,2019-05-03,98.18,99.09,97.87,98.8,8653,5863,98.594
US74834L1008,2459465,DGX,USD,2019-05-06,97.22,98.75,97.03,98.66,5920,3978,98.207
US74834L1008,2459465,DGX,USD,2019-05-07,98.06,98.68,96.95,97.67,7552,4685,97.607
US74834L1008,2459465,DGX,USD,2019-05-08,97.61,99.0,96.51,97.96,12076,6203,98.199
US74834L1008,2459465,DGX,USD,2019-05-09,97.07,98.98,96.76,98.74,13418,8449,98.339
US74834L1008,2459465,DGX,USD,2019-05-10,98.59,99.31,97.45,99.17,6062,3982,98.629
US74834L1008,2459465,DGX,USD,2019-05-13,97.79,97.94,96.62,97.08,6395,4961,97.14
US74834L1008,2459465,DGX,USD,2019-05-14,97.55,98.39,96.71,96.75,6115,4208,97.092
US74834L1008,2459465,DGX,USD,2019-05-15,96.13,97.69,95.9,97.38,4785,3422,97.202
US74834L1008,2459465,DGX,USD,2019-05-16,97.36,97.98,96.25,96.39,7346,5395,96.991
US74834L1008,2459465,DGX,USD,2019-05-17,95.58,98.13,95.49,97.23,9205,5464,97.355
US74834L1008,2459465,DGX,USD,2019-05-20,96.77,97.87,96.61,97.08,6102,3651,97.216
US74834L1008,2459465,DGX,USD,2019-05-21,97.42,98.23,97.26,97.77,7573,4139,97.843
US74834L1008,2459465,DGX,USD,2019-05-22,97.58,98.02,97.04,97.62,11092,5920,97.694
US74834L1008,2459465,DGX,USD,2019-05-23,97.36,97.66,96.49,97.64,8330,6103,97.156
US74834L1008,2459465,DGX,USD,2019-05-24,97.65,98.27,96.68,98.04,6401,4775,97.737
US74834L1008,2459465,DGX,USD,2019-05-28,98.04,98.97,96.93,97.1,14109,5937,97.495
US74834L1008,2459465,DGX,USD,2019-05-29,97.05,97.22,95.82,96.81,10069,6367,96.72
US74834L1008,2459465,DGX,USD,2019-05-30,96.95,97.28,95.5,96.0,4966,3388,96.054
US74834L1008,2459465,DGX,USD,2019-05-31,95.52,96.1,94.67,95.91,5298,2911,95.752
US74834L1008,2459465,DGX,USD,2019-06-03,95.87,98.05,95.25,96.16,7138,4627,96.564
US74834L1008,2459465,DGX,USD,2019-06-04,96.89,97.74,96.42,97.21,5030,3122,97.201
US74834L1008,2459465,DGX,USD,2019-06-05,98.11,98.11,96.33,97.75,5320,3264,97.519
US74834L1008,2459465,DGX,USD,2019-06-06,97.97,99.32,97.55,98.75,7200,4882,98.766
US74834L1008,2459465,DGX,USD,2019-06-07,99.18,99.81,98.69,99.34,4876,3266,99.371
US74834L1008,2459465,DGX,USD,2019-06-10,99.62,99.99,99.21,99.67,5981,3942,99.595
US74834L1008,2459465,DGX,USD,2019-06-11,99.57,99.93,98.51,98.92,4897,3341,99.111
US74834L1008,2459465,DGX,USD,2019-06-12,98.59,99.53,98.36,99.5,4523,3361,99.085
US74834L1008,2459465,DGX,USD,2019-06-13,99.53,100.95,99.19,100.86,13445,6395,100.252
US74834L1008,2459465,DGX,USD,2019-06-14,101.27,101.77,100.76,101.03,5416,3510,101.156
US74834L1008,2459465,DGX,USD,2019-06-17,101.13,102.3,100.9,101.94,6657,4381,101.818
US74834L1008,2459465,DGX,USD,2019-06-18,102.5,102.5,100.34,100.57,7953,5004,100.973
US74834L1008,2459465,DGX,USD,2019-06-19,100.85,102.17,100.32,101.92,5156,3364,101.798
US74834L1008,2459465,DGX,USD,2019-06-20,102.11,102.21,99.94,100.34,7154,4803,100.484
US74834L1008,2459465,DGX,USD,2019-06-21,100.46,101.4,100.08,101.28,12644,5143,101.028
US74834L1008,2459465,DGX,USD,2019-06-24,101.36,101.36,100.18,100.9,3780,2326,100.608
US74834L1008,2459465,DGX,USD,2019-06-25,100.89,101.51,99.96,101.03,4521,2186,101.054
US74834L1008,2459465,DGX,USD,2019-06-26,100.93,101.14,99.7,99.72,3727,2408,99.993
US74834L1008,2459465,DGX,USD,2019-06-27,100.21,100.63,99.78,100.53,4396,3014,100.268
