ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
US75689M1018,15565484,RRGB,USD,2019-01-02,26.44,26.82,26.1,26.77,1998,1613,26.583
US75689M1018,15565484,RRGB,USD,2019-01-03,26.91,27.6,25.92,27.2,2269,1538,27.046
US75689M1018,15565484,RRGB,USD,2019-01-04,27.39,29.4,26.94,28.86,2179,1331,28.939
US75689M1018,15565484,RRGB,USD,2019-01-07,28.86,30.79,28.86,30.1,4207,2832,30.219
US75689M1018,15565484,RRGB,USD,2019-01-08,30.35,31.91,30.32,31.68,2790,2071,31.239
US75689M1018,15565484,RRGB,USD,2019-01-09,31.78,32.82,31.35,32.42,3054,1907,32.284
US75689M1018,15565484,RRGB,USD,2019-01-10,31.98,32.41,30.67,32.16,1630,1221,31.731
US75689M1018,15565484,RRGB,USD,2019-01-11,31.76,32.56,31.28,32.24,1422,1092,31.976
US75689M1018,15565484,RRGB,USD,2019-01-14,31.9,32.37,31.35,32.02,1583,977,31.975
US75689M1018,15565484,RRGB,USD,2019-01-15,32.11,32.24,31.37,32.17,1303,1044,31.918
US75689M1018,15565484,RRGB,USD,2019-01-16,32.22,32.7,31.86,32.54,942,708,32.445
US75689M1018,15565484,RRGB,USD,2019-01-17,32.46,33.57,32.46,33.35,3556,2368,33.11
US75689M1018,15565484,RRGB,USD,2019-01-18,33.39,33.75,32.9,33.05,1884,1230,33.216
US75689M1018,15565484,RRGB,USD,2019-01-22,33.0,33.24,32.11,32.45,2022,1452,32.581
US75689M1018,15565484,RRGB,USD,2019-01-23,32.57,33.0,32.34,32.9,1336,831,32.723
US75689M1018,15565484,RRGB,USD,2019-01-24,32.94,33.22,32.65,32.82,722,550,32.805
US75689M1018,15565484,RRGB,USD,2019-01-25,33.18,33.8,32.95,33.15,998,649,33.372
US75689M1018,15565484,RRGB,USD,2019-01-28,33.16,33.98,33.16,33.66,768,482,33.608
US75689M1018,15565484,RRGB,USD,2019-01-29,33.52,33.64,32.43,33.11,1247,911,32.985
US75689M1018,15565484,RRGB,USD,2019-01-30,33.3,33.4,32.35,32.52,906,739,32.642
US75689M1018,15565484,RRGB,USD,2019-01-31,32.51,32.87,31.75,31.98,6051,909,32.027
US75689M1018,15565484,RRGB,USD,2019-02-01,32.07,32.7,31.48,31.74,1319,1045,32.047
US75689M1018,15565484,RRGB,USD,2019-02-04,31.82,32.85,31.64,31.99,1314,930,32.188
US75689M1018,15565484,RRGB,USD,2019-02-05,32.16,32.36,31.73,32.2,808,640,32.115
US75689M1018,15565484,RRGB,USD,2019-02-06,32.13,32.46,32.0,32.28,813,561,32.26
US75689M1018,15565484,RRGB,USD,2019-02-07,32.04,32.55,31.69,32.14,845,478,32.036
US75689M1018,15565484,RRGB,USD,2019-02-08,32.05,32.6,31.78,32.49,1446,880,32.38
US75689M1018,15565484,RRGB,USD,2019-02-11,32.57,33.26,32.34,32.95,782,607,32.884
US75689M1018,15565484,RRGB,USD,2019-02-12,33.1,33.45,32.69,33.03,1058,852,33.063
US75689M1018,15565484,RRGB,USD,2019-02-13,33.01,33.46,32.44,33.0,651,511,32.916
US75689M1018,15565484,RRGB,USD,2019-02-14,32.84,33.55,32.67,33.29,1253,862,33.229
US75689M1018,15565484,RRGB,USD,2019-02-15,33.49,34.19,33.06,33.13,1192,832,33.355
US75689M1018,15565484,RRGB,USD,2019-02-19,33.23,33.81,33.03,33.03,724,517,33.211
US75689M1018,15565484,RRGB,USD,2019-02-20,33.31,33.37,32.71,32.75,1321,951,32.954
US75689M1018,15565484,RRGB,USD,2019-02-21,32.74,34.23,32.74,33.77,1778,1256,33.706
US75689M1018,15565484,RRGB,USD,2019-02-22,33.75,34.12,31.06,31.75,1880,1269,31.859
US75689M1018,15565484,RRGB,USD,2019-02-25,32.84,32.84,30.56,30.7,2600,1559,31.049
US75689M1018,15565484,RRGB,USD,2019-02-26,30.65,30.81,27.88,29.0,4533,2493,29.899
US75689M1018,15565484,RRGB,USD,2019-02-27,29.05,31.41,27.19,29.51,6180,3823,29.493
US75689M1018,15565484,RRGB,USD,2019-02-28,29.75,30.6,29.36,30.41,2054,1347,30.151
US75689M1018,15565484,RRGB,USD,2019-03-01,30.67,31.69,30.26,31.34,2279,1532,31.26
US75689M1018,15565484,RRGB,USD,2019-03-04,31.26,31.31,29.61,29.81,2358,1329,30.087
US75689M1018,15565484,RRGB,USD,2019-03-05,29.94,30.08,29.35,29.49,1101,893,29.597
US75689M1018,15565484,RRGB,USD,2019-03-06,29.49,29.91,28.0,28.02,1873,1306,28.491
US75689M1018,15565484,RRGB,USD,2019-03-07,28.01,28.43,27.01,28.0,3109,2192,28.002
US75689M1018,15565484,RRGB,USD,2019-03-08,27.9,27.98,27.27,27.62,2114,1625,27.612
US75689M1018,15565484,RRGB,USD,2019-03-11,27.63,28.3,27.15,28.19,1876,1325,27.905
US75689M1018,15565484,RRGB,USD,2019-03-12,28.13,28.68,27.77,28.53,1463,1133,28.457
US75689M1018,15565484,RRGB,USD,2019-03-13,28.63,28.74,28.23,28.59,931,637,28.553
US75689M1018,15565484,RRGB,USD,2019-03-14,28.6,28.99,28.45,28.69,926,637,28.7
US75689M1018,15565484,RRGB,USD,2019-03-15,28.74,29.04,28.45,28.85,2552,713,28.815
US75689M1018,15565484,RRGB,USD,2019-03-18,28.84,29.48,28.66,29.29,1896,1326,29.27
US75689M1018,15565484,RRGB,USD,2019-03-19,29.3,29.85,29.16,29.36,3932,2603,29.505
US75689M1018,15565484,RRGB,USD,2019-03-20,29.4,29.7,26.75,27.33,3943,2176,27.65
US75689M1018,15565484,RRGB,USD,2019-03-21,27.41,27.85,26.96,27.6,4811,2927,27.474
US75689M1018,15565484,RRGB,USD,2019-03-22,27.58,29.57,27.51,29.36,5625,3331,28.735
US75689M1018,15565484,RRGB,USD,2019-03-25,28.5,29.56,28.19,29.25,3672,2469,28.959
US75689M1018,15565484,RRGB,USD,2019-03-26,29.15,29.84,28.64,29.09,1707,1288,29.351
US75689M1018,15565484,RRGB,USD,2019-03-27,29.06,29.86,28.74,29.23,1322,880,29.092
US75689M1018,15565484,RRGB,USD,2019-03-28,29.34,29.7,29.07,29.5,1987,1054,29.278
US75689M1018,15565484,RRGB,USD,2019-03-29,29.64,29.89,28.78,28.81,1837,1350,29.139
US75689M1018,15565484,RRGB,USD,2019-04-01,29.0,29.39,28.65,28.83,1320,895,28.846
US75689M1018,15565484,RRGB,USD,2019-04-02,28.86,29.04,28.23,28.52,1733,1119,28.482
US75689M1018,15565484,RRGB,USD,2019-04-03,28.62,28.62,27.4,28.0,1314,865,28.176
US75689M1018,15565484,RRGB,USD,2019-04-04,27.59,27.74,25.27,27.48,10085,6100,26.743
US75689M1018,15565484,RRGB,USD,2019-04-05,27.35,29.78,27.07,29.66,5228,3185,29.303
US75689M1018,15565484,RRGB,USD,2019-04-08,29.62,30.76,29.25,30.45,3349,2557,30.362
US75689M1018,15565484,RRGB,USD,2019-04-09,30.46,30.69,28.26,28.28,3028,2407,28.96
US75689M1018,15565484,RRGB,USD,2019-04-10,28.28,28.44,27.37,28.34,2711,1534,27.961
US75689M1018,15565484,RRGB,USD,2019-04-11,28.37,30.26,27.86,29.71,5004,3275,29.402
US75689M1018,15565484,RRGB,USD,2019-04-12,29.93,30.51,29.79,30.21,1933,1449,30.2
US75689M1018,15565484,RRGB,USD,2019-04-15,30.07,30.95,30.07,30.33,2548,1612,30.564
US75689M1018,15565484,RRGB,USD,2019-04-16,30.39,30.39,29.32,29.9,1717,1334,29.731
US75689M1018,15565484,RRGB,USD,2019-04-17,29.9,30.0,28.91,29.62,1688,1149,29.526
US75689M1018,15565484,RRGB,USD,2019-04-18,29.64,30.16,29.54,29.85,1421,1000,29.892
US75689M1018,15565484,RRGB,USD,2019-04-22,29.83,30.01,29.35,29.44,1018,735,29.538
US75689M1018,15565484,RRGB,USD,2019-04-23,29.57,30.53,29.55,30.23,767,596,30.132
US75689M1018,15565484,RRGB,USD,2019-04-24,30.2,31.45,30.09,30.38,1905,1264,30.562
US75689M1018,15565484,RRGB,USD,2019-04-25,30.5,31.87,30.3,30.74,2498,1812,31.091
US75689M1018,15565484,RRGB,USD,2019-04-26,30.95,31.91,30.41,31.86,1375,1020,31.633
US75689M1018,15565484,RRGB,USD,2019-04-29,31.88,32.58,31.34,32.29,2173,1395,32.253
US75689M1018,15565484,RRGB,USD,2019-04-30,32.16,32.59,31.6,32.03,5031,2927,32.161
US75689M1018,15565484,RRGB,USD,2019-05-01,32.01,32.48,31.72,32.3,2628,1227,32.169
US75689M1018,15565484,RRGB,USD,2019-05-02,32.28,32.9,32.2,32.6,1798,1013,32.452
US75689M1018,15565484,RRGB,USD,2019-05-03,32.85,33.89,32.58,33.83,2213,1384,33.298
US75689M1018,15565484,RRGB,USD,2019-05-06,33.41,34.45,33.41,33.75,1989,1422,33.846
US75689M1018,15565484,RRGB,USD,2019-05-07,33.63,34.0,33.16,33.6,2202,1199,33.72
US75689M1018,15565484,RRGB,USD,2019-05-08,33.79,34.04,33.38,33.8,1036,772,33.795
US75689M1018,15565484,RRGB,USD,2019-05-09,33.65,35.15,33.13,35.15,1911,1227,34.364
US75689M1018,15565484,RRGB,USD,2019-05-10,34.99,35.3,33.07,34.31,1961,1292,34.03
US75689M1018,15565484,RRGB,USD,2019-05-13,33.81,33.81,32.84,33.2,1104,836,33.194
US75689M1018,15565484,RRGB,USD,2019-05-14,33.3,33.8,32.96,33.54,751,625,33.462
US75689M1018,15565484,RRGB,USD,2019-05-15,33.52,33.64,32.99,33.09,1551,1188,33.19
US75689M1018,15565484,RRGB,USD,2019-05-16,33.5,33.95,32.91,33.69,1686,1213,33.743
US75689M1018,15565484,RRGB,USD,2019-05-17,33.51,34.55,33.38,33.66,1675,1215,33.877
US75689M1018,15565484,RRGB,USD,2019-05-20,33.5,34.31,33.11,34.31,1426,1137,33.938
US75689M1018,15565484,RRGB,USD,2019-05-21,34.32,35.07,34.17,34.67,1179,929,34.654
US75689M1018,15565484,RRGB,USD,2019-05-22,34.5,34.74,33.32,33.56,1128,705,33.666
US75689M1018,15565484,RRGB,USD,2019-05-23,33.32,33.4,30.87,31.03,2008,1412,31.553
US75689M1018,15565484,RRGB,USD,2019-05-24,31.15,31.41,30.16,30.71,2385,1939,30.547
US75689M1018,15565484,RRGB,USD,2019-05-28,30.52,30.93,29.64,29.9,2584,1890,30.021
US75689M1018,15565484,RRGB,USD,2019-05-29,29.77,30.73,29.57,30.41,1943,1469,30.15
US75689M1018,15565484,RRGB,USD,2019-05-30,30.67,31.88,25.55,27.0,3495,2200,30.888
US75689M1018,15565484,RRGB,USD,2019-05-31,26.03,27.74,25.22,25.5,15494,11313,26.049
US75689M1018,15565484,RRGB,USD,2019-06-03,25.51,25.77,24.57,25.7,5749,4396,25.201
US75689M1018,15565484,RRGB,USD,2019-06-04,25.65,26.9,25.65,26.7,3698,2726,26.448
US75689M1018,15565484,RRGB,USD,2019-06-05,26.99,27.14,25.96,26.41,3750,2557,26.369
US75689M1018,15565484,RRGB,USD,2019-06-06,26.39,26.51,25.57,26.11,2378,1565,26.061
US75689M1018,15565484,RRGB,USD,2019-06-07,26.12,26.65,25.69,26.18,2407,1781,26.235
