ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
US86150R1077,371470388,STOK,USD,2019-06-19,27.21,30.14,25.11,25.18,59366,24201,27.345
US86150R1077,371470388,STOK,USD,2019-06-20,24.99,27.5,23.38,26.0,6960,3137,26.203
US86150R1077,371470388,STOK,USD,2019-06-21,25.3,27.4,24.68,27.3,2930,964,26.349
US86150R1077,371470388,STOK,USD,2019-06-24,27.4,27.4,24.66,25.53,3062,1058,25.732
US86150R1077,371470388,STOK,USD,2019-06-25,25.75,26.52,24.75,25.99,1372,572,25.864
US86150R1077,371470388,STOK,USD,2019-06-26,26.19,26.68,25.39,26.41,1681,743,26.076
US86150R1077,371470388,STOK,USD,2019-06-27,26.54,29.1,26.02,29.1,4465,2085,27.884
US86150R1077,371470388,STOK,USD,2019-06-28,29.0,31.76,28.24,29.17,2627,1300,30.413
US86150R1077,371470388,STOK,USD,2019-07-01,29.99,30.8,27.03,28.87,1462,691,28.603
US86150R1077,371470388,STOK,USD,2019-07-02,28.8,29.86,27.5,28.59,2083,1209,28.578
US86150R1077,371470388,STOK,USD,2019-07-03,29.0,29.0,27.45,28.15,579,397,28.256
US86150R1077,371470388,STOK,USD,2019-07-05,27.57,30.31,27.32,28.0,2011,1000,28.51
US86150R1077,371470388,STOK,USD,2019-07-08,28.28,28.48,26.5,27.29,1900,1349,27.12
US86150R1077,371470388,STOK,USD,2019-07-09,27.49,27.49,26.5,26.65,2135,970,26.997
US86150R1077,371470388,STOK,USD,2019-07-10,26.73,28.07,26.6,26.71,1687,852,26.927
US86150R1077,371470388,STOK,USD,2019-07-11,26.79,29.0,26.45,27.85,3072,1648,27.624
US86150R1077,371470388,STOK,USD,2019-07-12,27.91,27.91,26.68,26.98,758,454,27.123
US86150R1077,371470388,STOK,USD,2019-07-15,27.6,28.68,25.71,26.22,1251,872,26.739
US86150R1077,371470388,STOK,USD,2019-07-16,26.22,27.73,25.26,26.32,1027,787,26.653
US86150R1077,371470388,STOK,USD,2019-07-17,26.64,26.64,24.51,24.56,852,641,25.326
US86150R1077,371470388,STOK,USD,2019-07-18,24.56,24.91,22.84,23.89,908,636,23.651
US86150R1077,371470388,STOK,USD,2019-07-19,23.76,24.49,23.15,23.45,777,432,23.711
US86150R1077,371470388,STOK,USD,2019-07-22,23.29,23.85,22.01,23.0,1419,753,22.803
US86150R1077,371470388,STOK,USD,2019-07-23,23.23,25.86,22.39,25.5,1103,391,23.765
US86150R1077,371470388,STOK,USD,2019-07-24,25.26,25.5,23.48,25.07,386,259,24.54
