ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
US8984021027,275298,TRMK,USD,2019-01-02,28.11,28.88,27.96,28.77,3660,2051,28.663
US8984021027,275298,TRMK,USD,2019-01-03,28.62,29.32,28.4,28.63,2538,1798,28.8
US8984021027,275298,TRMK,USD,2019-01-04,29.0,29.56,28.83,29.43,2693,1741,29.368
US8984021027,275298,TRMK,USD,2019-01-07,27.98,29.55,27.59,29.31,6922,4173,29.166
US8984021027,275298,TRMK,USD,2019-01-08,29.39,29.55,27.52,29.28,4483,3114,29.238
US8984021027,275298,TRMK,USD,2019-01-09,29.23,29.45,28.94,29.18,3027,2232,29.182
US8984021027,275298,TRMK,USD,2019-01-10,29.05,29.39,28.88,29.25,3112,2012,29.209
US8984021027,275298,TRMK,USD,2019-01-11,29.25,29.33,28.92,29.3,3411,2366,29.261
US8984021027,275298,TRMK,USD,2019-01-14,29.0,29.42,29.0,29.19,3514,2437,29.226
US8984021027,275298,TRMK,USD,2019-01-15,29.06,29.49,28.82,29.44,3528,2352,29.297
US8984021027,275298,TRMK,USD,2019-01-16,29.58,30.1,29.52,29.98,4450,2500,29.946
US8984021027,275298,TRMK,USD,2019-01-17,29.74,30.2,29.7,30.12,5489,3503,30.082
US8984021027,275298,TRMK,USD,2019-01-18,30.13,30.54,29.99,30.38,4806,2902,30.376
US8984021027,275298,TRMK,USD,2019-01-22,30.15,30.51,29.85,30.28,5613,4223,30.169
US8984021027,275298,TRMK,USD,2019-01-23,30.23,30.51,30.06,30.48,5494,3467,30.389
US8984021027,275298,TRMK,USD,2019-01-24,30.38,32.0,29.81,30.76,5717,4103,30.724
US8984021027,275298,TRMK,USD,2019-01-25,30.9,31.48,30.06,31.34,3926,2893,31.294
US8984021027,275298,TRMK,USD,2019-01-28,31.17,31.55,31.04,31.51,4630,3251,31.377
US8984021027,275298,TRMK,USD,2019-01-29,31.51,31.73,31.26,31.27,3461,2177,31.471
US8984021027,275298,TRMK,USD,2019-01-30,31.37,31.6,31.13,31.31,4461,2827,31.4
US8984021027,275298,TRMK,USD,2019-01-31,31.26,31.58,30.7,31.53,6097,4288,31.263
US8984021027,275298,TRMK,USD,2019-02-01,31.55,31.66,30.32,31.49,2713,1552,31.466
US8984021027,275298,TRMK,USD,2019-02-04,31.51,31.93,31.34,31.9,2817,1635,31.756
US8984021027,275298,TRMK,USD,2019-02-05,31.9,32.07,31.55,32.02,3332,2348,31.918
US8984021027,275298,TRMK,USD,2019-02-06,31.92,32.16,31.88,32.12,1980,1389,32.071
US8984021027,275298,TRMK,USD,2019-02-07,32.06,32.69,32.05,32.65,4819,2516,32.435
US8984021027,275298,TRMK,USD,2019-02-08,32.5,32.84,32.27,32.78,6428,3767,32.643
US8984021027,275298,TRMK,USD,2019-02-11,32.87,33.33,32.69,33.32,4397,2335,33.069
US8984021027,275298,TRMK,USD,2019-02-12,33.45,33.75,33.35,33.58,4375,2280,33.564
US8984021027,275298,TRMK,USD,2019-02-13,33.59,33.76,33.4,33.69,2170,1677,33.619
US8984021027,275298,TRMK,USD,2019-02-14,33.56,33.61,33.25,33.45,4059,2971,33.468
US8984021027,275298,TRMK,USD,2019-02-15,33.66,34.06,33.62,34.0,3642,2351,33.943
US8984021027,275298,TRMK,USD,2019-02-19,33.83,34.84,33.53,34.68,6004,4449,34.518
US8984021027,275298,TRMK,USD,2019-02-20,34.6,35.48,34.4,35.48,4843,3434,35.17
US8984021027,275298,TRMK,USD,2019-02-21,35.39,35.59,35.27,35.53,4526,3176,35.447
US8984021027,275298,TRMK,USD,2019-02-22,35.59,35.81,35.38,35.8,4306,2889,35.682
US8984021027,275298,TRMK,USD,2019-02-25,35.94,36.24,35.84,35.92,4922,2751,36.021
US8984021027,275298,TRMK,USD,2019-02-26,35.79,35.97,35.36,35.38,3150,2116,35.579
US8984021027,275298,TRMK,USD,2019-02-27,35.32,35.6,35.2,35.54,2877,2191,35.503
US8984021027,275298,TRMK,USD,2019-02-28,35.31,35.66,35.25,35.48,3859,2361,35.487
US8984021027,275298,TRMK,USD,2019-03-01,35.73,35.75,35.29,35.64,3971,2617,35.583
US8984021027,275298,TRMK,USD,2019-03-04,35.58,35.71,35.22,35.35,5241,2630,35.393
US8984021027,275298,TRMK,USD,2019-03-05,35.44,35.67,35.06,35.5,3644,2495,35.46
US8984021027,275298,TRMK,USD,2019-03-06,35.48,35.58,34.87,34.96,4015,2957,35.122
US8984021027,275298,TRMK,USD,2019-03-07,34.96,35.02,34.49,34.58,4468,2923,34.691
US8984021027,275298,TRMK,USD,2019-03-08,34.42,35.12,34.27,35.01,4966,2800,34.954
US8984021027,275298,TRMK,USD,2019-03-11,35.05,35.12,34.71,34.78,6426,3628,34.875
US8984021027,275298,TRMK,USD,2019-03-12,34.76,34.87,34.41,34.57,4648,2687,34.56
US8984021027,275298,TRMK,USD,2019-03-13,34.76,34.91,34.31,34.31,8094,3572,34.434
US8984021027,275298,TRMK,USD,2019-03-14,34.35,34.76,34.07,34.5,3011,1930,34.537
US8984021027,275298,TRMK,USD,2019-03-15,34.52,34.98,34.37,34.6,13212,2360,34.565
US8984021027,275298,TRMK,USD,2019-03-18,34.76,35.21,34.59,35.1,4242,2549,35.054
US8984021027,275298,TRMK,USD,2019-03-19,35.33,35.33,34.07,34.07,2500,1613,34.609
US8984021027,275298,TRMK,USD,2019-03-20,34.0,34.5,33.74,33.8,5681,3466,34.027
US8984021027,275298,TRMK,USD,2019-03-21,33.58,33.69,32.9,32.99,6755,4733,33.219
US8984021027,275298,TRMK,USD,2019-03-22,32.8,32.84,31.65,31.95,7087,4548,32.044
US8984021027,275298,TRMK,USD,2019-03-25,31.98,32.53,31.88,32.23,2466,1839,32.193
US8984021027,275298,TRMK,USD,2019-03-26,32.4,33.37,32.4,33.34,4053,3011,33.09
US8984021027,275298,TRMK,USD,2019-03-27,33.27,33.6,33.02,33.4,1541,1102,33.343
US8984021027,275298,TRMK,USD,2019-03-28,33.41,33.88,33.13,33.85,1905,1470,33.709
US8984021027,275298,TRMK,USD,2019-03-29,34.08,34.14,33.47,33.63,2335,1317,33.678
US8984021027,275298,TRMK,USD,2019-04-01,33.98,34.58,33.9,34.53,2876,2006,34.377
US8984021027,275298,TRMK,USD,2019-04-02,34.41,34.65,34.11,34.36,1957,1059,34.398
US8984021027,275298,TRMK,USD,2019-04-03,34.67,34.82,34.32,34.35,1884,1069,34.419
US8984021027,275298,TRMK,USD,2019-04-04,34.42,34.92,34.38,34.85,1884,1077,34.782
US8984021027,275298,TRMK,USD,2019-04-05,34.89,35.05,34.63,35.01,1662,1222,34.983
US8984021027,275298,TRMK,USD,2019-04-08,34.95,35.12,34.74,34.92,2056,1436,34.89
US8984021027,275298,TRMK,USD,2019-04-09,34.84,34.98,34.12,34.18,2548,1760,34.367
US8984021027,275298,TRMK,USD,2019-04-10,34.28,34.32,33.85,34.32,2154,1586,34.141
US8984021027,275298,TRMK,USD,2019-04-11,34.51,34.65,34.22,34.4,1718,1201,34.403
US8984021027,275298,TRMK,USD,2019-04-12,34.4,35.0,34.28,34.89,2107,1402,34.742
US8984021027,275298,TRMK,USD,2019-04-15,34.95,34.95,34.4,34.45,1686,1172,34.565
US8984021027,275298,TRMK,USD,2019-04-16,34.48,34.85,34.28,34.82,3674,2031,34.707
US8984021027,275298,TRMK,USD,2019-04-17,34.75,34.76,34.26,34.64,1878,1410,34.571
US8984021027,275298,TRMK,USD,2019-04-18,34.52,34.58,33.99,34.08,2050,1399,34.195
US8984021027,275298,TRMK,USD,2019-04-22,34.09,34.19,33.52,33.76,2787,1474,33.742
US8984021027,275298,TRMK,USD,2019-04-23,33.85,34.55,33.71,34.5,2628,1617,34.299
US8984021027,275298,TRMK,USD,2019-04-24,34.2,35.33,34.2,35.03,4094,2669,35.101
US8984021027,275298,TRMK,USD,2019-04-25,35.07,35.36,34.72,35.28,2055,1478,35.152
US8984021027,275298,TRMK,USD,2019-04-26,35.3,35.73,34.94,35.63,1874,1260,35.567
US8984021027,275298,TRMK,USD,2019-04-29,35.78,36.25,35.78,36.12,3064,2098,36.1
US8984021027,275298,TRMK,USD,2019-04-30,36.06,36.38,35.83,35.96,2072,1067,35.999
US8984021027,275298,TRMK,USD,2019-05-01,36.03,36.24,35.4,35.54,1641,1194,35.727
US8984021027,275298,TRMK,USD,2019-05-02,35.58,36.13,35.56,36.05,1558,1026,35.942
US8984021027,275298,TRMK,USD,2019-05-03,36.05,36.53,35.7,36.44,2491,1272,36.39
US8984021027,275298,TRMK,USD,2019-05-06,35.97,36.64,35.93,36.45,1978,1222,36.417
US8984021027,275298,TRMK,USD,2019-05-07,36.14,36.28,35.38,35.56,3446,2602,35.713
US8984021027,275298,TRMK,USD,2019-05-08,35.47,35.66,35.04,35.08,2294,1604,35.274
US8984021027,275298,TRMK,USD,2019-05-09,35.03,35.14,34.55,35.04,3696,1889,34.905
US8984021027,275298,TRMK,USD,2019-05-10,34.88,35.05,34.41,35.01,1563,1121,34.801
US8984021027,275298,TRMK,USD,2019-05-13,34.61,34.61,33.46,33.6,3219,1875,33.872
US8984021027,275298,TRMK,USD,2019-05-14,33.67,33.99,33.48,33.81,2268,1818,33.81
US8984021027,275298,TRMK,USD,2019-05-15,33.5,33.61,32.99,33.55,1629,1142,33.454
US8984021027,275298,TRMK,USD,2019-05-16,33.75,34.31,33.75,34.1,1312,1031,34.129
US8984021027,275298,TRMK,USD,2019-05-17,33.77,34.23,33.42,33.43,2132,1012,33.62
US8984021027,275298,TRMK,USD,2019-05-20,33.33,33.89,33.33,33.54,1323,955,33.62
US8984021027,275298,TRMK,USD,2019-05-21,33.63,33.81,33.48,33.79,1063,762,33.715
US8984021027,275298,TRMK,USD,2019-05-22,33.68,33.76,33.18,33.3,923,618,33.335
US8984021027,275298,TRMK,USD,2019-05-23,32.96,32.96,32.43,32.79,2491,1715,32.657
US8984021027,275298,TRMK,USD,2019-05-24,32.99,33.38,32.99,33.28,932,635,33.218
US8984021027,275298,TRMK,USD,2019-05-28,33.26,33.4,32.96,33.01,1975,1367,33.133
US8984021027,275298,TRMK,USD,2019-05-29,32.72,33.25,32.55,33.13,1659,1275,32.97
US8984021027,275298,TRMK,USD,2019-05-30,32.98,33.16,32.01,32.28,1587,1128,32.417
US8984021027,275298,TRMK,USD,2019-05-31,31.89,32.09,31.69,31.77,3058,1863,31.861
US8984021027,275298,TRMK,USD,2019-06-03,31.78,32.43,31.7,32.15,2136,1518,32.111
US8984021027,275298,TRMK,USD,2019-06-04,32.5,33.25,32.07,33.16,1771,1185,33.05
US8984021027,275298,TRMK,USD,2019-06-05,33.06,33.25,32.43,32.87,3267,1078,32.717
US8984021027,275298,TRMK,USD,2019-06-06,32.78,32.97,32.25,32.61,1879,1118,32.602
US8984021027,275298,TRMK,USD,2019-06-07,32.57,32.61,32.15,32.16,1874,1160,32.33
US8984021027,275298,TRMK,USD,2019-06-10,32.32,32.89,32.32,32.53,1622,1207,32.623
US8984021027,275298,TRMK,USD,2019-06-11,32.67,32.85,32.22,32.4,1630,1176,32.447
US8984021027,275298,TRMK,USD,2019-06-12,32.46,32.69,32.23,32.38,1958,1349,32.393
US8984021027,275298,TRMK,USD,2019-06-13,32.5,32.81,32.35,32.47,1138,813,32.526
US8984021027,275298,TRMK,USD,2019-06-14,32.5,32.51,32.07,32.38,902,650,32.333
US8984021027,275298,TRMK,USD,2019-06-17,32.42,32.61,31.71,31.85,2342,1456,31.998
US8984021027,275298,TRMK,USD,2019-06-18,31.9,32.57,31.9,32.46,1489,1133,32.367
US8984021027,275298,TRMK,USD,2019-06-19,32.46,32.86,32.12,32.14,1820,1031,32.341
US8984021027,275298,TRMK,USD,2019-06-20,32.41,32.41,31.69,32.12,1608,772,32.045
US8984021027,275298,TRMK,USD,2019-06-21,31.91,32.34,31.91,32.06,7406,1311,32.076
US8984021027,275298,TRMK,USD,2019-06-24,32.06,32.37,31.91,31.95,2047,1298,32.077
US8984021027,275298,TRMK,USD,2019-06-25,31.93,32.59,31.73,32.38,3663,2110,32.307
US8984021027,275298,TRMK,USD,2019-06-26,32.47,32.66,32.13,32.18,1727,1000,32.263
US8984021027,275298,TRMK,USD,2019-06-27,32.29,32.74,32.29,32.73,1629,867,32.61
US8984021027,275298,TRMK,USD,2019-06-28,32.89,33.58,32.84,33.25,4042,1349,33.211
US8984021027,275298,TRMK,USD,2019-07-01,33.39,33.75,32.92,33.2,1606,905,33.251
US8984021027,275298,TRMK,USD,2019-07-02,33.19,33.2,32.54,32.96,1934,986,32.838
US8984021027,275298,TRMK,USD,2019-07-03,33.14,33.35,32.96,33.12,953,600,33.133
US8984021027,275298,TRMK,USD,2019-07-05,33.25,33.58,33.23,33.44,1285,935,33.402
US8984021027,275298,TRMK,USD,2019-07-08,33.33,33.38,33.06,33.22,1950,1103,33.232
US8984021027,275298,TRMK,USD,2019-07-09,33.08,33.21,32.65,33.13,1861,1257,32.974
US8984021027,275298,TRMK,USD,2019-07-10,33.16,33.23,32.79,32.83,1164,853,32.88
US8984021027,275298,TRMK,USD,2019-07-11,32.83,33.01,32.59,32.86,2333,1355,32.828
US8984021027,275298,TRMK,USD,2019-07-12,33.03,33.31,32.85,33.18,1824,1124,33.126
US8984021027,275298,TRMK,USD,2019-07-15,33.28,33.28,32.39,32.48,1593,864,32.559
US8984021027,275298,TRMK,USD,2019-07-16,32.48,32.64,32.26,32.42,1462,963,32.46
US8984021027,275298,TRMK,USD,2019-07-17,32.32,32.49,31.97,32.2,1370,955,32.215
US8984021027,275298,TRMK,USD,2019-07-18,32.3,32.64,32.1,32.45,1323,906,32.385
US8984021027,275298,TRMK,USD,2019-07-19,32.38,32.7,32.32,32.36,1415,953,32.438
US8984021027,275298,TRMK,USD,2019-07-22,32.31,32.33,31.92,32.18,1247,945,32.162
US8984021027,275298,TRMK,USD,2019-07-23,32.33,32.62,32.03,32.51,2319,1653,32.421
US8984021027,275298,TRMK,USD,2019-07-24,32.25,35.19,32.25,34.99,9084,4654,34.706
US8984021027,275298,TRMK,USD,2019-07-25,35.11,35.85,34.82,35.04,4536,3149,35.198
US8984021027,275298,TRMK,USD,2019-07-26,35.07,35.71,34.9,35.6,2778,2152,35.518
US8984021027,275298,TRMK,USD,2019-07-29,35.6,35.86,34.94,34.99,2837,1653,35.228
US8984021027,275298,TRMK,USD,2019-07-30,34.75,35.76,34.75,35.76,2379,1513,35.546
US8984021027,275298,TRMK,USD,2019-07-31,35.6,36.04,35.45,35.54,2716,1623,35.629
US8984021027,275298,TRMK,USD,2019-08-01,35.49,35.89,34.77,34.98,4819,2596,35.016
US8984021027,275298,TRMK,USD,2019-08-02,34.9,34.96,34.18,34.76,2302,1542,34.641
US8984021027,275298,TRMK,USD,2019-08-05,34.18,34.3,33.6,34.18,3774,2355,34.019
US8984021027,275298,TRMK,USD,2019-08-06,34.45,34.54,33.6,34.24,1643,1130,34.018
