ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
US92343V1044,4901,VZ,USD,2019-01-02,55.89,56.2,55.07,55.56,126734,56318,55.77
US92343V1044,4901,VZ,USD,2019-01-03,55.46,56.99,55.46,56.05,169542,69212,56.433
US92343V1044,4901,VZ,USD,2019-01-04,56.4,56.89,55.95,56.77,155473,71265,56.373
US92343V1044,4901,VZ,USD,2019-01-07,56.7,57.42,56.55,56.8,144319,65654,56.873
US92343V1044,4901,VZ,USD,2019-01-08,57.0,58.69,56.95,58.45,195408,90474,58.102
US92343V1044,4901,VZ,USD,2019-01-09,58.3,58.3,56.85,57.23,168012,62933,57.131
US92343V1044,4901,VZ,USD,2019-01-10,57.05,57.7,56.87,57.53,130449,49033,57.44
US92343V1044,4901,VZ,USD,2019-01-11,57.3,58.26,57.3,58.05,149281,60738,57.903
US92343V1044,4901,VZ,USD,2019-01-14,57.91,58.15,57.51,58.07,99735,47152,57.981
US92343V1044,4901,VZ,USD,2019-01-15,57.65,58.29,57.5,58.0,91121,38657,58.014
US92343V1044,4901,VZ,USD,2019-01-16,57.9,58.1,57.0,57.04,123989,51014,57.187
US92343V1044,4901,VZ,USD,2019-01-17,57.0,57.4,56.21,56.82,137690,64048,56.667
US92343V1044,4901,VZ,USD,2019-01-18,56.79,57.47,56.64,57.1,147813,54475,57.053
US92343V1044,4901,VZ,USD,2019-01-22,57.05,57.39,56.39,56.88,166977,60352,56.918
US92343V1044,4901,VZ,USD,2019-01-23,56.99,57.87,56.83,57.72,136330,47430,57.656
US92343V1044,4901,VZ,USD,2019-01-24,57.94,57.94,56.5,57.01,113939,47879,56.98
US92343V1044,4901,VZ,USD,2019-01-25,57.0,57.47,56.23,56.43,166717,60989,56.653
US92343V1044,4901,VZ,USD,2019-01-28,56.35,56.7,54.8,55.38,238459,98659,55.195
US92343V1044,4901,VZ,USD,2019-01-29,55.25,55.57,52.93,53.35,308331,119567,53.496
US92343V1044,4901,VZ,USD,2019-01-30,53.21,54.06,52.28,54.06,253289,111643,53.429
US92343V1044,4901,VZ,USD,2019-01-31,53.79,55.42,53.53,55.15,259370,81373,54.858
US92343V1044,4901,VZ,USD,2019-02-01,55.08,55.3,54.45,54.6,126636,47908,54.678
US92343V1044,4901,VZ,USD,2019-02-04,54.6,54.75,53.67,54.04,148993,58369,54.066
US92343V1044,4901,VZ,USD,2019-02-05,54.05,54.34,53.61,54.03,126444,51116,54.095
US92343V1044,4901,VZ,USD,2019-02-06,54.25,54.39,53.68,53.77,103430,41539,53.948
US92343V1044,4901,VZ,USD,2019-02-07,53.75,53.79,53.02,53.55,116467,45702,53.394
US92343V1044,4901,VZ,USD,2019-02-08,53.55,53.96,53.3,53.95,106960,37392,53.694
US92343V1044,4901,VZ,USD,2019-02-11,53.9,54.37,53.86,54.15,84879,28962,54.08
US92343V1044,4901,VZ,USD,2019-02-12,54.27,54.77,54.19,54.65,99569,40245,54.455
US92343V1044,4901,VZ,USD,2019-02-13,54.62,54.77,54.28,54.48,105515,40650,54.502
US92343V1044,4901,VZ,USD,2019-02-14,54.86,54.86,53.94,54.0,99397,41794,54.213
US92343V1044,4901,VZ,USD,2019-02-15,54.24,55.19,54.24,55.1,146981,45367,54.827
US92343V1044,4901,VZ,USD,2019-02-19,55.07,55.66,54.81,55.35,110203,41085,55.419
US92343V1044,4901,VZ,USD,2019-02-20,55.5,55.91,55.24,55.7,93918,38553,55.665
US92343V1044,4901,VZ,USD,2019-02-21,55.73,56.72,55.46,56.14,115852,51371,56.134
US92343V1044,4901,VZ,USD,2019-02-22,56.48,57.13,56.13,56.98,116302,43344,56.868
US92343V1044,4901,VZ,USD,2019-02-25,57.12,57.27,56.55,56.71,117691,39153,56.836
US92343V1044,4901,VZ,USD,2019-02-26,56.74,57.09,56.46,56.98,110813,39143,56.781
US92343V1044,4901,VZ,USD,2019-02-27,56.64,56.97,56.35,56.72,78295,36740,56.562
US92343V1044,4901,VZ,USD,2019-02-28,56.71,57.61,56.51,56.9,137117,50609,57.108
US92343V1044,4901,VZ,USD,2019-03-01,56.93,57.25,56.35,57.1,96829,37670,56.74
US92343V1044,4901,VZ,USD,2019-03-04,57.0,57.35,55.66,56.21,123813,55763,56.224
US92343V1044,4901,VZ,USD,2019-03-05,56.25,56.3,55.51,56.04,122324,48982,55.841
US92343V1044,4901,VZ,USD,2019-03-06,55.78,56.42,55.45,55.61,115719,47933,55.74
US92343V1044,4901,VZ,USD,2019-03-07,55.68,56.4,55.6,56.3,100972,42916,56.149
US92343V1044,4901,VZ,USD,2019-03-08,55.51,56.68,55.51,56.6,88619,38109,56.372
US92343V1044,4901,VZ,USD,2019-03-11,56.6,57.7,56.6,57.7,124546,50345,57.381
US92343V1044,4901,VZ,USD,2019-03-12,57.58,58.12,57.0,57.39,114823,50278,57.712
US92343V1044,4901,VZ,USD,2019-03-13,57.38,57.74,57.29,57.66,122453,46153,57.598
US92343V1044,4901,VZ,USD,2019-03-14,57.66,58.09,57.51,57.88,104482,38470,57.876
US92343V1044,4901,VZ,USD,2019-03-15,58.0,58.51,57.93,58.21,222464,38541,58.309
US92343V1044,4901,VZ,USD,2019-03-18,58.39,58.48,57.56,58.09,100211,42833,57.945
US92343V1044,4901,VZ,USD,2019-03-19,58.28,58.28,57.21,57.3,113834,42520,57.61
US92343V1044,4901,VZ,USD,2019-03-20,57.5,58.06,57.11,57.65,109109,44833,57.657
US92343V1044,4901,VZ,USD,2019-03-21,57.5,58.49,57.35,58.35,99746,44295,58.247
US92343V1044,4901,VZ,USD,2019-03-22,58.29,60.0,58.13,59.75,234244,100094,59.38
US92343V1044,4901,VZ,USD,2019-03-25,59.69,60.19,59.37,60.15,143337,66513,59.954
US92343V1044,4901,VZ,USD,2019-03-26,60.26,60.69,60.01,60.55,114654,49663,60.482
US92343V1044,4901,VZ,USD,2019-03-27,60.57,61.2,60.47,60.85,121763,52403,60.853
US92343V1044,4901,VZ,USD,2019-03-28,60.78,61.0,58.44,59.18,187015,82363,59.196
US92343V1044,4901,VZ,USD,2019-03-29,59.26,59.41,58.32,59.24,158859,65233,59.011
US92343V1044,4901,VZ,USD,2019-04-01,59.16,59.64,58.79,59.1,140275,60877,59.048
US92343V1044,4901,VZ,USD,2019-04-02,59.24,59.24,58.34,58.49,101794,47365,58.583
US92343V1044,4901,VZ,USD,2019-04-03,58.7,59.07,58.41,58.99,135268,58596,58.804
US92343V1044,4901,VZ,USD,2019-04-04,59.09,59.1,58.77,58.99,81405,37377,58.978
US92343V1044,4901,VZ,USD,2019-04-05,59.09,59.37,58.82,59.15,103909,36572,58.992
US92343V1044,4901,VZ,USD,2019-04-08,59.05,59.29,58.71,59.16,109644,37864,59.012
US92343V1044,4901,VZ,USD,2019-04-09,58.67,58.67,58.04,58.3,95024,41387,58.319
US92343V1044,4901,VZ,USD,2019-04-10,58.4,58.7,58.29,58.67,73731,34868,58.55
US92343V1044,4901,VZ,USD,2019-04-11,58.2,58.89,58.19,58.5,86633,39162,58.532
US92343V1044,4901,VZ,USD,2019-04-12,58.75,58.79,58.52,58.79,98454,46856,58.714
US92343V1044,4901,VZ,USD,2019-04-15,58.65,58.96,58.59,58.78,68818,31223,58.687
US92343V1044,4901,VZ,USD,2019-04-16,58.7,58.98,58.1,58.27,91417,34405,58.802
US92343V1044,4901,VZ,USD,2019-04-17,58.68,58.68,57.64,57.77,134376,61693,57.907
US92343V1044,4901,VZ,USD,2019-04-18,57.95,58.2,57.28,57.98,119124,52743,57.875
US92343V1044,4901,VZ,USD,2019-04-22,58.1,58.64,57.89,58.54,111624,44070,58.245
US92343V1044,4901,VZ,USD,2019-04-23,58.31,59.4,56.3,57.24,210335,79305,57.055
US92343V1044,4901,VZ,USD,2019-04-24,57.04,57.57,56.73,57.05,121862,49063,57.086
US92343V1044,4901,VZ,USD,2019-04-25,57.0,57.0,55.75,55.75,163349,64365,56.166
US92343V1044,4901,VZ,USD,2019-04-26,55.94,56.82,55.82,56.65,149958,57871,56.493
US92343V1044,4901,VZ,USD,2019-04-29,56.73,57.17,56.6,56.84,122340,55824,56.982
US92343V1044,4901,VZ,USD,2019-04-30,56.95,57.45,56.75,57.19,133920,47738,57.235
US92343V1044,4901,VZ,USD,2019-05-01,57.1,57.3,56.4,56.41,102512,41568,56.866
US92343V1044,4901,VZ,USD,2019-05-02,56.85,58.23,56.55,57.0,125872,58857,57.045
US92343V1044,4901,VZ,USD,2019-05-03,57.19,57.36,56.87,57.25,86005,36303,57.172
US92343V1044,4901,VZ,USD,2019-05-06,56.67,57.09,56.67,56.82,94298,37348,56.948
US92343V1044,4901,VZ,USD,2019-05-07,56.86,56.89,56.33,56.45,119688,50024,56.544
US92343V1044,4901,VZ,USD,2019-05-08,56.6,56.78,56.25,56.4,105640,40341,56.443
US92343V1044,4901,VZ,USD,2019-05-09,56.25,56.56,55.93,56.49,138994,59684,56.305
US92343V1044,4901,VZ,USD,2019-05-10,56.5,57.04,56.26,56.91,92782,43453,56.684
US92343V1044,4901,VZ,USD,2019-05-13,56.31,57.34,56.31,56.75,124213,60184,56.884
US92343V1044,4901,VZ,USD,2019-05-14,56.9,57.19,56.5,56.55,112316,46458,56.774
US92343V1044,4901,VZ,USD,2019-05-15,56.7,56.9,56.17,56.8,95690,42250,56.561
US92343V1044,4901,VZ,USD,2019-05-16,56.9,57.8,56.82,57.41,100396,42380,57.472
