ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
VGG312491084,326196503,ESTA,USD,2019-01-02,26.59,28.0,26.59,28.0,308,132,27.628
VGG312491084,326196503,ESTA,USD,2019-01-03,27.47,28.0,25.57,26.0,335,257,26.628
VGG312491084,326196503,ESTA,USD,2019-01-04,25.93,26.75,25.31,26.01,99,59,26.412
VGG312491084,326196503,ESTA,USD,2019-01-07,26.0,27.36,25.75,26.98,221,185,26.788
VGG312491084,326196503,ESTA,USD,2019-01-08,27.5,27.8,25.01,25.85,177,144,26.148
VGG312491084,326196503,ESTA,USD,2019-01-09,26.18,26.96,25.47,26.02,304,65,26.357
VGG312491084,326196503,ESTA,USD,2019-01-10,25.64,27.85,25.64,27.48,503,184,27.231
VGG312491084,326196503,ESTA,USD,2019-01-11,27.4,27.66,26.19,27.4,1485,150,27.357
VGG312491084,326196503,ESTA,USD,2019-01-14,27.1,27.6,26.15,26.33,515,435,27.126
VGG312491084,326196503,ESTA,USD,2019-01-15,26.35,27.06,26.11,26.68,196,181,26.556
VGG312491084,326196503,ESTA,USD,2019-01-16,26.57,27.5,26.37,27.17,941,441,26.762
VGG312491084,326196503,ESTA,USD,2019-01-17,27.0,28.92,26.7,26.74,911,402,27.499
VGG312491084,326196503,ESTA,USD,2019-01-18,26.79,27.44,26.07,26.7,529,189,26.701
VGG312491084,326196503,ESTA,USD,2019-01-22,26.34,28.11,26.1,27.31,181,116,27.157
VGG312491084,326196503,ESTA,USD,2019-01-23,27.21,27.31,27.0,27.0,20,11,27.169
VGG312491084,326196503,ESTA,USD,2019-01-24,27.02,27.33,25.79,26.7,308,180,26.477
VGG312491084,326196503,ESTA,USD,2019-01-25,27.08,27.71,27.0,27.55,175,103,27.362
VGG312491084,326196503,ESTA,USD,2019-01-28,27.27,27.89,27.0,27.0,93,65,27.416
VGG312491084,326196503,ESTA,USD,2019-01-29,27.0,28.36,27.0,27.3,348,268,27.684
VGG312491084,326196503,ESTA,USD,2019-01-30,27.24,27.61,27.0,27.13,506,183,27.254
VGG312491084,326196503,ESTA,USD,2019-01-31,27.42,27.42,26.32,26.51,417,158,26.667
VGG312491084,326196503,ESTA,USD,2019-02-01,26.4,27.36,26.4,26.67,337,145,26.975
VGG312491084,326196503,ESTA,USD,2019-02-04,26.61,27.32,26.0,26.31,138,80,26.278
VGG312491084,326196503,ESTA,USD,2019-02-05,26.53,27.32,26.48,26.97,133,55,26.957
VGG312491084,326196503,ESTA,USD,2019-02-06,26.64,27.24,25.11,25.83,402,213,26.136
VGG312491084,326196503,ESTA,USD,2019-02-07,25.71,26.8,25.2,26.35,191,129,25.977
VGG312491084,326196503,ESTA,USD,2019-02-08,26.36,26.43,25.42,25.92,171,128,26.045
VGG312491084,326196503,ESTA,USD,2019-02-11,25.9,26.37,25.79,26.02,90,82,26.218
VGG312491084,326196503,ESTA,USD,2019-02-12,26.17,26.39,25.04,25.41,193,141,25.843
VGG312491084,326196503,ESTA,USD,2019-02-13,25.82,25.95,25.0,25.45,135,107,25.377
VGG312491084,326196503,ESTA,USD,2019-02-14,25.5,25.82,25.0,25.1,151,121,25.373
VGG312491084,326196503,ESTA,USD,2019-02-15,25.48,25.87,25.16,25.66,198,104,25.493
VGG312491084,326196503,ESTA,USD,2019-02-19,25.6,26.63,25.41,25.66,243,142,25.75
VGG312491084,326196503,ESTA,USD,2019-02-20,25.54,26.7,25.53,26.25,175,101,26.152
VGG312491084,326196503,ESTA,USD,2019-02-21,26.25,26.25,26.0,26.2,65,48,26.118
VGG312491084,326196503,ESTA,USD,2019-02-22,26.18,26.24,25.99,26.01,139,68,26.074
VGG312491084,326196503,ESTA,USD,2019-02-25,26.15,26.51,26.0,26.31,88,51,26.186
VGG312491084,326196503,ESTA,USD,2019-02-26,26.27,26.98,25.89,26.61,85,63,26.265
VGG312491084,326196503,ESTA,USD,2019-02-27,26.44,27.1,25.86,25.91,43,34,26.356
VGG312491084,326196503,ESTA,USD,2019-02-28,25.98,26.53,25.5,25.56,28,23,25.917
VGG312491084,326196503,ESTA,USD,2019-03-01,25.78,27.1,25.56,26.8,306,162,26.391
VGG312491084,326196503,ESTA,USD,2019-03-04,26.63,27.09,26.33,26.72,116,76,26.86
VGG312491084,326196503,ESTA,USD,2019-03-05,26.83,27.4,26.35,27.1,160,86,26.881
VGG312491084,326196503,ESTA,USD,2019-03-06,27.11,27.4,25.81,26.1,267,186,26.579
VGG312491084,326196503,ESTA,USD,2019-03-07,26.31,27.0,26.12,26.74,470,181,26.466
