ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
ZAE000025284,603524296,O1F,EUR,2022-12-16,3.6,3.6,3.46,3.46,150,1,3.6
ZAE000025284,603524296,O1F,EUR,2022-12-19,3.46,3.46,3.46,3.46,0,0,3.46
ZAE000025284,603524296,O1F,EUR,2022-12-20,3.46,3.46,3.46,3.46,0,0,3.46
ZAE000025284,603524296,O1F,EUR,2022-12-21,3.46,3.46,3.46,3.46,0,0,3.46
ZAE000025284,603524296,O1F,EUR,2022-12-22,3.46,3.46,3.46,3.46,0,0,3.46
ZAE000025284,603524296,O1F,EUR,2022-12-23,3.44,3.44,3.44,3.44,0,0,3.44
ZAE000025284,603524296,O1F,EUR,2022-12-27,3.4,3.4,3.4,3.4,0,0,3.4
ZAE000025284,603524296,O1F,EUR,2022-12-28,3.4,3.4,3.4,3.4,0,0,3.4
ZAE000025284,603524296,O1F,EUR,2022-12-29,3.4,3.4,3.4,3.4,0,0,3.4
ZAE000025284,603524296,O1F,EUR,2022-12-30,3.4,3.4,3.4,3.4,0,0,3.4
ZAE000025284,603524296,O1F,EUR,2023-01-02,3.56,3.56,3.56,3.56,0,0,3.56
ZAE000025284,603524296,O1F,EUR,2023-01-03,3.54,3.54,3.54,3.54,0,0,3.54
ZAE000025284,603524296,O1F,EUR,2023-01-04,3.54,3.54,3.54,3.54,0,0,3.54
ZAE000025284,603524296,O1F,EUR,2023-01-05,3.72,3.72,3.54,3.54,700,1,3.72
ZAE000025284,603524296,O1F,EUR,2023-01-06,3.54,3.54,3.54,3.54,0,0,3.54
ZAE000025284,603524296,O1F,EUR,2023-01-09,3.54,3.54,3.54,3.54,0,0,3.54
ZAE000025284,603524296,O1F,EUR,2023-01-10,3.78,3.78,3.54,3.54,250,1,3.78
ZAE000025284,603524296,O1F,EUR,2023-01-11,3.66,3.66,3.66,3.66,0,0,3.66
ZAE000025284,603524296,O1F,EUR,2023-01-12,3.66,3.66,3.66,3.66,0,0,3.66
ZAE000025284,603524296,O1F,EUR,2023-01-13,3.66,3.66,3.66,3.66,0,0,3.66
ZAE000025284,603524296,O1F,EUR,2023-01-16,3.46,3.66,3.46,3.66,250,1,3.46
ZAE000025284,603524296,O1F,EUR,2023-01-17,3.64,3.64,3.64,3.64,0,0,3.64
ZAE000025284,603524296,O1F,EUR,2023-01-18,3.62,3.66,3.62,3.66,300,1,3.62
ZAE000025284,603524296,O1F,EUR,2023-01-19,3.66,3.66,3.66,3.66,0,0,3.66
